study_id,site_id,plot_id,plant_id,year,month,day,genus,species,alive_or_dead,above_or_belowground,diameter,diameter_method,diameter_unit
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_1,Brazil_South_1_tree_1,2012,11,28,Rhizophora,mangle,alive,aboveground,23,breast height,cm
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_1,Brazil_South_1_tree_2,2012,11,28,Avicennia,germinans,alive,aboveground,13.7,breast height,cm
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_1,Brazil_South_1_tree_3,2012,11,28,Avicennia,germinans,alive,aboveground,28,breast height,cm
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_1,Brazil_South_1_tree_4,2012,11,28,Avicennia,germinans,alive,aboveground,40,breast height,cm
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_1,Brazil_South_1_tree_5,2012,11,28,Avicennia,germinans,alive,aboveground,10.4,breast height,cm
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_1,Brazil_South_1_tree_6,2012,11,28,Avicennia,germinans,alive,aboveground,11,breast height,cm
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_1,Brazil_South_1_tree_7,2012,11,28,Avicennia,germinans,alive,aboveground,27.6,breast height,cm
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_1,Brazil_South_1_tree_8,2012,11,28,Rhizophora,mangle,alive,aboveground,43.8,breast height,cm
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_1,Brazil_South_1_tree_9,2012,11,28,Rhizophora,mangle,alive,aboveground,34.2,breast height,cm
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_1,Brazil_South_1_tree_10,2012,11,28,Rhizophora,mangle,alive,aboveground,38.6,breast height,cm
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_1,Brazil_South_1_tree_11,2012,11,28,Rhizophora,mangle,alive,aboveground,58.8,breast height,cm
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_1,Brazil_South_1_tree_12,2012,11,28,Rhizophora,mangle,alive,aboveground,20,breast height,cm
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_1,Brazil_South_1_tree_13,2012,11,28,Rhizophora,mangle,alive,aboveground,20.8,breast height,cm
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_1,Brazil_South_1_tree_14,2012,11,28,Rhizophora,mangle,alive,aboveground,24.2,breast height,cm
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_1,Brazil_South_1_tree_15,2012,11,28,Rhizophora,mangle,alive,aboveground,29.2,breast height,cm
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_1,Brazil_South_1_tree_16,2012,11,28,Rhizophora,mangle,alive,aboveground,25,breast height,cm
