study_id,site_id,plot_id,plant_id,year,month,day,genus,species,alive_or_dead,above_or_belowground,n_plants,height,height_se,diameter,diameter_se,diameter_method
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_1,Brazil_South_1_tree_1,2012,11,28,Rhizophora,mangle,alive,aboveground,1,8.8,4.70154608895155,23,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_1,Brazil_South_1_tree_2,2012,11,28,Avicennia,germinans,alive,aboveground,1,5.2,4.70154608895155,13.7,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_1,Brazil_South_1_tree_3,2012,11,28,Avicennia,germinans,alive,aboveground,1,6.6,4.70154608895155,28,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_1,Brazil_South_1_tree_4,2012,11,28,Avicennia,germinans,alive,aboveground,1,10.6,4.70154608895155,40,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_1,Brazil_South_1_tree_5,2012,11,28,Avicennia,germinans,alive,aboveground,1,3.1,4.70154608895155,10.4,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_1,Brazil_South_1_tree_6,2012,11,28,Avicennia,germinans,alive,aboveground,1,3.2,4.70154608895155,11,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_1,Brazil_South_1_tree_7,2012,11,28,Avicennia,germinans,alive,aboveground,1,5.6,4.70154608895155,27.6,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_1,Brazil_South_1_tree_8,2012,11,28,Rhizophora,mangle,alive,aboveground,1,11.4,4.70154608895155,43.8,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_1,Brazil_South_1_tree_9,2012,11,28,Rhizophora,mangle,alive,aboveground,1,10.5,4.70154608895155,34.2,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_1,Brazil_South_1_tree_10,2012,11,28,Rhizophora,mangle,alive,aboveground,1,9.6,4.70154608895155,38.6,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_1,Brazil_South_1_tree_11,2012,11,28,Rhizophora,mangle,alive,aboveground,1,10,4.70154608895155,58.8,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_1,Brazil_South_1_tree_12,2012,11,28,Rhizophora,mangle,alive,aboveground,1,5.9,4.70154608895155,20,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_1,Brazil_South_1_tree_13,2012,11,28,Rhizophora,mangle,alive,aboveground,1,6.7,4.70154608895155,20.8,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_1,Brazil_South_1_tree_14,2012,11,28,Rhizophora,mangle,alive,aboveground,1,8.1,4.70154608895155,24.2,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_1,Brazil_South_1_tree_15,2012,11,28,Rhizophora,mangle,alive,aboveground,1,9.2,4.70154608895155,29.2,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_1,Brazil_South_1_tree_16,2012,11,28,Rhizophora,mangle,alive,aboveground,1,6.2,4.70154608895155,25,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_1,Brazil_South_1_tree_17,2012,11,28,Rhizophora,mangle,alive,aboveground,1,9.2,4.70154608895155,32.6,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_1,Brazil_South_1_tree_18,2012,11,28,Rhizophora,mangle,alive,aboveground,1,4.7,4.70154608895155,21.2,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_1,Brazil_South_1_tree_19,2012,11,28,Rhizophora,mangle,alive,aboveground,1,9,4.70154608895155,34.4,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_1,Brazil_South_1_tree_20,2012,11,28,Rhizophora,mangle,alive,aboveground,1,11.5,4.70154608895155,33,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_1,Brazil_South_1_tree_21,2012,11,28,Avicennia,germinans,alive,aboveground,1,10.3,4.70154608895155,26.2,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_1,Brazil_South_1_tree_22,2012,11,28,Avicennia,germinans,alive,aboveground,1,7.2,4.70154608895155,25.7,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_1,Brazil_South_1_tree_23,2012,11,28,Avicennia,germinans,alive,aboveground,1,10.5,4.70154608895155,37.6,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_1,Brazil_South_1_tree_24,2012,11,28,Avicennia,germinans,alive,aboveground,1,5.6,4.70154608895155,19.4,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_1,Brazil_South_1_tree_25,2012,11,28,Avicennia,germinans,alive,aboveground,1,7.3,4.70154608895155,42.2,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_1,Brazil_South_1_tree_26,2012,11,28,Rhizophora,mangle,alive,aboveground,1,11.2,4.70154608895155,63,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_1,Brazil_South_1_tree_27,2012,11,28,Avicennia,germinans,alive,aboveground,1,10.1,4.70154608895155,52,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_1,Brazil_South_1_tree_28,2012,11,28,Avicennia,germinans,alive,aboveground,1,10.4,4.70154608895155,34.8,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_1,Brazil_South_1_tree_29,2012,11,28,Avicennia,germinans,alive,aboveground,1,7.8,4.70154608895155,32,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_1,Brazil_South_1_tree_30,2012,11,28,Rhizophora,mangle,alive,aboveground,1,9.1,4.70154608895155,49.6,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_1,Brazil_South_1_tree_31,2012,11,28,Rhizophora,mangle,alive,aboveground,1,6.2,4.70154608895155,21.8,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_1,Brazil_South_1_tree_32,2012,11,28,Rhizophora,mangle,alive,aboveground,1,11,4.70154608895155,38,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_1,Brazil_South_1_tree_33,2012,11,28,Avicennia,germinans,alive,aboveground,1,12,4.70154608895155,44.2,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_1,Brazil_South_1_tree_34,2012,11,28,Avicennia,germinans,alive,aboveground,1,4.1,4.70154608895155,12,14.319856491120643,breast height
