"[Abbreviations: ID, identification; WGS84, World Geodetic System 1984; m, meter; cm, centimeter; °C, degree Celsius; mmHg, millimeter of mercury; %, percent; mg/L, milligrams per liter; mS/cm, millisiemens per centimeter; mV, millivolt; --, no data]",,,,,,,,,,,,,,
Site Location,,,,,,,Water Quality Parameters,,,,,,,
Site ID,"Date 
Collected",Type of Samples Collected,Latitude (WGS84),Longitude (WGS84),Water Depth (m),,Temperature (°C),Barometric Pressure (mmHg),Dissolved Oxygen (%),Dissolved Oxygen (mg/L),Specific Conductance (mS/cm),Salinity,pH,Oxidation-Reduction Potential (mV)
15CCT02-GB101,05/30/2015,"B, G",30.35998,-88.36807,3.1,,27.3,766.2,78.5,7.2,22.87,13.75,7.63,183.5
15CCT02-GB102,05/30/2015,"B, G", 30.37012,-88.35863,1.5,,27.7,765.7,104.1,7.63,21.77,13.03,7.8,136.3
15CCT02-GB103,05/30/2015,"B, G",30.36207,-88.34867,3,,28.7,765.3,102.5,7.35,22.12,13.22,7.82,114.5
15CCT02-GB104,05/30/2015,"B, G",30.36648,-88.33118,3,,27.6,765.2,85.5,--,24.96,15.57,7.79,119.2
15CCT02-GB105,05/30/2015,"B, G",30.37928,-88.32252,1.5,,29.4,764.7,102.9,7.24,21.13,12.58,7.87,126.8
15CCT02-GB106,05/31/2015,"B, G",30.38203,-88.34453,2.9,,28.3,765,87.8,6.11,29.37,18.08,7.66,137.5
15CCT02-GB107,05/31/2015,"B, G",30.37673,-88.36403,2.4,,29.1,764.9,94.8,6.79,20.89,12.42,7.86,143.8
15CCT02-GB108,05/31/2015,"B, G",30.39206,-88.37344,0.9,,29,764.7,82.8,5.96,19.92,11.82,7.72,126.1
15CCT02-GB109,06/01/2015,"B, G",30.37952,-88.37947,1.7,,28,764.9,84.2,6.11,22.69,13.63,7.88,114.1
15CCT02-GB110,06/01/2015,"B, G",30.35684,-88.34421,3.3,,29.4,764.9,90,6.39,28.77,17.67,8,121.9
15CCT02-GB111,06/01/2015,"B, G",30.3616,-88.32574,2,,28.8,764.8,93.8,6.53,28.38,17.41,8.09,131.6
15CCT02-GB112,06/01/2015,"B, G",30.36582,-88.31331,1.2,,28.9,764.3,109.5,7.77,23.82,14.5,8.04,73.5
15CCT02-GB113,06/01/2015,"B, G",30.3842,-88.33029,2.1,,29.7,764,95.8,6.77,23.14,13.9,8.12,87.3
15CCT02-GB114,06/01/2015,"B, G",30.39457,-88.3422,0.9,,29.8,763.6,96.5,6.83,21.39,12.75,8.08,101
15CCT02-GB115,06/01/2015,"B, G",30.38905,-88.35863,1.8,,29.6,763.4,100,7.11,21.76,12.99,8.08,78.4
15CCT02-GB116,06/02/2015,G,30.38411,-88.40079,1,,28.7,763.6,90.6,6.34,20.58,12.26,7.82,180.2
15CCT02-GB117,06/02/2015,G,30.37738,-88.40844,1.2,,28,763.6,87.6,6.28,21.25,12.71,7.9,176.3
15CCT02-GB118,06/02/2015,G,30.39162,-88.35088,2,,28.8,763.2,103,7.38,21.56,12.88,8.07,157.2
15CCT02-GB119,06/03/2015,G,30.37248,-88.39394,1.8,,27.8,762.2,93.6,6.81,22.62,13.58,7.89,109.1
15CCT02-GB120,06/03/2015,G,30.37491,-88.39433,2.2,,27.9,762.1,88.3,6.44,22.86,13.74,7.94,103.7
15CCT02-GB121,06/03/2015,G,30.36782,-88.39443,1.9,,27.8,762.1,91.9,6.69,22.98,13.82,8,106.7
15CCT02-GB144,06/03/2015,"B, G",30.40981,-88.4025,2.2,,29.6,761,57.9,4.13,14.28,8.35,7.15,124
15CCT02-GB147,06/03/2015,G,30.3947,-88.39982,3,,--,--,--,--,--,12,8.12,--
15CCT02-GB148,06/02/2015,"B, G",30.39095,-88.38274,1.3,,27.7,763.8,79.3,5.85,19.83,11.77,7.7,138.1
15CCT02-GB151,06/03/2015,"B, G",30.40042,-88.39828,2.2,,29.7,761.2,81.3,5.81,17.16,10.03,7.41,128.9
15CCT02-GB152,05/29/2015,"B, G",30.38753,-88.3982,3.4,,27.1,766.6,91.6,6.81,20.64,12.31,6.84,189.4
15CCT02-GB158,06/02/2015,"B, G",30.38568,-88.39629,2.7,,27.7,763.8,76.8,5.63,20.42,12.16,7.77,131
15CCT02-GB159,05/29/2015,"B, G",30.37892,-88.39558,1.2,,27.9,766.5,94.8,6.96,20.2,12.01,7.8,147.5
15CCT02-GB161,06/02/2015,"B, G",30.37448,-88.39228,2.2,,27.8,763.9,91.3,6.64,22.65,13.61,7.85,112.5
15CCT02-GB162,05/31/2015,"B, G",30.36999,-88.38802,1.6,,30.1,763.1,100.7,7.12,20.45,12.13,7.89,78.1
15CCT02-GB163,05/31/2015,"B, G",30.36825,-88.38219,1.9,,29.2,764.6,95.2,6.85,21.31,12.71,7.91,116.3
15CCT02-GB165,05/30/2015,"B, G",30.36492,-88.37463,1.5,,27.4,766.1,101.3,7.37,21.53,12.88,7.18,NR
15CCT02-GB170,05/29/2015,S,30.37653,-88.39072,0.1,,--,--,--,--,--,--,--,--
15CCT02-GB171,05/29/2015,S,30.3766,-88.39073,0,,--,--,--,--,--,--,--,--
15CCT02-GB172,05/29/2015,S,30.37667,-88.39076,0.15,,--,--,--,--,--,--,--,--
15CCT02-GB173,06/03/2015,S,30.41776,-88.40552,0,,28,761.5,70.4,5.2,5.08,2.72,6.24,175.3
15CCT02-GB174,06/03/2015,S,30.41746,-88.40537,0,,--,--,--,--,--,--,--,--
Sediment Sample Type Key:,,,,,,,,,,,,,,
"B = Manganese fiber radium water sample, data not presented in this report",,,,,,,,,,,,,,
"G = Petite Ponar grab sample, estuarine surface sediments, 0-1 cm sampled",,,,,,,,,,,,,,
"S = Marsh surface sediment, 0-1 cm sampled",,,,,,,,,,,,,,
