study_id,site_id,core_id,latitude,longitude,position_method,salinity_class,salinity_method,vegetation_class,vegetation_method,core_length_flag,year,month,day
Breithaupt_et_al_2014,WSC-5,SH3-1,25.363925000000002,-81.07849444444444,handheld,mesohaline,measurement,forested,measurement,not specified,2009,2,2
Breithaupt_et_al_2014,WSC-5,SH3-3,25.363925000000002,-81.07849444444444,handheld,mesohaline,measurement,forested,measurement,not specified,2010,11,16
Breithaupt_et_al_2014,WSC-5,SH3-5,25.363955555555556,-81.07661388888889,handheld,mesohaline,measurement,forested,measurement,not specified,2010,11,16
Breithaupt_et_al_2014,WSC-5,SH3-7,25.36306111111111,-81.07797222222221,handheld,mesohaline,measurement,forested,measurement,not specified,2010,11,16
Breithaupt_et_al_2014,WSC-5,SH3-8,25.362861111111112,-81.07777777777777,handheld,mesohaline,measurement,forested,measurement,not specified,2010,11,16
Breithaupt_et_al_2014,WSC-5,SH3-9,25.362858333333335,-81.07776944444444,handheld,mesohaline,measurement,forested,measurement,not specified,2010,11,16
