study_id,site_id,core_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter,fraction_carbon,cs137_activity,cs137_activity_se,total_pb210_activity,total_pb210_activity_se,ra226_activity,ra226_activity_se,excess_pb210_activity,excess_pb210_activity_se,age,age_se,date,delta_c13,method_id
Breithaupt_et_al_2014,WSC-5,SH3-1,0,1,0.879449761,0.134218329,0.07775,NA,NA,3.524980943,0.121135502,1.650930486,0.047084695,1.881260312,0.130464539,2.5958024,0.738413968,2006.404198,-28.40837106,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-1,1,2,0.536674641,0.116391031,0.059317497,NA,NA,2.521920737,0.066988392,1.560270937,0.029821758,0.965678376,0.073633732,3.454067519,0.745753768,2005.545932,-25.5,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-1,2,3,0.68507177,0.108849001,0.0376,NA,NA,2.49072861,0.072003015,1.514801793,0.031719866,0.980271664,0.079030559,4.601468211,0.754133759,2004.398532,-26.69537272,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-1,3,4,0.20576555,0.424485525,0.2744,NA,NA,6.10001088,0.13146865,1.701307588,0.040403417,4.41185677,0.137948345,6.220723857,0.773346119,2002.779276,-27.17646455,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-1,4,5,0.18645933,0.478829869,0.193594916,NA,NA,7.890457798,0.203241012,1.72920061,0.054742602,6.191775052,0.211526942,8.40551913,0.800247002,2000.594481,-28.05594555,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-1,5,6,0.164617225,0.534224677,0.230792471,NA,NA,7.47272936,0.306403873,1.78257366,0.086439663,5.718932649,0.319973337,10.30414574,0.821781476,1998.695854,-28.26859008,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-1,6,7,0.168181818,0.520341394,0.236266058,NA,NA,8.280467941,0.232512609,1.696371529,0.064454885,6.619516261,0.242579079,12.70459539,0.856080015,1996.295405,-27.97915703,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-1,7,8,0.189354067,0.53809223,0.245633643,NA,NA,6.000244197,0.210809625,1.643303406,0.064224862,4.381169548,0.221601415,14.6178088,0.884263776,1994.382191,-27.9116418,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-1,8,9,0.170598086,0.522787828,0.220846705,NA,NA,7.244577996,0.18643198,1.942827039,0.056142125,5.332592686,0.195834539,16.85582677,0.922896678,1992.144173,-27.80369439,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-1,9,10,0.166148325,0.441612671,0.210497353,NA,NA,5.150055583,0.187325638,1.725264166,0.0626046,3.445309783,0.198693413,18.34846844,0.949194941,1990.651532,-27.79974246,1 cm intervals
