study_id,site_id,core_id,species_code,code_type,habitat
Breithaupt_et_al_2014,WSC-5,SH3-1,Avicennia germinans,Genus species,mangrove
Breithaupt_et_al_2014,WSC-5,SH3-3,Avicennia germinans,Genus species,mangrove
Breithaupt_et_al_2014,WSC-5,SH3-5,Avicennia germinans,Genus species,mangrove
Breithaupt_et_al_2014,WSC-5,SH3-7,Avicennia germinans,Genus species,mangrove
Breithaupt_et_al_2014,WSC-5,SH3-8,Avicennia germinans,Genus species,mangrove
Breithaupt_et_al_2014,WSC-5,SH3-9,Avicennia germinans,Genus species,mangrove
Breithaupt_et_al_2014,WSC-5,SH3-1,Rhizophora mangle,Genus species,mangrove
Breithaupt_et_al_2014,WSC-5,SH3-3,Rhizophora mangle,Genus species,mangrove
Breithaupt_et_al_2014,WSC-5,SH3-5,Rhizophora mangle,Genus species,mangrove
Breithaupt_et_al_2014,WSC-5,SH3-7,Rhizophora mangle,Genus species,mangrove
Breithaupt_et_al_2014,WSC-5,SH3-8,Rhizophora mangle,Genus species,mangrove
Breithaupt_et_al_2014,WSC-5,SH3-9,Rhizophora mangle,Genus species,mangrove
Breithaupt_et_al_2014,WSC-5,SH3-1,Laguncularia racemosa,Genus species,mangrove
Breithaupt_et_al_2014,WSC-5,SH3-3,Laguncularia racemosa,Genus species,mangrove
Breithaupt_et_al_2014,WSC-5,SH3-5,Laguncularia racemosa,Genus species,mangrove
Breithaupt_et_al_2014,WSC-5,SH3-7,Laguncularia racemosa,Genus species,mangrove
Breithaupt_et_al_2014,WSC-5,SH3-8,Laguncularia racemosa,Genus species,mangrove
Breithaupt_et_al_2014,WSC-5,SH3-9,Laguncularia racemosa,Genus species,mangrove
