date,version,study_id,site_id,core_id
2023-01-12,v1.0.0,Weston_et_al_2020,Kennebec,KEN_1
2023-01-12,v1.0.0,Weston_et_al_2020,Kennebec,KEN_7
2023-01-12,v1.0.0,Weston_et_al_2020,Kennebec,KEN_8
2023-01-12,v1.0.0,Weston_et_al_2020,Plum Island Sound,PIE_1
2023-01-12,v1.0.0,Weston_et_al_2020,Plum Island Sound,PIE_2
2023-01-12,v1.0.0,Weston_et_al_2020,Plum Island Sound,PIE_7
2023-01-12,v1.0.0,Weston_et_al_2020,Plum Island Sound,PIE_8
2023-01-12,v1.0.0,Weston_et_al_2020,Connecticut,CON_1
2023-01-12,v1.0.0,Weston_et_al_2020,Connecticut,CON_2
2023-01-12,v1.0.0,Weston_et_al_2020,Connecticut,CON_8
2023-01-12,v1.0.0,Weston_et_al_2020,Delaware,DEL_3
2023-01-12,v1.0.0,Weston_et_al_2020,Delaware,DEL_5
2023-01-12,v1.0.0,Weston_et_al_2020,Delaware,DEL_9
2023-01-12,v1.0.0,Weston_et_al_2020,York,YRK_2
2023-01-12,v1.0.0,Weston_et_al_2020,York,YRK_3
2023-01-12,v1.0.0,Weston_et_al_2020,York,YRK_5
2023-01-12,v1.0.0,Weston_et_al_2020,James,JMS_2
2023-01-12,v1.0.0,Weston_et_al_2020,James,JMS_3
2023-01-12,v1.0.0,Weston_et_al_2020,James,JMS_4
2023-01-12,v1.0.0,Weston_et_al_2020,Cape Fear,CPF_2
2023-01-12,v1.0.0,Weston_et_al_2020,Cape Fear,CPF_4
2023-01-12,v1.0.0,Weston_et_al_2020,Cape Fear,CPF_6
2023-01-12,v1.0.0,Weston_et_al_2020,Cape Fear,CPF_7
2023-01-12,v1.0.0,Weston_et_al_2020,Edisto,EDS_1
2023-01-12,v1.0.0,Weston_et_al_2020,Edisto,EDS_5
2023-01-12,v1.0.0,Weston_et_al_2020,Edisto,EDS_9
2023-01-12,v1.0.0,Weston_et_al_2020,Edisto,EDS_10
2023-01-12,v1.0.0,Weston_et_al_2020,Altamaha,ALT_3
2023-01-12,v1.0.0,Weston_et_al_2020,Altamaha,ALT_5
2023-01-12,v1.0.0,Weston_et_al_2020,Altamaha,ALT_6
2023-01-12,v1.0.0,Weston_et_al_2020,Altamaha,ALT_9
2023-01-12,v1.0.0,Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_East_low
2023-01-12,v1.0.0,Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_East_mid_1
2023-01-12,v1.0.0,Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_East_mid_2
2023-01-12,v1.0.0,Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_West_low
2023-01-12,v1.0.0,Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_West_mid_1
