date,version,table,filepath_id,source
11/19/18,0.0.0,cores,https://raw.githubusercontent.com/Smithsonian/CCN-Data-Library/d34175cfbadff9b7eb6b504d75c536a79d4b99f5/data/CCRCN_synthesis/CCRCN_core_data.csv,github
10/25/19,0.2.0,cores,https://raw.githubusercontent.com/Smithsonian/CCN-Data-Library/08c56ad37603d4553d542d4c1fbb5031ad5b6ccc/data/CCRCN_synthesis/CCRCN_cores.csv,github
11/8/19,0.3.0,cores,https://raw.githubusercontent.com/Smithsonian/CCN-Data-Library/99fb7a317276100fbbc13892d01bd2a23259eb68/data/CCRCN_synthesis/CCRCN_cores.csv,github
12/7/20,0.5.0,cores,https://raw.githubusercontent.com/Smithsonian/CCN-Data-Library/1d93e7519e51a1b106ffd630ec027b02227db6d8/data/CCRCN_synthesis/CCRCN_cores.csv,github
4/2/21,0.5.1,cores,https://raw.githubusercontent.com/Smithsonian/CCN-Data-Library/856a1b4137e410fbcebb3fe2ca87e271c16f7483/data/CCRCN_synthesis/CCRCN_cores.csv,github
6/2/21,0.5.2,cores,https://raw.githubusercontent.com/Smithsonian/CCN-Data-Library/856a1b4137e410fbcebb3fe2ca87e271c16f7483/data/CCRCN_V2/cores.csv,github
10/12/21,0.6.0,cores,https://raw.githubusercontent.com/Smithsonian/CCN-Data-Library/3d4d2e65dbcb61a88cb2999f229bcaaf4a0612a3/data/CCRCN_synthesis/original/CCRCN_cores.csv,github
12/1/22,0.7.0,cores,https://raw.githubusercontent.com/Smithsonian/CCN-Data-Library/418ef3cdb6c87f8672284c94ad0203fd86d3a5a9/data/CCRCN_synthesis/CCRCN_cores.csv,github
10/16/23,1.0.0,methods,42289548,figshare
10/16/23,1.0.0,sites,42289551,figshare
10/16/23,1.0.0,cores,42289539,figshare
10/16/23,1.0.0,depthseries,42289545,figshare
10/16/23,1.0.0,species,42289554,figshare
10/16/23,1.0.0,impacts,42289560,figshare
10/16/23,1.0.0,bibliography,42289557,figshare
11/27/23,1.1.0,methods,43251324,figshare
11/27/23,1.1.0,sites,43251348,figshare
11/27/23,1.1.0,cores,43251309,figshare
11/27/23,1.1.0,depthseries,43251963,figshare
11/27/23,1.1.0,species,43251327,figshare
11/27/23,1.1.0,impacts,43251351,figshare
11/27/23,1.1.0,bibliography,43251330,figshare
12/15/23,1.1.1,methods,43694082,figshare
12/15/23,1.1.1,sites,43694088,figshare
12/15/23,1.1.1,cores,43694076,figshare
12/15/23,1.1.1,depthseries,43694085,figshare
12/15/23,1.1.1,species,43694091,figshare
12/15/23,1.1.1,impacts,43694079,figshare
12/15/23,1.1.1,bibliography,43694094,figshare
