table,study_id,site_id,core_id
methods,Weis_et_al_2001,NA,NA
methods,Watson_and_Byrne_2013,NA,NA
methods,Vaughn_et_al_2020,NA,NA
methods,Thorne_et_al_2015,NA,NA
methods,Thom_1992,NA,NA
methods,StLaurent_et_al_2020,NA,NA
methods,smith_2015,NA,NA
methods,Sanborn_and_Coxson_2020,NA,NA
methods,Poppe_Rybczyk_2018,NA,NA
methods,Poppe_Rybczyk_2019,NA,NA
methods,Poppe_et_al_2019,NA,NA
methods,Peck_et_al_2020,NA,NA
methods,Nolte_2020,NA,NA
methods,Noe_et_al_2016,NA,NA
methods,Nahlik_and_Fennessy_2016,NA,NA
methods,Messerschmidt_and_Kirwan_2020,NA,NA
methods,McTigue_et_al_2020,NA,NA
methods,Luk_et_al_2020_a,NA,NA
methods,Luk_et_al_2020_b,NA,NA
methods,Lagomasino_et_al_2019,NA,NA
methods,Krauss_et_al_2018a,NA,NA
methods,Krauss_et_al_2018b,NA,NA
methods,Krauss_et_al_2018c,NA,NA
methods,Keshta_et_al_2020_a,NA,NA
methods,Keshta_et_al_2020_b,NA,NA
methods,Kemp_et_al_2020,NA,NA
methods,Kauffman_et_al_2020,NA,NA
methods,Johnson_et_al_2007,NA,NA
methods,Breithaupt_et_al_2017,NA,NA
methods,Cochran_et_al_1998,NA,NA
methods,CRMS_Database,NA,NA
methods,Drake_et_al_2015,NA,NA
methods,Elsey_Quirk_et_al_2011,NA,NA
methods,Hill_and_Anisfeld_2015,NA,NA
methods,Kulawardhana_et_al_2015,NA,NA
methods,Merrill_1999,NA,NA
methods,Neubauer_2002,NA,NA
methods,Noe_et_al_2013,NA,NA
methods,Nuttle_1996,NA,NA
methods,Nyman_et_al_1993,NA,NA
methods,Orson_1990,NA,NA
methods,Pastore_et_al_2017,NA,NA
methods,Piazza_et_al_2011,NA,NA
methods,Radabaugh_et_al_2018,NA,NA
methods,Windham_Meyers_et_al_2010,NA,NA
methods,Gerlach_et_al_2017,NA,NA
methods,Ensign_et_al_2020,NA,NA
methods,Drexler_et_al_2019,NA,NA
methods,Drexler_et_al_2013,NA,NA
methods,Drexler_et_al_2009,NA,NA
methods,Doughty_et_al_2016,NA,NA
methods,Craft_2007,NA,NA
methods,Callaway_et_al_2019,NA,NA
methods,Buffington_et_al_2020,NA,NA
methods,Breithaupt_et_al_2020,NA,NA
methods,Breithaupt_et_al_2014,NA,NA
methods,Boyd_2012,NA,NA
methods,Boyd_and_Sommerfield_2016,NA,NA
methods,Boyd_et_al_2017,NA,NA
methods,Unger_et_al_2016,NA,NA
methods,Belshe_et_al_2019,NA,NA
methods,Baustian_et_al_2021,NA,NA
methods,Arriola_and_Cable_2017,NA,NA
methods,Abbott_et_al_2019,NA,NA
sites,Trettin_et_al_2017,1001,NA
sites,Trettin_et_al_2017,1079,NA
sites,Trettin_et_al_2017,1113,NA
sites,Trettin_et_al_2017,1130,NA
sites,Trettin_et_al_2017,1216,NA
sites,Trettin_et_al_2017,1219,NA
sites,Trettin_et_al_2017,1254,NA
sites,Trettin_et_al_2017,1285,NA
sites,Trettin_et_al_2017,13,NA
sites,Trettin_et_al_2017,1305,NA
sites,Trettin_et_al_2017,1314,NA
sites,Trettin_et_al_2017,1317,NA
sites,Trettin_et_al_2017,1359,NA
sites,Trettin_et_al_2017,1361,NA
sites,Trettin_et_al_2017,1382,NA
sites,Trettin_et_al_2017,15,NA
sites,Trettin_et_al_2017,16,NA
sites,Trettin_et_al_2017,17,NA
sites,Trettin_et_al_2017,25,NA
sites,Trettin_et_al_2017,26,NA
sites,Trettin_et_al_2017,27,NA
sites,Trettin_et_al_2017,29,NA
sites,Trettin_et_al_2017,32B,NA
sites,Trettin_et_al_2017,35,NA
sites,Trettin_et_al_2017,36,NA
sites,Trettin_et_al_2017,37,NA
sites,Trettin_et_al_2017,806,NA
sites,Trettin_et_al_2017,864,NA
sites,Trettin_et_al_2017,9001,NA
sites,Trettin_et_al_2017,9002,NA
sites,Trettin_et_al_2017,9003,NA
sites,Trettin_et_al_2017,9004,NA
sites,Trettin_et_al_2017,9005,NA
sites,Trettin_et_al_2017,9006,NA
sites,Trettin_et_al_2017,9007,NA
sites,Trettin_et_al_2017,9008,NA
sites,Trettin_et_al_2017,9009,NA
sites,Trettin_et_al_2017,9010,NA
sites,Trettin_et_al_2017,9011,NA
sites,Trettin_et_al_2017,9012,NA
sites,Trettin_et_al_2017,9013,NA
sites,Trettin_et_al_2017,9014,NA
sites,Trettin_et_al_2017,9017,NA
sites,Trettin_et_al_2017,9018,NA
sites,Trettin_et_al_2017,9019,NA
sites,Trettin_et_al_2017,9020,NA
sites,Trettin_et_al_2017,9021,NA
sites,Trettin_et_al_2017,9022,NA
sites,Trettin_et_al_2017,9023,NA
sites,Trettin_et_al_2017,9024,NA
sites,Trettin_et_al_2017,9025,NA
sites,Trettin_et_al_2017,9027,NA
sites,Smith_et_al_2015,09WCC01,NA
sites,Campbell_et_al_2015,Abu al Abyad,NA
sites,Schile-Beers_and_Megonigal_2017,Abu al Abyad 10 yr,NA
sites,Schile-Beers_and_Megonigal_2017,Abu al Abyad 3 yr,NA
sites,Schile-Beers_and_Megonigal_2017,Abu al Abyad 5 yr,NA
sites,Schile-Beers_and_Megonigal_2017,Ajman al Zorah,NA
sites,Schile-Beers_and_Megonigal_2017,Al Aryam,NA
sites,Campbell_et_al_2015,Al Dabiya 1,NA
sites,Campbell_et_al_2015,Al Dabiya 2,NA
sites,Campbell_et_al_2015,Al Dabiya 3,NA
sites,Schile-Beers_and_Megonigal_2017,Al Khor,NA
sites,Schile-Beers_and_Megonigal_2017,Al Rams,NA
sites,Schile-Beers_and_Megonigal_2017,Al Shalila,NA
sites,Schile-Beers_and_Megonigal_2017,Algal Moon,NA
sites,Campbell_et_al_2015,Bu Tinah 2,NA
sites,Campbell_et_al_2015,Bu Tinah 3,NA
sites,Schile-Beers_and_Megonigal_2017,Bu Tinah Janoub,NA
sites,Campbell_et_al_2015,Bu Tinah SE,NA
sites,Campbell_et_al_2015,Dahwat an Nahklah,NA
sites,Schile-Beers_and_Megonigal_2017,Eastern Mangrove,NA
sites,Campbell_et_al_2015,Fasht al Basm,NA
sites,Campbell_et_al_2015,Ghurab N,NA
sites,Campbell_et_al_2015,Ghurab NE,NA
sites,Campbell_et_al_2015,Ghurab NN,NA
sites,Campbell_et_al_2015,Halat Idai,NA
sites,Campbell_et_al_2015,Jazirat,NA
sites,Schile-Beers_and_Megonigal_2017,Jubail Island,NA
sites,Schile-Beers_and_Megonigal_2017,Jubail Island East,NA
sites,Schile-Beers_and_Megonigal_2017,Kalba East,NA
sites,Schile-Beers_and_Megonigal_2017,Kalba North,NA
sites,Schile-Beers_and_Megonigal_2017,Kalba South,NA
sites,Schile-Beers_and_Megonigal_2017,Kalba West,NA
sites,Campbell_et_al_2015,Marawah,NA
sites,Schile-Beers_and_Megonigal_2017,Marawah Island,NA
sites,Schile-Beers_and_Megonigal_2017,Rafiq Island,NA
sites,Schile-Beers_and_Megonigal_2017,Ras al Kaimah,NA
sites,Campbell_et_al_2015,Ras Muhayjij,NA
sites,Schile-Beers_and_Megonigal_2017,Sabkha Moon,NA
sites,Schile-Beers_and_Megonigal_2017,Salaam,NA
sites,Campbell_et_al_2015,Sila peninsula,NA
sites,Schile-Beers_and_Megonigal_2017,Sinnia,NA
sites,Schile-Beers_and_Megonigal_2017,Thumayriyah,NA
sites,Campbell_et_al_2015,Umm al Hatam,NA
sites,Schile-Beers_and_Megonigal_2017,Umm al Quwain,NA
sites,Sanborn_and_Coxson_2020,BC14-22,NA
sites,Sanborn_and_Coxson_2020,BC14-23,NA
sites,Sanborn_and_Coxson_2020,BC14-25,NA
sites,Sanborn_and_Coxson_2020,BC14-26,NA
sites,Sanborn_and_Coxson_2020,BC14-27,NA
sites,Sanborn_and_Coxson_2020,BC14-28,NA
sites,Sanborn_and_Coxson_2020,BC14-29,NA
sites,Sanborn_and_Coxson_2020,BC14-30,NA
sites,Sanborn_and_Coxson_2020,BC14-31,NA
sites,Sanborn_and_Coxson_2020,BC17-08,NA
sites,Sanborn_and_Coxson_2020,BC17-09,NA
sites,Sanborn_and_Coxson_2020,BC17-10,NA
sites,Sanborn_and_Coxson_2020,BC17-11,NA
sites,Sanborn_and_Coxson_2020,BC17-12,NA
sites,Sanborn_and_Coxson_2020,BC17-13,NA
sites,Sanborn_and_Coxson_2020,BC17-14,NA
sites,Sanborn_and_Coxson_2020,BC17-15,NA
sites,Sanborn_and_Coxson_2020,BC17-16,NA
sites,Sanborn_and_Coxson_2020,BC17-17,NA
sites,Sanborn_and_Coxson_2020,BC17-18,NA
sites,Sanborn_and_Coxson_2020,BC17-19,NA
sites,Sanborn_and_Coxson_2020,BC17-20,NA
sites,Sanborn_and_Coxson_2020,BC17-21,NA
sites,Sanborn_and_Coxson_2020,BC17-22,NA
sites,Sanborn_and_Coxson_2020,BC17-23,NA
sites,Sanborn_and_Coxson_2020,BC17-24,NA
sites,Sanborn_and_Coxson_2020,BC17-25,NA
sites,Sanborn_and_Coxson_2020,BC17-26,NA
sites,Sanborn_and_Coxson_2020,BC17-27,NA
sites,Sanborn_and_Coxson_2020,BC17-28,NA
sites,Sanborn_and_Coxson_2020,BC17-29,NA
sites,Sanborn_and_Coxson_2020,BC17-30,NA
sites,Sanborn_and_Coxson_2020,BC17-31,NA
sites,Osland_et_al_2016,Galveston_Bay,NA
sites,Osland_et_al_2016,Grand_Bay,NA
sites,Osland_et_al_2016,Lake_Pontchartrain,NA
sites,Osland_et_al_2016,Lower_Laguna_Madre,NA
sites,Osland_et_al_2016,San_Antonio_Bay,NA
sites,Osland_et_al_2016,Tampa_Bay,NA
sites,Osland_et_al_2016,Ten_Thousand_Islands,NA
sites,Osland_et_al_2016,Upper_Laguna_Madre,NA
sites,Osland_et_al_2016,Weeks_Bay,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2426,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1266,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2418,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2407,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2434,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2435,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-R067,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1002,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2410,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1105,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2639,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2637,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2536,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2420,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2066,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2025,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2404,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2412,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2666,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2653,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2647,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2634,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2651,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2652,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2427,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1021,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1017,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1823,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1836,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1010,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1203,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2599,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2600,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2582,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2531,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1222,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1210,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-R127,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1622,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1638,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1646,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1661,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1677,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1685,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1697,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2588,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1197,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1226,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2443,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2450,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2454,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2458,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1202,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-3047,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2677,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1335,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1326,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1303,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1218,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1213,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2549,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2577,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1039,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2355,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2632,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2636,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2643,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2674,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2664,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1633,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2538,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1669,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1643,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1630,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1645,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1614,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1673,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1961,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2581,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2575,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2603,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2565,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1200,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1198,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1233,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1665,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1635,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1683,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1705,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2026,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-R135,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1027,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1005,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1019,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1260,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1364,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1334,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-4499,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2721,NA
