date,version,study_id,site_id,core_id
2023-09-25,v1.1.0,Weston_et_al_2023,Kennebec,KEN_1
2023-09-25,v1.1.0,Weston_et_al_2023,Kennebec,KEN_7
2023-09-25,v1.1.0,Weston_et_al_2023,Kennebec,KEN_8
2023-09-25,v1.1.0,Weston_et_al_2023,Plum Island Sound,PIE_1
2023-09-25,v1.1.0,Weston_et_al_2023,Plum Island Sound,PIE_2
2023-09-25,v1.1.0,Weston_et_al_2023,Plum Island Sound,PIE_7
2023-09-25,v1.1.0,Weston_et_al_2023,Plum Island Sound,PIE_8
2023-09-25,v1.1.0,Weston_et_al_2023,Connecticut,CON_1
2023-09-25,v1.1.0,Weston_et_al_2023,Connecticut,CON_2
2023-09-25,v1.1.0,Weston_et_al_2023,Connecticut,CON_8
2023-09-25,v1.1.0,Weston_et_al_2023,Delaware,DEL_3
2023-09-25,v1.1.0,Weston_et_al_2023,Delaware,DEL_5
2023-09-25,v1.1.0,Weston_et_al_2023,Delaware,DEL_9
2023-09-25,v1.1.0,Weston_et_al_2023,York,YRK_2
2023-09-25,v1.1.0,Weston_et_al_2023,York,YRK_3
2023-09-25,v1.1.0,Weston_et_al_2023,York,YRK_5
2023-09-25,v1.1.0,Weston_et_al_2023,James,JMS_2
2023-09-25,v1.1.0,Weston_et_al_2023,James,JMS_3
2023-09-25,v1.1.0,Weston_et_al_2023,James,JMS_4
2023-09-25,v1.1.0,Weston_et_al_2023,Cape Fear,CPF_2
2023-09-25,v1.1.0,Weston_et_al_2023,Cape Fear,CPF_4
2023-09-25,v1.1.0,Weston_et_al_2023,Cape Fear,CPF_6
2023-09-25,v1.1.0,Weston_et_al_2023,Cape Fear,CPF_7
2023-09-25,v1.1.0,Weston_et_al_2023,Edisto,EDS_1
2023-09-25,v1.1.0,Weston_et_al_2023,Edisto,EDS_5
2023-09-25,v1.1.0,Weston_et_al_2023,Edisto,EDS_9
2023-09-25,v1.1.0,Weston_et_al_2023,Edisto,EDS_10
2023-09-25,v1.1.0,Weston_et_al_2023,Altamaha,ALT_3
2023-09-25,v1.1.0,Weston_et_al_2023,Altamaha,ALT_5
2023-09-25,v1.1.0,Weston_et_al_2023,Altamaha,ALT_6
2023-09-25,v1.1.0,Weston_et_al_2023,Altamaha,ALT_9
2023-09-25,v1.1.0,Wang_et_al_2023,Big_Egg,Big_Egg
2023-09-25,v1.1.0,Wang_et_al_2023,Black_Bank,Black_Bank
2023-09-25,v1.1.0,Wang_et_al_2023,Duck_Point,Duck_Point
2023-09-25,v1.1.0,Wang_et_al_2023,East_High,East_High
2023-09-25,v1.1.0,Wang_et_al_2023,Fresh_Creek,Fresh_Creek
2023-09-25,v1.1.0,Wang_et_al_2023,JoCo,JoCo
2023-09-25,v1.1.0,Wang_et_al_2023,Little_Egg,Little_Egg
2023-09-25,v1.1.0,Wang_et_al_2023,Ruffle_Bar,Ruffle_Bar
2023-09-25,v1.1.0,Wang_et_al_2023,Spring_Creek,Spring_Creek
2023-09-25,v1.1.0,Wang_et_al_2023,Yellow_Bar,Yellow_Bar
2023-09-25,v1.1.0,Wang_et_al_2023,Stony_Creek,Stony_Creek
2023-09-25,v1.1.0,Wang_et_al_2023,Four_Sparrow,Four_Sparrow
2023-09-25,v1.1.0,van_Ardenne_et_al_2018,Grant's Beach,Grant's Beach_A_O10
2023-09-25,v1.1.0,van_Ardenne_et_al_2018,Grant's Beach,Grant's Beach_A_O10X1
2023-09-25,v1.1.0,van_Ardenne_et_al_2018,Grant's Beach,Grant's Beach_A_O10X2
2023-09-25,v1.1.0,van_Ardenne_et_al_2018,Grant's Beach,Grant's Beach_A_O33
2023-09-25,v1.1.0,van_Ardenne_et_al_2018,Grant's Beach,Grant's Beach_A_O5
2023-09-25,v1.1.0,van_Ardenne_et_al_2018,Grant's Beach,Grant's Beach_B_O31
2023-09-25,v1.1.0,van_Ardenne_et_al_2018,Grant's Beach,Grant's Beach_B_W22
2023-09-25,v1.1.0,van_Ardenne_et_al_2018,Grant's Beach,Grant's Beach_B_W4
2023-09-25,v1.1.0,van_Ardenne_et_al_2018,Grant's Beach,Grant's Beach_C_W34
2023-09-25,v1.1.0,van_Ardenne_et_al_2018,Grant's Beach,Grant's Beach_C_W5
2023-09-25,v1.1.0,van_Ardenne_et_al_2018,Grant's Beach,Grant's Beach_C_W7
2023-09-25,v1.1.0,van_Ardenne_et_al_2018,Grant's Beach,Grant's Beach_D_O14
2023-09-25,v1.1.0,van_Ardenne_et_al_2018,Grant's Beach,Grant's Beach_D_O18
