study_id,site_id,core_id,method_id,sample_id,depth_min,depth_max,compaction_notes,dry_bulk_density,fraction_organic_matter,fraction_carbon,carbon_density,fraction_nitrogen,nitrogen_density,cn_ratio,fraction_h2o,delta_c13,N_umoles,delta_n15,C_umoles
Gunn_2016,Long,Brackish,single set of methods,NA,0,50,NA,NA,NA,NA,0.038,NA,NA,NA,NA,NA,NA,NA,NA
Gunn_2016,Long,Fresh,single set of methods,NA,0,50,NA,NA,NA,NA,0.032,NA,NA,NA,NA,NA,NA,NA,NA
Gunn_2016,Long,Sal,single set of methods,NA,0,50,NA,NA,NA,NA,0.031,NA,NA,NA,NA,NA,NA,NA,NA
Gunn_2016,Long,TE,single set of methods,NA,0,50,NA,NA,NA,NA,0.071,NA,NA,NA,NA,NA,NA,NA,NA
Gunn_2016,Long,TW,single set of methods,NA,0,50,NA,NA,NA,NA,0.06,NA,NA,NA,NA,NA,NA,NA,NA
Johnson_et_al_2015,Sprague,Johnson_Sprague_17,single set of methods,14478,0,7,NA,0.19442732763016546,NA,0.23150631300000002,0.0450111537661026,0.013211815,NA,19.9254387355125,NA,-16.7262265293761,2.22116564353997,3.71310733326627,44.2576999517809
Johnson_et_al_2015,Sprague,Johnson_Sprague_17,single set of methods,14479,13,20,NA,0.14755467152657661,NA,0.19973358300000002,0.0294716232323912,0.013946589,NA,16.5274785335427,NA,-19.1491935483871,4.43681381336014,3.75762391973776,73.3293450576353
Johnson_et_al_2015,Sprague,Johnson_Sprague_17,single set of methods,14480,20,30,NA,0.21088505669074828,NA,0.15721992399999998,0.0331553325856551,0.012131712999999999,NA,14.9558126253164,NA,-19.9778225806452,8.72140049967348,3.19241084732294,130.435631703457
Johnson_et_al_2015,Sprague,Johnson_Sprague_17,single set of methods,14481,30,40,NA,0.2506950410726218,NA,0.11604253399999999,0.0290912878273011,0.008501841,NA,15.5213901828582,NA,-18.0153442358167,1.13831437855616,3.02605371692989,17.6682216203279
Johnson_et_al_2015,Sprague,Johnson_Sprague_17,single set of methods,14482,40,50,NA,0.37509878194359564,NA,0.08327551899999999,0.0312365457426207,0.0066610950000000006,NA,14.2166591593727,NA,-17.5752069452857,0.983426605169802,3.79961774469369,13.9810408539581
Johnson_et_al_2015,Sprague,Johnson_Sprague_17,single set of methods,14483,50,60,NA,0.6011413927589759,NA,0.040018285,0.0240566475807256,0.00358438,NA,12.8847224003881,NA,-14.9485887096774,2.55628387320446,6.21913181682726,32.9370080828285
Johnson_et_al_2015,Sprague,Johnson_Sprague_17,single set of methods,14484,60,70,NA,0.6396680729869396,NA,0.031265452,0.0199995114319056,0.002780238,NA,12.9779175650583,NA,-15.523185483871,2.34492110035986,6.44263434985597,30.432192737036
Johnson_et_al_2015,Sprague,Johnson_Sprague_17,single set of methods,14485,70,78.5,NA,0.6423763958639028,NA,0.021806081,0.0140077117206963,0.001967778,NA,12.7889348934445,NA,-16.7157258064516,1.33313562662641,6.20025826959372,17.0493847330565
Johnson_et_al_2015,Sprague,Johnson_Sprague_18,single set of methods,14486,0,10,NA,0.12171510057305829,NA,0.21368038299999997,0.0260081293073346,0.013159155,NA,18.4646372766076,NA,-25.2755905511811,1.7581210624867,1.38235589980887,32.4630677071809
Johnson_et_al_2015,Sprague,Johnson_Sprague_18,single set of methods,14487,10,20,NA,0.052056485065351085,NA,0.171045681,0.0089040369384693,0.013636043,NA,14.4759097867389,NA,-19.7762096774194,4.04123653224662,3.82715804112447,58.5005754676756
Johnson_et_al_2015,Sprague,Johnson_Sprague_18,single set of methods,14488,20,30,NA,0.16640045978504656,NA,0.165603681,0.0275565286604961,0.013740846,NA,13.9084183987609,NA,-18.7943548387097,2.52593687050656,3.02950233435979,35.131786843862
Johnson_et_al_2015,Sprague,Johnson_Sprague_18,single set of methods,14489,30,40,NA,0.16544979121704276,NA,0.171673731,0.0284033829514007,0.013233577000000002,NA,14.7517413003026,NA,-17.580254391278,2.06125125924614,3.00191127653154,30.4070453313221
Johnson_et_al_2015,Sprague,Johnson_Sprague_18,single set of methods,14490,40,50,NA,0.17162224800640077,NA,0.161176195,0.027661420911018,0.012943699,NA,14.3703163039569,NA,-20.03125,3.91640372655415,2.90930763881991,56.2799603245788
Johnson_et_al_2015,Sprague,Johnson_Sprague_18,single set of methods,14491,50,55,NA,0.28012246500683474,NA,0.037851396,0.0106030263514698,0.003004793,NA,14.5374633129833,NA,-19.9576612903226,1.95877599576055,3.03049567895103,28.4756341767212
