study_id,method_id,coring_method,roots_flag,sediment_sieved_flag,compaction_flag,dry_bulk_density_temperature_min,dry_bulk_density_temperature_max,dry_bulk_density_time_min,dry_bulk_density_time_max,dry_bulk_density_flag,loss_on_ignition_temperature,loss_on_ignition_time,carbon_measured_or_modeled,carbonates_removed,carbonate_removal_method,fraction_carbon_method,fraction_carbon_type,carbon_profile_notes,dry_bulk_density_time
Gunn_2016,single set of methods,gouge auger,roots and rhizomes included,sediment not sieved,not specified,NA,NA,NA,NA,freeze dried,NA,NA,measured,FALSE,carbonates not removed,EA,total carbon,NA,NA
Kulesza_2018,gouge auger used,gouge auger,roots and rhizomes included,sediment not sieved,compaction quantified,NA,NA,NA,NA,freeze dried,NA,NA,measured,FALSE,carbonates not removed,EA,total carbon,NA,NA
Kulesza_2018,vibra corer used,vibracore,roots and rhizomes included,sediment not sieved,compaction quantified,NA,NA,NA,NA,freeze dried,NA,NA,measured,FALSE,carbonates not removed,EA,total carbon,NA,NA
Karboski_2020,single set of methods,gouge auger,roots and rhizomes included,sediment not sieved,not specified,60,80,24,48,time approximate,450,4,modeled,FALSE,carbonates not removed,local regression,total carbon,Modeled carbon values not archived. These can be requested from the corresponding author or calculated using the Maine-specific relationship described in the Blue Carbon Manual (Howard et al 2014),NA
Stames_2017,single set of methods,gouge auger,roots and rhizomes included,sediment not sieved,not specified,60,80,24,48,time approximate,450,4,modeled,FALSE,carbonates not removed,local regression,total carbon,Modeled carbon values not archived. These can be requested from the corresponding author or calculated using the Maine-specific relationship described in the Blue Carbon Manual (Howard et al 2014),NA
Pickoff_2013,single set of methods,gouge auger,roots and rhizomes included,sediment not sieved,not specified,60,80,24,48,time approximate,450,4,measured,FALSE,carbonates not removed,EA,total carbon,NA,NA
Russ_2014,single set of methods,dutch auger,roots and rhizomes included,sediment not sieved,not specified,NA,NA,NA,NA,NA,NA,NA,measured,NA,NA,EA,total carbon,NA,36
Johnson_et_al_2015,single set of methods,dutch auger,roots and rhizomes included,sediment not sieved,not specified,NA,NA,NA,NA,NA,NA,NA,measured,NA,NA,EA,total carbon,NA,36
