CoreName,Site,State,Lat,Lon,m_NAVD88,GPS_method
BHP001_16m,Bald Head Point,ME,43.81595,-69.79872,1.345,RTK
BHP002_16m,Bald Head Point,ME,43.8169961,-69.796887,1.498,RTK
BHP004_16m,Bald Head Point,ME,43.8245,-69.79278,1.372,RTK
BRN_1,Barn Island,CT,41.26903,-72.7548,0.717,RTK
BRN_2,Barn Island,CT,41.26983,-72.7556,0.802,RTK
CHP_A2,Chapman Pond,CT,41.43568,-72.4434,0.299,RTK
CHP_B1,Chapman Pond,CT,41.43551,-72.4432,0.167,RTK
CHP_C3,Chapman Pond,CT,41.43328,-72.4396,0.537,RTK
COR001,Cousins River,ME,43.820893,-70.153749,,handheld
COR002,Cousins River,ME,43.818809,-70.160187,,handheld
COR003,Cousins River,ME,43.818734,-70.159936,,handheld
COR004,Cousins River,ME,43.807744,-70.152628,,handheld
GM1_B1,Great Island Marsh,CT,41.2888,-72.3273,0.58,RTK
GM2_C2,Great Island Marsh,CT,41.28568,-72.3273,0.439,RTK
GM3,Great Island Marsh,CT,41.28627,-72.3274,0.37,RTK
GUL1,Guilford Connecticut,CT,41.27201,-72.6606,0.879,RTK
GUL2,Guilford Connecticut,CT,41.2712,-72.6556,0.883,RTK
HED002_16m,Heal Eddy,ME,43.7634388,-69.770503,1.606,RTK
HED003_16m,Heal Eddy,ME,43.7648801,-69.768729,1.469,RTK
HMP1,Hempstead,NY,40.6139,-73.5866,0.592,RTK
HMP2,Hempstead,NY,40.61469,-73.5897,0.593,RTK
HMP3,Hempstead,NY,40.61042,-73.5897,0.588,RTK
HMP4,Hempstead,NY,40.61013,-73.6157,0.617,RTK
HSB_002_10m,Hampton Seabrook,NH,42.8679769,-70.830484,1.067,RTK
HSB_002_110m,Hampton Seabrook,NH,42.8685994,-70.831007,1.223,RTK
HSB_002_40m,Hampton Seabrook,NH,42.8682081,-70.830741,1.201,RTK
PRM1,Piermont,NY,41.0336,-73.9121,0.619,RTK
PRM2,Piermont,NY,41.03405,-73.9074,0.792,RTK
SAG002_0to100cm,Sagadahoc,ME,43.77166,-69.75092,1.5,RTK
SAG003_0to100cm,Sagadahoc,ME,43.772568,-69.750341,1.345,RTK
SAG004_0to100cm,Sagadahoc,ME,43.773306,-69.74943,1.328,RTK
SAG005,Sagadahoc,ME,43.7754327,-69.748531,1.34,RTK
SPG003_0to100cm,Sprague,ME,43.74259,-69.83208,1.264,RTK
WEL001_0to100cm,Wells,ME,43.3350882,-70.544049,1.273,RTK
WEL002_0to100cm,Wells,ME,43.3218896,-70.567622,1.394,RTK
WEL003_0to100cm,Wells,ME,43.3427138,-70.54638,1.55,RTK
WEL004_0to100cm,Wells,ME,43.2986328,-70.584911,1.509,RTK
WEL004_Paten_0to100cm,Wells,ME,43.2986113,-70.584854,1.492,RTK
WEL005_0to100cm,Wells,ME,43.2981375,-70.576495,1.361,RTK
