Samp_ID,Site,Vol_cm3,dry_mass_g,loi,BD_g_cm3,Elev_mNAVD88,Lat,Lon,perC,CD_gC_cm3,Mineral_g_cm3
SR_BD_1,SR,418.53833,68,0.54167,0.16268,1.302,42.12988819,-70.69112647,26.99684,0.04392,0.074561124
SR_BD_2,SR,418.53833,55,0.61773,0.13158,1.27,42.12989909,-70.69135854,30.95195,0.04073,0.050299087
SR_BD_3,SR,418.53833,77,0.53015,0.18421,1.269,42.12989919,-70.69181304,26.39803,0.04863,0.086551069
SR_BD_4,SR,418.53833,73,0.49481,0.17464,1.26,42.12989707,-70.69168643,24.56037,0.04289,0.088226382
SR_BD_9,SR,418.53833,67,0.56212,0.16029,1.188,42.12976116,-70.69221047,28.06015,0.04498,0.070187785
SR_BD_16,SR,418.53833,112,0.28336,0.26794,1.217,42.1284222,-70.68929821,13.56458,0.03635,0.192016522
SR_BD_17,SR,418.53833,177,0.21447,0.42344,1.168,42.12568356,-70.68435509,9.98236,0.04227,0.332624823
SR_BD_18,SR,418.53833,100,0.40234,0.23923,1.201,42.1293039,-70.6895824,19.75163,0.04725,0.142978202
SR_BD_19a,SR,418.53833,70,0.50933,0.16746,1.101,42.12832004,-70.68933299,25.31497,0.04239,0.082167598
SR_BD_19b,SR,418.53833,129,0.22402,0.30861,1.101,42.12832004,-70.68933299,10.47893,0.03234,0.239475188
SR_BD_20,SR,418.53833,128,0.26074,0.30622,0.938,42.12488913,-70.68585902,12.3884,0.03794,0.226376197
SR_BD_21,SR,418.53833,125,0.2885,0.29904,1.182,42.12578925,-70.68787754,13.83198,0.04136,0.21276696
SR_BD_25,SR,418.53833,123,0.23994,0.29426,1.249,42.12843441,-70.68925969,11.30693,0.03327,0.223655256
SR_BD_26,SR,418.53833,87,0.3846,0.20813,1.232,42.13058876,-70.69229011,18.82928,0.03919,0.128083202
SR_BD_27,SR,418.53833,118,0.26422,0.2823,1.221,42.1287238,-70.68939141,12.56964,0.03548,0.207710694
SR_BD_33,SR,418.53833,81,0.42899,0.19378,1.21,42.12566964,-70.68805118,21.13733,0.04096,0.110650318
SR_BD_36,SR,418.53833,61,0.65543,0.14593,1.294,42.13082805,-70.69231522,32.91211,0.04803,0.0502831
SR_BD_37,SR,418.53833,158,0.19118,0.37799,0.863,42.12622133,-70.68749095,8.77139,0.03316,0.305725872
SR_BD_38,SR,418.53833,98,0.37382,0.23445,1.124,42.12550799,-70.68824526,18.26848,0.04283,0.146807901
SR_BD_40,SR,418.53833,195,0.29321,0.46651,1.288,42.12538945,-70.68835968,14.07716,0.06567,0.329724603
SR_BD_41,SR,418.53833,58,0.62526,0.13876,1.301,42.13065295,-70.69229524,31.34361,0.04349,0.051998922
SR_BD_42,SR,418.53833,138,0.23884,0.33014,0.899,42.12493755,-70.68572045,11.24973,0.03714,0.251289362
