dstart,dend,BHP001_16m_LOI,BHP002_16m_LOI,BHP004_16m_LOI,BRN_1_LOI,BRN_2_LOI,CHP_A2_LOI,CHP_B1_LOI,CHP_C3_LOI,COR001_LOI,COR002_LOI,COR003_LOI,COR004_LOI,GM1_B1_LOI,GM2_C2_LOI,GM3_LOI,GUL1_LOI,GUL2_LOI,HED002_16m_LOI,HED003_16m_LOI,HMP1_LOI,HMP2_LOI,HMP3_LOI,HMP4_LOI,HSB_002_10m_LOI,HSB_002_110m_LOI,HSB_002_40m_LOI,PRM1_LOI,PRM2_LOI,SAG002_0to100cm_LOI,SAG003_0to100cm_LOI,SAG004_0to100cm_LOI,SAG005_LOI,SPG003_0to100cm_LOI,WEL001_0to100cm_LOI,WEL002_0to100cm_LOI,WEL003_0to100cm_LOI,WEL004_0to100cm_LOI,WEL004_Paten_0to100cm_LOI,WEL005_0to100cm_LOI
0,10,25.163857705,40.96034257,20.7581732475,26.45839093,53.7670985,26.44109143,23.889997765,9.533902007,33.338423125,20.409007125,21.173539075,20.334465775,29.83393621,41.06565444,37.70034216,22.519895335,27.42432497,25.573656985,28.624562105,51.871205595,60.935462085,46.31313479,33.72687659,30.71493503,32.7442565,40.12135563,26.25346435,57.56713278,30.500729215,18.853283875,12.179569235,39.654767265,38.42182586,23.55650902,44.770451165,35.987669075,40.422671,40.422671,30.81363628
10,20,26.00070955,34.84978574,38.37560913,25.95620968,32.19607524,16.5101819,11.932251785,9.151521958,29.578006065,21.528360445,30.38299307,23.697596325,11.06463693,27.51757509,37.17948718,18.60887023,27.00279746,31.710798425,22.558540335,33.45249112,53.353054765,45.190167375,45.403255085,24.42559208,36.75805818,28.42830639,26.35126292,30.60587133,32.05828592,11.76276767,12.134498645,37.29301751,39.35121726,30.05226275,25.40094096,53.151145235,41.31609397,41.31609397,31.64174554
20,30,18.610645995,30.45532138,30.29960139,10.2915952,40.54245841,13.56999375,11.394222855,9.691741027,29.044648675,15.732268325,11.62374688,20.647095375,40.24055895,29.12029987,28.59372783,10.83128746,27.40098131,20.307689487,12.718916695,30.017689225,63.98267626,45.576465785,53.332423665,37.74429009,17.14499626,30.59506531,42.00581395,44.78900256,19.574837,10.659925169,11.67590352,26.39368083,53.648641975,22.1558502655,9.8234538185,47.47584917,37.635766895,37.635766895,30.05797658
30,40,15.559214715,31.90239834,24.631920395,11.83195959,34.11042945,9.933832746,8.7419314415,6.963249017,36.64741656,6.893756924,16.68563158,26.85698699,35.94095289,32.51877592,19.64810982,7.0735574935,21.941048095,30.953441655,7.4598014945,20.66250239,67.30485342,34.949590905,29.502334395,41.7268169,29.96167735,30.27979055,31.54015056,60.45069258,6.7177392025,3.705704378,10.4848785265,28.33456884,64.51105893,8.027940459,5.6985316505,40.769191175,20.94250554,20.94250554,28.81928051
40,50,16.39709689,29.4369761,18.84525293,25.11595221,26.90124858,13.11158975,10.5492127795,7.7741945495,20.4451022,9.19548821,10.145202043,28.78911372,18.70074039,20.40686136,20.79764454,8.2108398555,22.87402327,51.26373307,6.195645294,15.168076405,71.015499265,29.94661432,26.010843965,38.5745031,34.38837272,34.05405405,24.47625981,40.36303931,1.80922966,4.6224631335,7.2736486915,20.045355835,47.51262199,4.622581449,3.296491828,30.20652249,34.220606955,34.220606955,23.58325574
50,60,12.950243885,12.504791708,20.94651074,25.8283329,13.48669077,96.90833673,3.5069923735,10.048637405,19.24073498,10.3655765055,10.31291787,24.791900625,24.83874073,22.92682927,12.80050171,6.8462655955,26.42874333,54.89352177,7.6923788235,25.69067212,71.788593945,18.4363764665,25.997792385,24.77177399,23.54796958,41.87521177,19.40155366,51.72616424,1.9609945255,3.8443128795,9.2587864295,30.648948045,31.171890755,7.349838271,4.9982603,36.456472555,28.29080177,28.29080177,27.56841316
60,70,9.49531625,14.361463525,20.01831269,18.28177988,19.11199877,5.2859163,9.1280878375,4.792843312,14.86725519,9.202494692,11.886873265,35.932646855,19.09711607,16.46676827,8.2710816755,12.367887805,29.496645015,NaN,8.6369228695,17.820398225,68.96753842,23.563986375,19.061929425,29.76590792,35.86583897,31.91293562,27.03039751,16.43920596,2.20243201,4.620724175,10.5072475165,11.206183785,53.016302975,3.8370777265,11.260396945,15.130676265,27.44763535,27.44763535,34.81818383
70,80,9.702967561,14.649331065,17.644038755,18.99355073,21.36931352,8.770596333,9.5672415955,4.390308169,14.91605411,10.90162043,9.103311423,23.853268475,21.45378337,21.36892539,8.8300515535,13.4596739,25.59694361,NaN,8.3772247325,29.97156902,74.26090985,38.3636595,18.505968085,37.71843982,NaN,23.67097921,23.98266927,14.91364758,NaN,5.111204364,7.1463850085,11.589313935,41.991479835,12.2092570885,10.1345351625,17.395538,33.406170115,33.406170115,29.65685013
80,90,11.05406054,25.35582864,11.005661816,15.80123668,14.40996457,7.273592125,6.930009556,8.863774588,25.39810399,7.7837459145,7.5411299355,NaN,30.3030303,25.59198543,8.076370988,5.3626195445,28.993142335,NaN,11.317614635,27.698733855,NaN,NaN,33.87125695,19.79096141,NaN,34.29583464,29.97861083,23.94271837,NaN,4.1040293065,7.0640959875,10.061594687,39.321621625,19.095218775,16.5541992,18.60213438,31.16038077,99.924027635,21.455362115
90,100,13.46868427,31.33280978,24.199477315,15.83033303,21.82257245,8.079077557,7.8587290885,13.0479368165,20.340471185,6.728091856,6.264740436,NaN,NaN,NaN,6.37179032,11.1735490645,24.985746075,NaN,10.65765548,NaN,NaN,NaN,NaN,33.0309412,NaN,28.87931034,NaN,72.49059165,32.992342165,4.7667625225,5.316828232,11.3808435595,NaN,NaN,18.01559735,15.67457281,40.144435,40.144435,NaN
