dstart,dend,BHP001_16m_BD,BHP002_16m_BD,BHP004_16m_BD,BRN_1_BD,BRN_2_BD,CHP_A2_BD,CHP_B1_BD,CHP_C3_BD,COR001_BD,COR002_BD,COR003_BD,COR004_BD,GM1_B1_BD,GM2_C2_BD,GM3_BD,GUL1_BD,GUL2_BD,HED002_16m_BD,HED003_16m_BD,HMP1_BD,HMP2_BD,HMP3_BD,HMP4_BD,HSB_002_10m_BD,HSB_002_110m_BD,HSB_002_40m_BD,PRM1_BD,PRM2_BD,SAG002_0to100cm_BD,SAG003_0to100cm_BD,SAG004_0to100cm_BD,SAG005_BD,SPG003_0to100cm_BD,WEL001_0to100cm_BD,WEL002_0to100cm_BD,WEL003_0to100cm_BD,WEL004_0to100cm_BD,WEL004_Paten_0to100cm_BD,WEL005_0to100cm_BD
0,10,0.33225,0.328025478,0.13065,0.1489,,0.5446,,,,0.41755,0.2598,0.40255,0.0917,0.0777,0.1025,,0.2371,0.14775,0.2484,0.262694268,0.217070064,0.15416242,0.20638535,0.303515924,,0,0.1485,,0.615022293,0.1567,0.46145,0.1637,0.0898,0.15035,,0.0858,0.1558,0.0661,0.09385
10,20,0.37515,0.370382166,0.17935,0.1739,,0.5166,,,0.3015,0.3796,0.1868,0.5891,0.086,0.1032,0.0949,,0.18675,0.1442,0.32645,0.241105096,0.226627389,0.191414013,0.170955414,0.149375796,,0,0.0859,,0.733181529,0.38095,0.46825,0.14075,0.0803,0.17355,,0.08675,0.12905,0.0916,0.07905
20,30,0.43065,0.425159236,0.19035,0.3965,,0.5008,,,0.22235,0.49445,0.361,0.6313,0.1497,0.1006,0.1592,,0.1811,0.5613,0.46675,0.357047771,0.234149682,0.170025478,0.190235669,0.130605096,,0,0.2177,,0.892914013,0.3825,0.4535,0.10935,0.0871,0.5255,,0.2755,0.2548,0.1071,0.0916
30,40,0.51,0.503503185,0.3226,0.4868,,0.542,,,0.18095,0.8192,0.3089,0.4116,0.0955,0.1344,0.342,,0.26755,0.2116,0.6423,0.37655414,0.250847134,0.238079618,0.305996815,0.278044586,,0,0.0522,,0.86177707,0.7696,0.52555,0.1947,0.09745,0.8142,,0.10515,0.2097,0.1755,0.1597
40,50,0.4719,0.465923567,0.31965,0.2498,,0.6605,,,0.17715,0.6142,0.39755,0.2811,0.2732,0.1414,0.1707,,0.246,0.1497,0.69455,0.57216242,0.207821656,0.214235669,0.191378981,0.377847134,,0,0.092,,0.931159236,0.765,0.6149,0.32725,0.1471,0.8768,,0.3016,0.1987,0.1571,0.1526
50,60,0.5506,0.543630573,0.4216,0.1859,,0.986,,,0.23665,0.72495,0.38285,0.2652,0.2446,0.1892,0.4013,,0.17255,0.12,0.54515,0.502652866,0.205378981,0.241640127,0.302882166,0.266847134,,0,0.0654,,0.78216242,0.6957,0.53195,0.41565,0.0529,0.4568,,0.1868,0.32935,0.21325,0.08325
60,70,0.64515,0.636305732,0.3919,0.2149,,0.3688,,,0.25935,0.55195,0.376,0.29375,0.2637,0.2076,0.4917,,0.18915,,0.5787,0.390321656,0.184136943,0.285611465,0.301318471,0.344248408,,0,0.1949,,0.828130573,0.5688,0.4744,0.3835,0.08645,0.2845,,0.4158,0.1345,0.1744,0.1071
70,80,0.6287,0.602866242,0.36835,0.1084,,0.3318,,,0.41905,0.5555,0.4983,0.2252,0.179,0.1427,0.62735,,0.2024,,0.61225,0.25910828,0.20727707,0.254815287,0.368292994,0.149980892,,0,0.1175,,0.689334395,0.6048,0.5687,0.28515,0.0735,,,0.34805,0.1826,0.1288,0.1194
80,90,0.5855,0.598407643,0.460509554,0.2063,,0.5038,,,0.2501,0.60535,0.53715,,0.2369,0.1675,0.5551,,0.16175,,0.42095,0.345878981,,,0.381815287,0.148229299,,0,0.1348,,,0.5922,0.43155,0.3139,,,,0.36645,0.1645,0.1342,
90,100,0.6068,0.557961783,0.260509554,0.2361,,,,,0.272,0.6776,0.6609,,,,0.54205,,0.1625,,0.3677,,,,,0.147267516,,0,,,,0.5388,0.4611,,,,,0.3355,,,
100,110,0.14385,0.40255,0.362420382,,,,,,0.5905,,,0.41935,,,0.27835,,,0.0684,0.7879,0.390315287,,,,,,,,,,,,0.6573,,,,,,,
110,120,0.2116,0.42935,0.360828025,,,,,,0.51325,,,0.1995,,,,,,0.1126,0.84355,0.429328025,,,,,,,,,,,,0.7475,,,,,,,
120,130,0.24065,0.3913,0.387261146,,,,,,0.4548,,,0.2781,,,,,,0.16515,0.75255,0.470057325,,,,,,,,,,,,0.6904,,,,,,,
130,140,0.2126,0.3313,0.29522293,,,,,,0.5031,,,0.2305,,,,,,0.18125,0.7516,0.617350318,,,,,,,,,,,,0.71915,,,,,,,
140,150,0.3968,0.3197,0.207643312,,,,,,0.49065,,,0.2646,,,,,,0.2839,0.7816,0.673477707,,,,,,,,,,,,0.5666,,,,,,,
150,160,0.35225,0.3523,,,,,,,0.52875,,,0.1328,,,,,,0.16095,0.72095,0.719057325,,,,,,,,,,,,0.7124,,,,,,,
160,170,0.44,0.39095,,,,,,,0.6419,,,0.0846,,,,,,0.20515,0.69455,0.988324841,,,,,,,,,,,,0.47185,,,,,,,
170,180,0.32255,0.4155,,,,,,,0.65865,,,,,,,,,0.2658,0.6829,1.124748408,,,,,,,,,,,,,,,,,,,
180,190,,0.39195,,,,,,,0.64815,,,,,,,,,0.1316,0.6574,1.108824841,,,,,,,,,,,,,,,,,,,
190,200,,0.3187,,,,,,,,,,,,,,,,,,1.027595542,,,,,,,,,,,,,,,,,,,
