date,spc_zone,waypoint_northing_spc_ussft,waypoint_easting_spc_ussft,elevation_mllw,soil_property_code,soil_property_value
2019-08-09,"CA 6-0406",1937494.133,6257045.242,4.747,pH-SPE,7.99
2019-08-09,"CA 6-0406",1937255.564,6257315.481,4.811,pH-SPE,8.18
2019-08-09,"CA 6-0406",1937481.421,6257088.609,4.786,pH-SPE,8.08
2019-08-09,"CA 6-0406",1937222.721,6257303.696,4.745,pH-SPE,8.16
2019-08-09,"CA 6-0406",1937463.666,6257142.624,4.776,pH-SPE,8.05
2019-08-09,"CA 6-0406",1937203.881,6257293.481,4.764,pH-SPE,8.20
2019-08-09,"CA 6-0406",1937444.861,6257179.749,4.765,pH-SPE,8.10
2019-08-09,"CA 6-0406",1937178.078,6257319.482,4.789,pH-SPE,8.18
2019-08-09,"CA 6-0406",1937529.028,6257026.998,5.246,pH-SPE,8.14
2019-08-09,"CA 6-0406",1937368.654,6257302.400,5.296,pH-SPE,8.32
2019-08-09,"CA 6-0406",1937511.259,6257093.775,5.248,pH-SPE,8.13
2019-08-09,"CA 6-0406",1937314.825,6257326.939,5.284,pH-SPE,8.18
2019-08-09,"CA 6-0406",1937484.448,6257128.376,5.274,pH-SPE,8.14
2019-08-09,"CA 6-0406",1937295.871,6257340.795,5.266,pH-SPE,8.18
2019-08-09,"CA 6-0406",1937468.194,6257187.183,5.285,pH-SPE,7.94
2019-08-09,"CA 6-0406",1937266.205,6257342.330,5.304,pH-SPE,8.14
2019-08-09,"CA 6-0406",1937550.861,6257034.229,5.778,pH-SPE,8.21
2019-08-09,"CA 6-0406",1937383.368,6257319.313,5.752,pH-SPE,8.39
2019-08-09,"CA 6-0406",1937534.298,6257068.410,5.738,pH-SPE,8.01
2019-08-09,"CA 6-0406",1937349.677,6257337.353,5.763,pH-SPE,8.26
2019-08-09,"CA 6-0406",1937495.600,6257189.424,5.779,pH-SPE,8.21
2019-08-09,"CA 6-0406",1937325.850,6257358.884,5.750,pH-SPE,8.37
2019-08-09,"CA 6-0406",1937423.508,6257268.223,5.768,pH-SPE,8.25
2019-08-09,"CA 6-0406",1937305.871,6257377.356,5.768,pH-SPE,8.18
2019-08-09,"CA 6-0406",1937539.117,6257181.318,6.241,pH-SPE,8.10
2019-08-09,"CA 6-0406",1937426.617,6257345.131,6.250,pH-SPE,8.10
2019-08-09,"CA 6-0406",1937509.957,6257211.018,6.297,pH-SPE,8.13
2019-08-09,"CA 6-0406",1937401.685,6257368.385,6.264,pH-SPE,8.14
2019-08-09,"CA 6-0406",1937485.847,6257242.303,6.281,pH-SPE,8.16
2019-08-09,"CA 6-0406",1937378.612,6257397.695,6.304,pH-SPE,8.18
2019-08-09,"CA 6-0406",1937452.042,6257280.007,6.048,pH-SPE,8.16
2019-08-09,"CA 6-0406",1937351.202,6257413.355,6.252,pH-SPE,8.41
2019-08-09,"CA 6-0406",1936833.289,6258041.750,4.727,pH-SPE,8.05
2019-08-09,"CA 6-0406",1936752.110,6257829.932,4.792,pH-SPE,8.18
2019-08-09,"CA 6-0406",1936862.104,6258060.141,4.774,pH-SPE,8.10
2019-08-09,"CA 6-0406",1936761.735,6257863.786,4.793,pH-SPE,8.10
2019-08-09,"CA 6-0406",1936883.896,6258087.147,4.729,pH-SPE,8.13
2019-08-09,"CA 6-0406",1936777.956,6257902.829,4.730,pH-SPE,8.18
2019-08-09,"CA 6-0406",1936785.376,6257941.497,4.768,pH-SPE,8.11
2019-08-09,"CA 6-0406",1936785.782,6257943.393,4.773,pH-SPE,8.20
2019-08-09,"CA 6-0406",1936811.182,6258063.095,5.261,pH-SPE,8.03
2019-08-09,"CA 6-0406",1936719.588,6257838.946,5.268,pH-SPE,8.09
2019-08-09,"CA 6-0406",1936835.659,6258081.833,5.236,pH-SPE,8.04
2019-08-09,"CA 6-0406",1936732.893,6257899.624,5.273,pH-SPE,8.13
2019-08-09,"CA 6-0406",1936862.118,6258118.318,5.278,pH-SPE,8.07
2019-08-09,"CA 6-0406",1936751.868,6257950.762,5.232,pH-SPE,8.10
2019-08-09,"CA 6-0406",1936901.335,6258132.191,5.254,pH-SPE,8.07
2019-08-09,"CA 6-0406",1936769.376,6257995.804,5.263,pH-SPE,8.06
2019-08-09,"CA 6-0406",1936842.023,6258116.439,5.773,pH-SPE,7.93
2019-08-09,"CA 6-0406",1936709.372,6257836.760,5.780,pH-SPE,8.01
2019-08-09,"CA 6-0406",1936877.529,6258135.465,5.756,pH-SPE,7.94
2019-08-09,"CA 6-0406",1936720.521,6257888.677,5.763,pH-SPE,8.12
2019-08-09,"CA 6-0406",1936915.342,6258146.943,5.772,pH-SPE,7.81
2019-08-09,"CA 6-0406",1936736.417,6257941.062,5.733,pH-SPE,7.95
2019-08-09,"CA 6-0406",1936964.516,6258163.343,5.747,pH-SPE,7.87
2019-08-09,"CA 6-0406",1936772.719,6258012.956,5.763,pH-SPE,7.94
2019-08-09,"CA 6-0406",1936782.630,6258043.642,6.263,pH-SPE,7.67
2019-08-09,"CA 6-0406",1936711.415,6257864.291,6.292,pH-SPE,7.98
2019-08-09,"CA 6-0406",1936797.032,6258070.293,6.257,pH-SPE,7.74
