study_id,site_id,core_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter
Schile-Beers_and_Megonigal_2017,Al Aryam,Al_Aryam_high_sabkha_1,0,15,1.4834036339186754,0.01772551828479858
Schile-Beers_and_Megonigal_2017,Al Aryam,Al_Aryam_high_sabkha_1,15,30,1.5317298146270744,0.013646410517075597
Schile-Beers_and_Megonigal_2017,Al Aryam,Al_Aryam_high_sabkha_1,30,50,1.7261901635210877,0.011585669978647246
Schile-Beers_and_Megonigal_2017,Al Aryam,Al_Aryam_high_sabkha_2,0,5,0.7805728753552237,0.012379461171405395
Schile-Beers_and_Megonigal_2017,Al Aryam,Al_Aryam_high_sabkha_2,5,15,1.3562847672726699,0.0176182654493125
Schile-Beers_and_Megonigal_2017,Al Aryam,Al_Aryam_high_sabkha_2,15,27,1.5056756998103722,0.021131383986389373
Schile-Beers_and_Megonigal_2017,Al Aryam,Al_Aryam_high_sabkha_3,0,5,0.8982366196887164,0.014240764310861475
Schile-Beers_and_Megonigal_2017,Al Aryam,Al_Aryam_high_sabkha_3,5,15,1.3615376130018437,0.023895479596044843
Schile-Beers_and_Megonigal_2017,Al Aryam,Al_Aryam_high_sabkha_3,15,38.5,1.6294327451897068,0.016298773620534366
Schile-Beers_and_Megonigal_2017,Al Aryam,Al_Aryam_high_sabkha_4,0,6,0.9896361353763402,0.009339541708575877
Schile-Beers_and_Megonigal_2017,Al Aryam,Al_Aryam_high_sabkha_4,6,15,1.6210281920230287,0.014668013200601475
Schile-Beers_and_Megonigal_2017,Al Aryam,Al_Aryam_high_sabkha_4,15,40,1.5390837986479176,0.014476062053145222
Schile-Beers_and_Megonigal_2017,Al Aryam,Al_Aryam_low_sabkha_1,0,15,1.1388169540848754,0.009632373158130677
Schile-Beers_and_Megonigal_2017,Al Aryam,Al_Aryam_low_sabkha_1,15,40,1.347880214105992,0.013620465452042234
Schile-Beers_and_Megonigal_2017,Al Aryam,Al_Aryam_low_sabkha_2,0,15,1.0778839436264596,0.011465813944926384
Schile-Beers_and_Megonigal_2017,Al Aryam,Al_Aryam_low_sabkha_2,15,35,1.446633713814459,0.00990346314782129
Schile-Beers_and_Megonigal_2017,Al Aryam,Al_Aryam_low_sabkha_3,0,15,1.2228624857516561,0.009206871890227904
Schile-Beers_and_Megonigal_2017,Al Aryam,Al_Aryam_low_sabkha_3,15,38,1.4497854212519634,0.011771366282456475
Schile-Beers_and_Megonigal_2017,Al Aryam,Al_Aryam_low_sabkha_4,0,15,1.111502156293172,0.007480106901386714
Schile-Beers_and_Megonigal_2017,Al Aryam,Al_Aryam_low_sabkha_4,15,38,1.3962063948143906,0.010514141495336596
Schile-Beers_and_Megonigal_2017,Al Aryam,Al_Aryam_low_sabkha_5,0,15,1.2060533794183,0.008516806939036834
Schile-Beers_and_Megonigal_2017,Al Aryam,Al_Aryam_low_sabkha_5,15,38,1.3783467193351997,0.008794302192278343
Schile-Beers_and_Megonigal_2017,Al Aryam,Al_Aryam_salt_marsh_1,0,15,1.1408341993572113,0.017649577543112666
Schile-Beers_and_Megonigal_2017,Al Aryam,Al_Aryam_salt_marsh_1,15,30,1.360682456525007,0.010592257194754318
Schile-Beers_and_Megonigal_2017,Al Aryam,Al_Aryam_salt_marsh_1,30,50,1.3487987669483696,0.009895493507581126
Schile-Beers_and_Megonigal_2017,Al Aryam,Al_Aryam_salt_marsh_1,50,110,1.1146900822886086,0.010912742068145392
Schile-Beers_and_Megonigal_2017,Al Aryam,Al_Aryam_salt_marsh_2,0,15,1.1087482375002897,0.017671604653636274
Schile-Beers_and_Megonigal_2017,Al Aryam,Al_Aryam_salt_marsh_2,15,30,1.176485268087124,0.021871876291364584
Schile-Beers_and_Megonigal_2017,Al Aryam,Al_Aryam_salt_marsh_2,30,50,1.3321616015410769,0.018641689807104546
Schile-Beers_and_Megonigal_2017,Al Aryam,Al_Aryam_salt_marsh_2,50,85,1.3868265735936098,0.018373830648187272
Schile-Beers_and_Megonigal_2017,Al Aryam,Al_Aryam_salt_marsh_3,0,15,1.2917570569805092,0.028083485658526825
Schile-Beers_and_Megonigal_2017,Al Aryam,Al_Aryam_salt_marsh_3,15,30,1.360682456525007,0.01620687743527622
Schile-Beers_and_Megonigal_2017,Al Aryam,Al_Aryam_salt_marsh_3,30,50,1.4319845939848328,0.013958312314320143
Schile-Beers_and_Megonigal_2017,Al Aryam,Al_Aryam_salt_marsh_3,50,100,1.1883689576637617,0.006567580996689379
Schile-Beers_and_Megonigal_2017,Al Aryam,Al_Aryam_salt_marsh_4,0,15,1.1622248405951587,0.008754962000390342
Schile-Beers_and_Megonigal_2017,Al Aryam,Al_Aryam_salt_marsh_4,15,30,1.3583057186096799,0.009877420557247963
Schile-Beers_and_Megonigal_2017,Al Aryam,Al_Aryam_salt_marsh_4,30,62,1.3060174844724741,0.014809581588278036
Schile-Beers_and_Megonigal_2017,Al Aryam,Al_Aryam_salt_marsh_4,62,67,0.6868772575296543,0.06729891548779039
Schile-Beers_and_Megonigal_2017,Al Aryam,Al_Aryam_salt_marsh_4,67,74,0.5050568070070988,0.09179649879797738
Schile-Beers_and_Megonigal_2017,Al Aryam,Al_Aryam_salt_marsh_4,80,85,0.9447533213426905,0.018654084928501718
Schile-Beers_and_Megonigal_2017,Al Aryam,Al_Aryam_salt_marsh_4,100,200,1.2454106676316223,0.008733393573996863
Schile-Beers_and_Megonigal_2017,Al Aryam,Al_Aryam_salt_marsh_5,0,15,1.1360807235265562,0.01227514568075076
Schile-Beers_and_Megonigal_2017,Al Aryam,Al_Aryam_salt_marsh_5,15,30,1.220454919520683,0.014404463996705488
Schile-Beers_and_Megonigal_2017,Al Aryam,Al_Aryam_salt_marsh_5,30,48,1.2287735022243296,0.010213804971158228
Schile-Beers_and_Megonigal_2017,Al Aryam,Al_Aryam_salt_marsh_5,48,50,1.1395424180450449,0.02479491768537148
Schile-Beers_and_Megonigal_2017,Al Aryam,Al_Aryam_salt_marsh_5,50,100,1.2858152121921902,0.008292106052521984
Schile-Beers_and_Megonigal_2017,Al Aryam,Al_Aryam_salt_marsh_5,100,180,1.0861692273046781,0.013800796840047376
Schile-Beers_and_Megonigal_2017,Al Aryam,Al_Aryam_salt_marsh_6,0,15,1.1348923545688925,0.014216378593983042
Schile-Beers_and_Megonigal_2017,Al Aryam,Al_Aryam_salt_marsh_6,15,30,1.3464220290330422,0.012802215551327318
Schile-Beers_and_Megonigal_2017,Al Aryam,Al_Aryam_salt_marsh_6,30,50,1.3725661461016445,0.011786211889825324
Schile-Beers_and_Megonigal_2017,Al Aryam,Al_Aryam_salt_marsh_6,50,81,1.4925914108256846,0.010232369732451901
Schile-Beers_and_Megonigal_2017,Eastern Mangrove,Eastern_Mangrove_salt_marsh_1,0,15,1.098171753777082,0.013653288281534497
Schile-Beers_and_Megonigal_2017,Eastern Mangrove,Eastern_Mangrove_salt_marsh_1,15,30,1.347966908678005,0.005131963403952895
Schile-Beers_and_Megonigal_2017,Eastern Mangrove,Eastern_Mangrove_salt_marsh_1,30,50,1.3602071089419419,0.007315198135376004
Schile-Beers_and_Megonigal_2017,Eastern Mangrove,Eastern_Mangrove_salt_marsh_1,50,85,1.469893563734307,0.003169322328456392
Schile-Beers_and_Megonigal_2017,Eastern Mangrove,Eastern_Mangrove_salt_marsh_2,0,15,0.9663816363721709,0.013725393438812166
Schile-Beers_and_Megonigal_2017,Eastern Mangrove,Eastern_Mangrove_salt_marsh_2,15,30,1.2658506137034389,0.007373546414038987
Schile-Beers_and_Megonigal_2017,Eastern Mangrove,Eastern_Mangrove_salt_marsh_2,30,50,1.3981160786914157,0.0020967970296495862
Schile-Beers_and_Megonigal_2017,Eastern Mangrove,Eastern_Mangrove_salt_marsh_2,50,100,1.4544447672846779,0.003722397842358536
Schile-Beers_and_Megonigal_2017,Eastern Mangrove,Eastern_Mangrove_salt_marsh_2,100,144,1.499,NA
Schile-Beers_and_Megonigal_2017,Eastern Mangrove,Eastern_Mangrove_salt_marsh_3,0,15,1.1272867932398443,0.012121864947038805
Schile-Beers_and_Megonigal_2017,Eastern Mangrove,Eastern_Mangrove_salt_marsh_3,15,30,1.2975800648730613,0.00713329617297477
Schile-Beers_and_Megonigal_2017,Eastern Mangrove,Eastern_Mangrove_salt_marsh_3,30,50,1.4385206232519836,0.004527039516253542
Schile-Beers_and_Megonigal_2017,Eastern Mangrove,Eastern_Mangrove_salt_marsh_3,50,75,1.5914637081033098,0.005484111788741863
Schile-Beers_and_Megonigal_2017,Eastern Mangrove,Eastern_Mangrove_salt_marsh_4,0,15,1.0457646827441103,0.008344490016014632
Schile-Beers_and_Megonigal_2017,Eastern Mangrove,Eastern_Mangrove_salt_marsh_4,15,30,1.2221186360614125,0.011290209911215765
Schile-Beers_and_Megonigal_2017,Eastern Mangrove,Eastern_Mangrove_salt_marsh_4,30,50,1.3129100244269238,0.0060392013032485896
Schile-Beers_and_Megonigal_2017,Eastern Mangrove,Eastern_Mangrove_salt_marsh_4,50,100,1.4846293388093372,0.004985167562620329
Schile-Beers_and_Megonigal_2017,Eastern Mangrove,Eastern_Mangrove_salt_marsh_4,100,185,1.6107152852174624,0.004232620661375819
Schile-Beers_and_Megonigal_2017,Eastern Mangrove,Eastern_Mangrove_salt_marsh_5,0,15,1.1653145998850847,0.013168692941458247
Schile-Beers_and_Megonigal_2017,Eastern Mangrove,Eastern_Mangrove_salt_marsh_5,15,30,1.3171881526745135,0.006704458673857321
Schile-Beers_and_Megonigal_2017,Eastern Mangrove,Eastern_Mangrove_salt_marsh_5,30,50,1.2173651602307574,0.0090221589611423
Schile-Beers_and_Megonigal_2017,Eastern Mangrove,Eastern_Mangrove_salt_marsh_5,50,100,1.271792458491758,0.005422936135357368
Schile-Beers_and_Megonigal_2017,Eastern Mangrove,Eastern_Mangrove_salt_marsh_5,100,194,1.4511173342032193,0.0019560690648792976
Schile-Beers_and_Megonigal_2017,Eastern Mangrove,Eastern_Mangrove_salt_marsh_6,0,15,1.2662071243907378,0.008625419001933992
Schile-Beers_and_Megonigal_2017,Eastern Mangrove,Eastern_Mangrove_salt_marsh_6,15,30,1.2051249599668208,0.00999648746103059
Schile-Beers_and_Megonigal_2017,Eastern Mangrove,Eastern_Mangrove_salt_marsh_6,30,50,1.4076230303527255,0.005923737000167222
Schile-Beers_and_Megonigal_2017,Eastern Mangrove,Eastern_Mangrove_salt_marsh_6,50,100,1.4166546344309703,0.0036515722952912277
Schile-Beers_and_Megonigal_2017,Eastern Mangrove,Eastern_Mangrove_salt_marsh_6,100,162,1.552009858708873,0.003611802639116224
Schile-Beers_and_Megonigal_2017,Jubail Island,Jubail_Island_salt_marsh_1,0,15,1.3419062269939197,0.0058123396915020645
Schile-Beers_and_Megonigal_2017,Jubail Island,Jubail_Island_salt_marsh_1,15,30,1.4659719461740162,0.002619238164661013
Schile-Beers_and_Megonigal_2017,Jubail Island,Jubail_Island_salt_marsh_1,30,62,1.2313879139311898,0.0011591811310143819
Schile-Beers_and_Megonigal_2017,Jubail Island,Jubail_Island_salt_marsh_2,0,15,1.2739315226155525,0.006155544746675723
Schile-Beers_and_Megonigal_2017,Jubail Island,Jubail_Island_salt_marsh_2,15,36,1.1578278754518028,0.00935033512537041
Schile-Beers_and_Megonigal_2017,Jubail Island,Jubail_Island_salt_marsh_3,0,15,1.4259239123007479,0.008581854455208671
Schile-Beers_and_Megonigal_2017,Jubail Island,Jubail_Island_salt_marsh_3,15,30,1.4386394601477497,0.006702203471837933
Schile-Beers_and_Megonigal_2017,Jubail Island,Jubail_Island_salt_marsh_3,30,49,1.039941674851558,0.0057717899680772965
