study_id,site_id,core_id,core_date,core_latitude,core_longitude,core_position_method,core_elevation,core_elevation_datum,core_elevation_method,vegetation_notes
Schile-Beers_and_Megonigal_2017,Al Aryam,Al_Aryam_high_sabkha_1,2013-01-27,24.267838,54.226179,RTK,-31.7447,WGS84,RTK,high sabkha
Schile-Beers_and_Megonigal_2017,Al Aryam,Al_Aryam_high_sabkha_2,2013-01-27,24.268013,54.22627,RTK,-31.7587,WGS84,RTK,high sabkha
Schile-Beers_and_Megonigal_2017,Al Aryam,Al_Aryam_high_sabkha_3,2013-01-27,24.268171,54.226308,RTK,-31.7117,WGS84,RTK,high sabkha
Schile-Beers_and_Megonigal_2017,Al Aryam,Al_Aryam_high_sabkha_4,2013-01-27,24.268516,54.226443,RTK,-31.8076,WGS84,RTK,high sabkha
Schile-Beers_and_Megonigal_2017,Thumayriyah,Thumayriyah_high_sabkha_1,2013-01-26,24.130454,53.029018,handheld,NA,NA,NA,high sabkha
Schile-Beers_and_Megonigal_2017,Thumayriyah,Thumayriyah_high_sabkha_2,2013-01-26,24.130103,53.029047,handheld,NA,NA,NA,high sabkha
Schile-Beers_and_Megonigal_2017,Thumayriyah,Thumayriyah_high_sabkha_3,2013-01-26,24.129726,53.029059,handheld,NA,NA,NA,high sabkha
Schile-Beers_and_Megonigal_2017,Al Aryam,Al_Aryam_low_sabkha_1,2013-01-27,24.259597,54.236117,RTK,-31.849,WGS84,RTK,low sabkha
Schile-Beers_and_Megonigal_2017,Al Aryam,Al_Aryam_low_sabkha_2,2013-01-27,24.25977,54.236139,RTK,-31.8763,WGS84,RTK,low sabkha
Schile-Beers_and_Megonigal_2017,Al Aryam,Al_Aryam_low_sabkha_3,2013-01-27,24.259937999999998,54.23619,RTK,-31.8784,WGS84,RTK,low sabkha
Schile-Beers_and_Megonigal_2017,Al Aryam,Al_Aryam_low_sabkha_4,2013-01-27,24.260108,54.236263,RTK,-31.895,WGS84,RTK,low sabkha
Schile-Beers_and_Megonigal_2017,Al Aryam,Al_Aryam_low_sabkha_5,2013-01-27,24.260288,54.236323,RTK,-31.8918,WGS84,RTK,low sabkha
Schile-Beers_and_Megonigal_2017,Sabkha Moon,Sabkha_Moon_low_sabkha_1,2013-01-23,24.123371,54.049667,RTK,-31.6824,WGS84,RTK,low sabkha
Schile-Beers_and_Megonigal_2017,Sabkha Moon,Sabkha_Moon_low_sabkha_2,2013-01-23,24.123548,54.049641,RTK,-31.6983,WGS84,RTK,low sabkha
Schile-Beers_and_Megonigal_2017,Sabkha Moon,Sabkha_Moon_low_sabkha_3,2013-01-23,24.123734,54.04958,RTK,-31.7133,WGS84,RTK,low sabkha
Schile-Beers_and_Megonigal_2017,Sabkha Moon,Sabkha_Moon_low_sabkha_4,2013-01-23,24.123909,54.049516,RTK,-31.7308,WGS84,RTK,low sabkha
Schile-Beers_and_Megonigal_2017,Sabkha Moon,Sabkha_Moon_low_sabkha_5,2013-01-23,24.1239403876762,54.0494818349934,RTK,-31.7484,WGS84,RTK,low sabkha
Schile-Beers_and_Megonigal_2017,Sabkha Moon,Sabkha_Moon_low_sabkha_6,2013-01-23,24.1241465139295,54.0494082761266,RTK,-31.7586,WGS84,RTK,low sabkha
Schile-Beers_and_Megonigal_2017,Thumayriyah,Thumayriyah_low_sabkha_1,2013-01-26,24.132536,53.028825,handheld,NA,NA,NA,low sabkha
Schile-Beers_and_Megonigal_2017,Thumayriyah,Thumayriyah_low_sabkha_2,2013-01-26,24.132749,53.029184,handheld,NA,NA,NA,low sabkha
Schile-Beers_and_Megonigal_2017,Thumayriyah,Thumayriyah_low_sabkha_3,2013-01-26,24.132956,53.029489,handheld,NA,NA,NA,low sabkha
Schile-Beers_and_Megonigal_2017,Ajman al Zorah,Ajman_al_Zorah_mangrove_1,NA,25.4354,55.47844,NA,NA,NA,NA,mangrove
Schile-Beers_and_Megonigal_2017,Ajman al Zorah,Ajman_al_Zorah_mangrove_2,NA,25.4354,55.47844,NA,NA,NA,NA,mangrove
Schile-Beers_and_Megonigal_2017,Ajman al Zorah,Ajman_al_Zorah_mangrove_3,NA,25.4354,55.47844,NA,NA,NA,NA,mangrove
Schile-Beers_and_Megonigal_2017,Ajman al Zorah,Ajman_al_Zorah_mangrove_4,NA,25.4354,55.47844,NA,NA,NA,NA,mangrove
Schile-Beers_and_Megonigal_2017,Ajman al Zorah,Ajman_al_Zorah_mangrove_5,NA,25.4354,55.47844,NA,NA,NA,NA,mangrove
Schile-Beers_and_Megonigal_2017,Ajman al Zorah,Ajman_al_Zorah_mangrove_6,NA,25.4354,55.47844,NA,NA,NA,NA,mangrove
Schile-Beers_and_Megonigal_2017,Al Khor,Al_Khor_mangrove_1,NA,25.19062,55.32697,NA,NA,NA,NA,mangrove
Schile-Beers_and_Megonigal_2017,Al Khor,Al_Khor_mangrove_2,NA,25.19062,55.32697,NA,NA,NA,NA,mangrove
Schile-Beers_and_Megonigal_2017,Al Khor,Al_Khor_mangrove_3,NA,25.19062,55.32697,NA,NA,NA,NA,mangrove
Schile-Beers_and_Megonigal_2017,Al Khor,Al_Khor_mangrove_4,NA,25.19062,55.32697,NA,NA,NA,NA,mangrove
Schile-Beers_and_Megonigal_2017,Al Khor,Al_Khor_mangrove_5,NA,25.19062,55.32697,NA,NA,NA,NA,mangrove
Schile-Beers_and_Megonigal_2017,Al Khor,Al_Khor_mangrove_6,NA,25.19062,55.32697,NA,NA,NA,NA,mangrove
Schile-Beers_and_Megonigal_2017,Al Rams,Al_Rams_mangrove_1,2014-11-18,25.8981,56.03976,NA,NA,NA,NA,mangrove
Schile-Beers_and_Megonigal_2017,Al Rams,Al_Rams_mangrove_2,2014-11-18,25.8981,56.03976,NA,NA,NA,NA,mangrove
Schile-Beers_and_Megonigal_2017,Al Rams,Al_Rams_mangrove_3,2014-11-18,25.8981,56.03976,NA,NA,NA,NA,mangrove
Schile-Beers_and_Megonigal_2017,Al Rams,Al_Rams_mangrove_4,2014-11-18,25.8981,56.03976,NA,NA,NA,NA,mangrove
Schile-Beers_and_Megonigal_2017,Al Rams,Al_Rams_mangrove_5,2014-11-18,25.8981,56.03976,NA,NA,NA,NA,mangrove
Schile-Beers_and_Megonigal_2017,Al Rams,Al_Rams_mangrove_6,2014-11-18,25.8981,56.03976,NA,NA,NA,NA,mangrove
Schile-Beers_and_Megonigal_2017,Al Shalila,Al_Shalila_mangrove_1,2013-01-26,24.65542,54.672732,RTK,-32.9031,WGS84,RTK,mangrove
Schile-Beers_and_Megonigal_2017,Al Shalila,Al_Shalila_mangrove_2,2013-01-26,24.655574,54.672672,RTK,-32.9535,WGS84,RTK,mangrove
Schile-Beers_and_Megonigal_2017,Al Shalila,Al_Shalila_mangrove_3,2013-01-26,24.655773,54.672681,RTK,-33.0018,WGS84,RTK,mangrove
Schile-Beers_and_Megonigal_2017,Al Shalila,Al_Shalila_mangrove_4,2013-01-26,24.655967,54.672651,RTK,-33.0285,WGS84,RTK,mangrove
Schile-Beers_and_Megonigal_2017,Al Shalila,Al_Shalila_mangrove_5,2013-01-26,24.656125,54.672637,RTK,-33.0439,WGS84,RTK,mangrove
Schile-Beers_and_Megonigal_2017,Al Shalila,Al_Shalila_mangrove_6,2013-01-26,24.656292,54.672616,RTK,-33.1094,WGS84,RTK,mangrove
Schile-Beers_and_Megonigal_2017,Bu Tinah Janoub,Bu_Tinah_Janoub_mangrove_1,2013-01-20,24.628174,53.053825,RTK,-31.6229,WGS84,RTK,mangrove
Schile-Beers_and_Megonigal_2017,Bu Tinah Janoub,Bu_Tinah_Janoub_mangrove_2,2013-01-20,24.628021,53.053821,RTK,-31.4055,WGS84,RTK,mangrove
Schile-Beers_and_Megonigal_2017,Bu Tinah Janoub,Bu_Tinah_Janoub_mangrove_3,2013-01-20,24.627844,53.053816,RTK,-31.3419,WGS84,RTK,mangrove
Schile-Beers_and_Megonigal_2017,Bu Tinah Janoub,Bu_Tinah_Janoub_mangrove_4,2013-01-20,24.627711,53.053844,RTK,-31.5244,WGS84,RTK,mangrove
Schile-Beers_and_Megonigal_2017,Bu Tinah Janoub,Bu_Tinah_Janoub_mangrove_5,2013-01-20,24.627495,53.053875,RTK,-31.5192,WGS84,RTK,mangrove
Schile-Beers_and_Megonigal_2017,Bu Tinah Janoub,Bu_Tinah_Janoub_mangrove_6,2013-01-20,24.627358,53.053896,RTK,-31.7413,WGS84,RTK,mangrove
Schile-Beers_and_Megonigal_2017,Bu Tinah Shamal,Bu_Tinah_Shamal_mangrove_1,2013-01-20,24.631528,53.051491,RTK,-31.5031,WGS84,RTK,mangrove
Schile-Beers_and_Megonigal_2017,Bu Tinah Shamal,Bu_Tinah_Shamal_mangrove_2,2013-01-20,NA,NA,NA,NA,NA,NA,mangrove
Schile-Beers_and_Megonigal_2017,Bu Tinah Shamal,Bu_Tinah_Shamal_mangrove_3,2013-01-20,24.631548502251,53.0518286486615,RTK,-31.5587,WGS84,RTK,mangrove
Schile-Beers_and_Megonigal_2017,Bu Tinah Shamal,Bu_Tinah_Shamal_mangrove_4,2013-01-20,24.6316520498026,53.0519930995336,RTK,-31.603,WGS84,RTK,mangrove
Schile-Beers_and_Megonigal_2017,Bu Tinah Shamal,Bu_Tinah_Shamal_mangrove_5,2013-01-20,24.631773,53.0521274124327,RTK,-31.8175,WGS84,RTK,mangrove
Schile-Beers_and_Megonigal_2017,Bu Tinah Shamal,Bu_Tinah_Shamal_mangrove_6,2013-01-20,24.6318758589332,53.0522721497143,RTK,-31.6125,WGS84,RTK,mangrove
Schile-Beers_and_Megonigal_2017,Eastern Mangrove,Eastern_Mangrove_mangrove_1,2013-01-16,24.452339,54.440814,RTK,-32.5329,WGS84,RTK,mangrove
Schile-Beers_and_Megonigal_2017,Eastern Mangrove,Eastern_Mangrove_mangrove_2,2013-01-16,24.452528,54.440902,RTK,-32.5532,WGS84,RTK,mangrove
Schile-Beers_and_Megonigal_2017,Eastern Mangrove,Eastern_Mangrove_mangrove_3,2013-01-16,24.452703,54.440995,RTK,-32.6356,WGS84,RTK,mangrove
Schile-Beers_and_Megonigal_2017,Eastern Mangrove,Eastern_Mangrove_mangrove_4,2013-01-16,24.452852,54.441087,RTK,-32.6391,WGS84,RTK,mangrove
Schile-Beers_and_Megonigal_2017,Eastern Mangrove,Eastern_Mangrove_mangrove_5,2013-01-16,24.453038,54.441135,RTK,-32.6997,WGS84,RTK,mangrove
Schile-Beers_and_Megonigal_2017,Eastern Mangrove,Eastern_Mangrove_mangrove_6,2013-01-16,24.453169,54.441281,RTK,-32.6464,WGS84,RTK,mangrove
