site_id,study_id,site_longitude_max,site_longitude_min,site_latitude_max,site_latitude_min
Abu al Abyad,Campbell_et_al_2015,53.61585,53.61585,24.20513,24.20513
Abu al Abyad 10 yr,Schile-Beers_and_Megonigal_2017,53.8002018,53.8000602,24.204041800000002,24.2036722
Abu al Abyad 15 yr,Schile-Beers_and_Megonigal_2017,53.7990967,53.798428300000005,24.213528699999998,24.2129203
Abu al Abyad 3 yr,Schile-Beers_and_Megonigal_2017,53.8027065,53.801848500000006,24.201522,24.201198
Abu al Abyad 5 yr,Schile-Beers_and_Megonigal_2017,53.80079860000001,53.8005754,24.2034324,24.2030316
Ajman al Zorah,Schile-Beers_and_Megonigal_2017,55.47844,55.47844,25.4354,25.4354
Al Aryam,Schile-Beers_and_Megonigal_2017,54.2421301,54.2247289,24.269955200000002,24.2526848
Al Dabiya 1,Campbell_et_al_2015,53.97083,53.97083,24.30876,24.30876
Al Dabiya 2,Campbell_et_al_2015,54.00273,54.00273,24.30582,24.30582
Al Dabiya 3,Campbell_et_al_2015,54.05725,54.05725,24.31826,24.31826
Al Khor,Schile-Beers_and_Megonigal_2017,55.32697,55.32697,25.19062,25.19062
Al Rams,Schile-Beers_and_Megonigal_2017,56.03976,56.03976,25.8981,25.8981
Al Shalila,Schile-Beers_and_Megonigal_2017,54.672743600000004,54.6726044,24.6563792,24.6553328
Algal Moon,Schile-Beers_and_Megonigal_2017,54.04058989999999,54.040243100000005,24.129154,24.128326
Bu Tinah 2,Campbell_et_al_2015,53.079,53.079,24.57855,24.57855
Bu Tinah 3,Campbell_et_al_2015,53.03997,53.03997,24.54852,24.54852
Bu Tinah Janoub,Schile-Beers_and_Megonigal_2017,53.053904,53.053808,24.628255600000003,24.6272764
Bu Tinah SE,Campbell_et_al_2015,53.11234,53.11234,24.54534,24.54534
Dahwat an Nahklah,Campbell_et_al_2015,51.69347,51.69347,24.24782,24.24782
Eastern Mangrove,Schile-Beers_and_Megonigal_2017,54.44209644569774,54.43231109732476,24.45626187701817,24.451982374816527
Fasht al Basm,Campbell_et_al_2015,53.47422,53.47422,24.24085,24.24085
Ghurab N,Campbell_et_al_2015,54.495,54.495,24.64473,24.64473
Ghurab NE,Campbell_et_al_2015,54.53673,54.53673,24.65578,24.65578
Ghurab NN,Campbell_et_al_2015,54.50703,54.50703,24.64498,24.64498
Halat Idai,Campbell_et_al_2015,52.45295,52.45295,24.19905,24.19905
Jazirat,Campbell_et_al_2015,52.0476,52.0476,24.15131667,24.15131667
Jubail Island,Schile-Beers_and_Megonigal_2017,54.4713824,54.4692296,24.5200358,24.5188622
Jubail Island East,Schile-Beers_and_Megonigal_2017,54.5332951,54.5318899,24.5045904,24.4972416
Khalba North,Schile-Beers_and_Megonigal_2017,56.35649,56.35649,25.01736,25.01736
Khalba West,Schile-Beers_and_Megonigal_2017,56.35998,56.35998,25.00956,25.00956
Marawah,Campbell_et_al_2015,53.34829,53.34829,24.27702,24.27702
Marawah Island,Schile-Beers_and_Megonigal_2017,53.3140163,53.3131607,24.282847800000003,24.280858199999997
Rafiq Island,Schile-Beers_and_Megonigal_2017,54.0775456,54.0766864,24.1514929,24.1511701
Ras al Kaimah,Schile-Beers_and_Megonigal_2017,55.94654,55.94654,25.77278,25.77278
Ras Muhayjij,Campbell_et_al_2015,51.66758333,51.66758333,24.25276667,24.25276667
Sabkha Moon,Schile-Beers_and_Megonigal_2017,54.04969287238734,54.04938240373926,24.12422406532245,24.12329344860705
Salaam,Schile-Beers_and_Megonigal_2017,54.4104337,54.4093813,24.450547,24.450307000000002
Sila peninsula,Campbell_et_al_2015,51.79963,51.79963,24.23258,24.23258
Sinnia,Schile-Beers_and_Megonigal_2017,55.60479,55.60479,25.56217,25.56217
Thumayriyah,Schile-Beers_and_Megonigal_2017,53.030442,53.028678,24.1338862,24.1293478
Umm al Hatam,Campbell_et_al_2015,51.87123,51.87123,24.21152,24.21152
Umm al Quwain,Schile-Beers_and_Megonigal_2017,55.647539,55.587791,25.543642000000002,25.532217999999997
