Depth_in_core,NOSAMS_lab_number ,c14_material,c14_age,c14_age_error,calibrated_age,delta_c13
32,124600,Wood,155,15,4-281,-26.52
42.5,117078,Juncus roemerianus rhizome and stem,315,15,307-451,-26.87
45.5,120430,Juncus roemerianus rhizome and stem,350,15,318-480,-27.25
53,122169,Wood,500,15,512-538,-26.54
55,122170,Wood,320,15,308-454,-25.92
59,124620,Wood,525,15,518-547,-26.56
65,122171,Wood,630,20,556-660,-25.92
74,122172,Wood,1140,15,978-1170,-26.24
80,122173,Wood,1240,20,1082-1263,-24.53
87,124621,Wood,1810,15,1707-1814,-26.54
95,124601,Wood,1940,20,1826-1932,-28.69
100,117075,Juncus roemerianus rhizome and stem,2150,20,2060-2300,-27.91
106.5,120368,Juncus roemerianus rhizome and stem,2140,15,2061-2294,-28.02
110,122175,Wood,2120,20,2007-2150,-27.54
120,116955,Juncus roemerianus rhizome and stem,2100,20,2001-2129,-28.41
120,120322,Juncus roemerianus rhizome and stem,2180,15,2126-2305,-27.46
