study_id,site_id,core_id,core_date,core_elevation,core_elevation_datum,core_elevation_method,core_elevation_notes
Gerlach_et_al_2017,Long_Island,LI_15_5D,2014,0.099,NAVD88,RTK,Elevation reported in SI relative to MHW. Converted back to NAVD88 using NOAA gauge 8725791.
Gerlach_et_al_2017,Mill_Bayou,LMR_14_9B,2014,0.04,NAVD88,RTK,Elevation reported in SI relative to MHW. Converted back to NAVD88 using NOAA gauge 8726436. Confirmed conversion with author.
