Sample,BD,BD_N,BD_SD,LOI,LOI_N,LOI_SD,Sand,Sand_SD,Mud,Mud_SD,Clay,Clay_SD,Pb210,Pb_error,Cs137,Cs_error,Ra226,Ra_error,K40,K_error,
09WCC01_01_01,0.3852,2,0.0186,12.21,1,,4.80,0.90,85.20,0.90,22.10,1.40,4.173,0.12,,,,,,,
09WCC01_01_03,0.3721,1,,15.12,1,,,,,,,,4.885,0.12,,,,,,,
09WCC01_01_05,0.3945,2,0.0093,13.90,2,0.31,3.80,0.40,96.20,0.40,21.90,0.40,4.947,0.09,,,,,,,
09WCC01_01_07,0.4259,1,,12.04,1,,,,,,,,4.995,0.12,,,,,,,
09WCC01_01_09,0.4468,2,0.0198,10.88,2,0.61,3.80,0.10,96.20,0.10,16.40,0.10,3.995,0.09,,,,,,,
09WCC01_01_11,0.4598,3,0.0431,13.75,4,1.78,,,,,,,5.085,0.13,0.33,0.07,1.39,0.09,44.07,2.19,
09WCC01_01_13,0.3513,3,0.0330,17.54,4,1.65,,,,,,,6.937,0.18,0.42,0.08,1.33,0.10,44.35,2.42,
09WCC01_01_15,0.2469,3,0.0216,30.32,4,0.61,,,,,,,8.928,0.21,0.56,0.09,1.01,0.10,38.85,2.56,
09WCC01_01_17,0.2551,3,0.0170,25.65,5,2.03,2.40,0.80,97.60,0.80,22.80,0.20,6.702,0.14,0.72,0.09,1.05,0.09,41.17,2.39,
09WCC01_01_19,0.1336,3,0.0059,54.33,4,0.18,,,,,,,2.534,0.09,1.20,0.13,0.80,0.12,23.55,2.23,
09WCC01_01_21,0.2290,3,0.0087,33.72,4,1.22,,,,,,,5.664,0.10,3.13,0.20,0.92,0.12,39.48,2.99,
09WCC01_01_23,0.2804,3,0.0180,23.86,4,1.14,8.10,0.70,91.90,0.70,24.60,0.40,3.275,0.06,4.51,0.22,1.05,0.12,42.52,3.26,
09WCC01_01_25,0.4107,3,0.0206,15.52,5,0.91,,,,,,,1.779,0.03,2.00,0.14,1.12,0.11,49.63,2.83,
09WCC01_01_27,0.1525,3,0.0139,48.41,4,0.16,,,,,,,1.914,0.04,1.04,0.17,0.93,0.16,21.56,2.88,
09WCC01_01_29,0.1221,3,0.0070,58.03,4,0.97,10.40,0.90,89.60,0.90,12.70,1.00,1.756,0.04,0.38,0.11,0.71,0.12,15.24,1.87,
09WCC01_01_31,0.1874,3,0.0242,39.92,4,0.59,,,,,,,1.084,0.03,0.42,0.08,0.95,0.10,30.58,2.02,
09WCC01_01_33,0.3216,3,0.0142,23.03,5,2.19,,,,,,,1.322,0.03,0.44,0.09,1.16,0.11,47.34,2.74,
09WCC01_01_35,0.3499,3,0.0335,19.72,4,1.25,,,,,,,1.212,0.03,0.29,0.10,1.09,0.13,46.95,3.23,
09WCC01_01_37,0.3335,3,0.0057,20.47,4,1.42,,,,,,,1.373,0.03,0.22,0.08,1.18,0.11,46.00,2.83,
09WCC01_01_39,0.2861,3,0.0294,25.74,4,1.65,3.30,0.50,96.70,0.50,21.50,0.30,1.471,0.03,,,1.07,0.11,39.28,2.53,
09WCC01_01_41,0.2669,2,0.0863,24.01,5,1.96,,,,,,,1.045,0.03,,,1.03,0.09,37.77,2.22,
09WCC01_01_43,0.3763,3,0.0073,21.18,4,1.43,,,,,,,0.452,0.01,,,1.14,0.12,40.07,2.76,
09WCC01_01_45,0.4016,3,0.0008,19.09,4,1.95,,,,,,,0.848,0.02,,,1.11,0.10,46.43,2.45,
09WCC01_01_47,0.3909,2,0.0215,15.06,2,0.34,1.40,0.40,98.60,0.40,22.10,0.20,0.751,0.02,,,,,,,
09WCC01_01_49,0.4409,1,,13.83,1,,,,,,,,0.699,0.02,,,,,,,
09WCC01_01_51,0.4029,1,,16.98,2,0.08,,,,,,,0.713,0.02,,,,,,,
09WCC01_01_53,0.3082,1,,24.56,1,,,,,,,,0.778,0.02,,,,,,,
09WCC01_01_55,0.3211,1,,25.97,1,,,,,,,,0.783,0.02,,,,,,,
09WCC01_02_01,0.4442,2,0.0036,11.33,1,,9.90,2.14,90.10,2.14,18.77,1.65,5.10,0.11,,,,,,,
09WCC01_02_03,0.5587,1,,8.66,1,,,,,,,,4.44,0.09,,,,,,,
09WCC01_02_05,0.5672,2,0.0409,9.74,2,0.23,8.90,0.16,91.10,0.16,17.43,0.19,3.89,0.07,,,,,,,
09WCC01_02_07,0.2782,3,0.0041,26.50,4,0.43,15.24,0.78,84.76,0.78,15.03,0.39,2.45,0.05,,,,,,,
09WCC01_02_09,0.1467,3,0.0044,54.70,4,1.02,,,,,,,3.09,0.07,0.34,0.10,1.33,0.13,31.93,2.26,
09WCC01_02_11,0.1293,3,0.0048,57.55,4,1.21,26.24,2.95,73.76,2.95,8.76,0.41,2.75,0.07,0.36,0.08,0.68,0.09,17.87,1.53,
09WCC01_02_13,0.1251,2,0.0033,58.32,2,0.46,,,,,,,2.11,0.06,0.83,0.11,0.59,0.10,15.10,1.58,
09WCC01_02_15,0.1762,3,0.0123,43.61,4,0.45,10.99,2.12,89.01,2.12,19.67,0.83,3.82,0.08,2.76,0.30,0.78,0.15,18.53,3.32,
09WCC01_02_17,0.3857,2,0.0176,16.97,5,0.37,3.08,0.40,96.92,0.40,29.91,0.42,2.19,0.05,9.32,0.27,0.93,0.12,26.04,2.07,
09WCC01_02_19,0.3567,3,0.0365,18.49,4,0.05,12.05,0.40,87.95,0.40,19.39,0.26,1.47,0.03,3.63,0.16,1.23,0.11,43.87,2.21,
09WCC01_02_21,0.1977,3,0.0163,40.22,4,0.65,,,,,,,1.39,0.04,1.91,0.14,1.32,0.12,39.20,2.25,
09WCC01_02_23,0.2242,2,0.0217,35.02,4,1.27,16.44,0.77,83.56,0.77,14.81,0.59,1.04,0.03,1.01,0.12,1.00,0.12,25.61,2.05,
09WCC01_02_25,0.3547,3,0.0109,18.05,5,0.32,,,,,,,1.14,0.03,0.26,0.16,1.12,0.20,33.05,3.40,
09WCC01_02_27,0.3040,2,0.0180,22.38,4,0.43,2.79,0.28,97.21,0.28,24.74,0.20,1.08,0.03,0.21,0.08,1.29,0.12,44.61,2.29,
09WCC01_02_29,0.2873,1,,25.75,1,,,,,,,,1.05,0.03,,,1.20,0.19,39.20,3.50,
09WCC01_02_31,0.2834,1,,25.00,2,0.04,,,,,,,1.00,0.02,,,,,,,
09WCC01_02_33,0.2574,2,0.0006,28.22,1,,2.70,0.49,97.30,0.49,19.03,0.16,0.80,0.02,,,,,,,
09WCC01_02_35,0.3795,1,,18.90,1,,,,,,,,0.59,0.02,,,,,,,
09WCC01_02_37,0.3242,1,,25.36,1,,,,,,,,0.71,0.02,,,,,,,
09WCC01_02_39,0.3238,1,,28.66,2,0.42,3.54,1.01,96.46,1.01,18.50,0.60,0.55,0.02,,,,,,,
09WCC01_02_41,0.2140,1,,41.15,1,,,,,,,,0.70,0.02,,,,,,,
09WCC01_02_43,0.2187,2,0.0109,42.85,1,,8.95,0.51,91.05,0.51,14.22,0.20,1.10,0.03,,,,,,,
09WCC01_02_45,0.4961,1,,17.31,2,0.28,,,,,,,1.09,0.03,,,,,,,
09WCC01_03_01,0.3915,2,0.0046,14.66,1,,15.50,1.90,84.50,1.90,15.00,1.10,3.37,0.07,,,,,,,
09WCC01_03_03,0.3874,1,,15.24,1,,9.80,0.60,90.20,0.60,18.20,0.30,4.45,0.08,,,,,,,
09WCC01_03_05,0.4752,2,0.0000,12.09,2,0.43,5.80,0.60,94.20,0.60,19.20,0.00,4.16,0.09,,,,,,,
09WCC01_03_07,0.6030,1,,9.67,1,,15.80,0.70,84.20,0.70,14.00,0.30,3.48,0.07,,,,,,,
09WCC01_03_09,0.5753,1,,8.80,1,,33.60,1.40,66.40,1.40,12.40,0.70,3.24,0.07,,,,,,,
09WCC01_03_11,0.3148,2,0.0074,21.13,2,0.34,13.20,0.80,86.80,0.80,16.70,0.40,4.78,0.09,,,,,,,
09WCC01_03_13,0.2877,2,0.0086,31.32,1,,15.00,1.40,85.00,1.40,13.30,0.40,3.56,0.08,,,,,,,
09WCC01_03_15,0.2648,3,0.0086,29.53,5,1.20,,,,,,,2.72,0.08,0.42,0.07,1.03,0.08,33.63,1.76,
09WCC01_03_17,0.2750,2,0.0408,29.11,3,2.90,7.10,1.40,92.90,1.40,21.40,0.50,2.25,0.05,0.57,0.14,1.37,0.17,34.74,2.86,
09WCC01_03_19,0.3286,3,0.0425,20.84,4,0.81,,,,,,,1.95,0.04,0.67,0.09,1.26,0.11,39.24,2.32,
09WCC01_03_21,0.3623,3,0.0229,17.59,5,0.40,,,,,,,2.14,0.05,0.88,0.08,1.52,0.09,39.79,1.87,
09WCC01_03_23,0.3520,2,0.0225,18.57,4,1.11,2.50,0.30,97.50,0.30,26.40,0.40,1.79,0.04,2.06,0.14,1.52,0.13,41.51,2.51,
09WCC01_03_25,0.3608,3,0.0082,17.43,4,0.99,4.40,0.30,95.60,0.30,24.80,0.30,1.87,0.05,1.42,0.11,1.30,0.10,39.33,2.12,
09WCC01_03_27,0.3916,3,0.0164,15.33,5,0.38,1.70,0.30,98.30,0.30,28.90,0.10,2.13,0.05,0.56,0.09,1.34,0.12,40.98,2.41,
09WCC01_03_29,0.4313,3,0.0301,15.83,4,0.89,,,,,,,2.05,0.05,0.43,0.08,1.23,0.11,42.14,2.22,
09WCC01_03_31,0.4648,3,0.1224,16.61,4,0.86,3.40,0.20,96.60,0.20,25.70,0.30,1.93,0.04,0.19,0.08,1.15,0.11,39.93,2.26,
09WCC01_03_33,0.4886,2,0.0734,15.83,5,0.93,2.50,0.30,97.50,0.30,25.00,0.20,1.58,0.04,,,1.22,0.09,42.75,2.05,
09WCC01_03_35,0.4532,3,0.0436,14.72,4,0.62,,,,,,,1.45,0.04,,,1.11,0.10,41.89,2.05,
09WCC01_03_37,0.4598,2,0.0092,14.76,4,1.19,3.30,0.50,96.70,0.50,23.70,0.30,1.06,0.03,,,1.15,0.10,41.42,2.19,
09WCC01_03_39,0.4441,3,0.0247,14.61,5,1.53,,,,,,,1.01,0.03,,,1.24,0.09,42.74,1.92,
09WCC01_03_41,0.4547,3,0.0096,15.75,4,1.31,2.80,0.20,97.20,0.20,21.10,0.20,1.05,0.02,,,1.31,0.11,41.68,2.34,
09WCC01_03_43,0.4812,3,0.0209,14.46,4,1.24,1.90,0.40,98.10,0.40,20.10,0.20,1.00,0.03,,,1.37,0.12,41.33,2.44,
09WCC01_03_45,0.5534,1,,11.50,1,,2.90,0.40,97.10,0.40,20.20,0.80,0.92,0.02,,,,,,,
09WCC01_04_01,0.4721,2,0.0023,10.03,1,,23.70,1.70,76.30,1.70,12.60,0.60,3.79,0.11,,,,,,,
09WCC01_04_03,0.4000,2,0.0018,14.93,1,,7.30,0.70,92.70,0.70,19.80,0.50,4.09,0.08,,,,,,,
09WCC01_04_05,0.5395,1,,13.99,2,0.28,5.70,1.20,94.30,1.20,21.00,0.70,4.37,0.11,,,,,,,
09WCC01_04_07,0.5419,1,,9.99,1,,4.20,0.60,95.80,0.60,19.40,0.30,4.34,0.08,,,,,,,
09WCC01_04_09,0.5723,2,0.0169,8.45,1,,8.20,0.60,91.80,0.60,17.10,1.10,3.62,0.07,,,,,,,
09WCC01_04_11,0.6031,1,,8.52,1,,19.70,1.50,80.30,1.50,15.80,0.20,3.39,0.10,,,,,,,
09WCC01_04_13,0.5520,1,,10.32,1,,22.40,0.90,77.60,0.90,14.40,0.80,4.68,0.08,,,,,,,
09WCC01_04_15,0.3233,2,0.0051,23.77,5,1.88,6.00,0.80,94.00,0.80,21.90,0.80,6.49,0.11,0.31,0.07,1.41,0.10,36.25,1.85,
09WCC01_04_17,0.3015,3,0.0133,27.02,4,0.86,,,,,,,5.65,0.13,0.35,0.07,1.27,0.09,37.53,2.04,
09WCC01_04_19,0.3623,3,0.0282,26.82,4,4.98,,,,,,,3.81,0.09,0.38,0.05,1.46,0.08,39.36,1.60,
09WCC01_04_21,0.3402,3,0.0142,21.20,4,1.61,2.30,0.30,97.70,0.30,26.70,0.80,3.04,0.08,0.37,0.08,1.60,0.12,41.10,2.40,
09WCC01_04_23,0.3753,3,0.0575,25.31,5,3.73,1.90,0.30,98.10,0.30,28.60,0.30,2.75,0.07,0.50,0.07,1.33,0.09,41.95,1.96,
