Site,Latitude,Longitude,Date,Time,SW_depth,SW_salinity,PW10_salinity,PW30_salinity
09WCC01_01,29.61517,-92.64500,4/29/2009,11:39 AM,9.0,6.0,10.1,13.7
09WCC01_02,29.63220,-92.57860,4/29/2009,2:48 PM,16.0,14.9,16.5,18.6
09WCC01_03,29.58866,-92.60558,4/30/2009,10:19 AM,3.5,20.1,22.0,.
09WCC01_04,29.58853,-92.60448,4/30/2009,9:16 AM,2.0,10.4,22.3,22.0
09WCC01_05,29.58832,-92.60329,4/30/2009,10:48 AM,5.0,10.4,17.9,.
09WCC01_06,29.59756,-92.60445,4/30/2009,11:08 AM,5.0,9.8,19.0,21.9
09WCC01_07,29.61110,-92.60441,4/30/2009,12:26 PM,9.0,13.3,22.1,22.3
09WCC01_08,29.62016,-92.60437,4/30/2009,1:12 PM,8.5,14.0,16.1,17.0
09WCC01_09,29.63649,-92.60405,4/30/2009,2:15 PM,13.0,11.7,14.2,18.2
