"",,,% C,
Depth (cm),,,,
"",Site 2,Site 3,Site 1.1,Site 1.2
5,4.18,3.45,7.16,1.47
10,3.99,3.08,1.82,2.44
15,3.13,3.14,1.07,1.70
20,1.68,3.26,0.98,0.66
25,1.04,2.07,1.19,0.41
30,0.86,2.21,0.43,0.19
35,0.94,2.15,0.17,0.17
40,1.29,2.35,0.19,0.23
45,1.09,1.82,0.29,0.22
50,1.31,2.44,0.34,0.30
