U_depth_cm,L_depth_cm,Site,Method,OC_perc,SOM_perc,SOM_perc_Heiri,Latitude,Longitude 
0,5,Site 2,EA,4.18,1.62,2.96,,
5,10,Site 2,EA,3.99,0.79,1.52,,
10,15,Site 2,EA,3.13,0.69,1.26,,
15,20,Site 2,EA,1.68,0.95,1.43,,
20,25,Site 2,EA,1.04,0.68,0.9,,
25,30,Site 2,EA,0.86,0.48,1.16,,
30,35,Site 2,EA,0.94,0.38,0.64,,
35,40,Site 2,EA,1.29,0.47,0.74,,
40,45,Site 2,EA,1.09,0.46,1.05,,
45,50,Site 2,EA,1.31,0.38,0.67,,
0,5,Site 3,EA,3.45,0.71,1.3,,
5,10,Site 3,EA,3.08,1.28,1.78,,
10,15,Site 3,EA,3.14,0.82,1.4,,
15,20,Site 3,EA,3.26,0.59,0.85,,
20,25,Site 3,EA,2.07,0.57,1.2,,
25,30,Site 3,EA,2.21,0.28,0.52,,
30,35,Site 3,EA,2.15,0.37,0.56,,
35,40,Site 3,EA,2.35,0.54,0.8,,
40,45,Site 3,EA,1.82,0.5,0.88,,
45,50,Site 3,EA,2.44,0.34,0.82,,
0,5,Site 1.1,EA,7.16,1.42,3.36,,
5,10,Site 1.1,EA,1.82,1.34,1.84,,
10,15,Site 1.1,EA,1.07,1.07,2.33,,
15,20,Site 1.1,EA,0.98,0.65,1.26,,
20,25,Site 1.1,EA,1.19,0.53,1.25,,
25,30,Site 1.1,EA,0.43,0.7,1.04,,
30,35,Site 1.1,EA,0.17,1.16,1.3,,
35,40,Site 1.1,EA,0.19,1.29,1.76,,
40,45,Site 1.1,EA,0.29,0.71,1.54,,
45,50,Site 1.1,EA,0.34,0.88,1.07,,
0,5,Site 1.2,EA,1.47,0.71,2.1,,
5,10,Site 1.2,EA,2.44,0.78,2.26,,
10,15,Site 1.2,EA,1.7,3.41,2.13,,
15,20,Site 1.2,EA,0.66,0.75,2.01,,
20,25,Site 1.2,EA,0.41,1.73,1.74,,
25,30,Site 1.2,EA,0.19,0.69,1.82,,
30,35,Site 1.2,EA,0.17,0.82,1.65,,
35,40,Site 1.2,EA,0.23,0.84,2.03,,
40,45,Site 1.2,EA,0.22,0.77,1.39,,
45,50,Site 1.2,EA,0.3,0.65,1.27,,
