study_id,site_id,core_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter,fraction_carbon,cs137_activity,excess_pb210_activity,bi214_activity,depth_interval_notes,cs137_unit,pb210_unit,bi214_unit
Callaway_et_al_2019,Brown_Island,Browns_Island_A_High,0,2,0.097388678,0.763476609,NA,0,2.7936174448427447,NA,NA,picocuriesPerGram,picocuriesPerGram,NA
Callaway_et_al_2019,Brown_Island,Browns_Island_A_High,2,4,0.177885712,0.817567568,NA,0,1.762885983431788,NA,NA,picocuriesPerGram,picocuriesPerGram,NA
Callaway_et_al_2019,Brown_Island,Browns_Island_A_High,4,6,0.162663426,0.768148747,NA,0.18,1.5429574166316278,NA,NA,picocuriesPerGram,picocuriesPerGram,NA
Callaway_et_al_2019,Brown_Island,Browns_Island_A_High,6,8,0.169255977,0.698968781,NA,0.23,1.2251214229830132,NA,NA,picocuriesPerGram,picocuriesPerGram,NA
Callaway_et_al_2019,Brown_Island,Browns_Island_A_High,8,10,0.145149308,0.737319913,NA,0.38,0.6115095843607357,NA,NA,picocuriesPerGram,picocuriesPerGram,NA
Callaway_et_al_2019,Brown_Island,Browns_Island_A_High,10,12,0.125230183,0.701101708,NA,0.59,0.5844714822361613,NA,NA,picocuriesPerGram,picocuriesPerGram,NA
Callaway_et_al_2019,Brown_Island,Browns_Island_A_High,12,14,0.115100855,0.67951144,NA,0.71,0.36043408289768647,NA,NA,picocuriesPerGram,picocuriesPerGram,NA
Callaway_et_al_2019,Brown_Island,Browns_Island_A_High,14,16,0.129785551,0.589035987,NA,1.36,0.4679138380081205,NA,NA,picocuriesPerGram,picocuriesPerGram,NA
Callaway_et_al_2019,Brown_Island,Browns_Island_A_High,16,18,0.145403956,0.493571584,NA,1.99,0.7869515240719667,NA,NA,picocuriesPerGram,picocuriesPerGram,NA
Callaway_et_al_2019,Brown_Island,Browns_Island_A_High,18,20,0.171660985,0.440867993,NA,0.97,0.20388014555128947,NA,NA,picocuriesPerGram,picocuriesPerGram,NA
Callaway_et_al_2019,Brown_Island,Browns_Island_A_High,20,22,0.174490406,0.534413907,NA,0.35,0.3870093173224841,NA,NA,picocuriesPerGram,picocuriesPerGram,NA
Callaway_et_al_2019,Brown_Island,Browns_Island_A_High,22,24,0.278358459,0.454372261,0.2072245262146,0,0.10316690738760649,NA,NA,picocuriesPerGram,picocuriesPerGram,NA
Callaway_et_al_2019,Brown_Island,Browns_Island_A_High,24,26,0.292760213,0.426596177,NA,0,NA,NA,NA,picocuriesPerGram,NA,NA
Callaway_et_al_2019,Brown_Island,Browns_Island_A_High,26,28,0.425177126,0.207198228,NA,0.05,NA,NA,NA,picocuriesPerGram,NA,NA
Callaway_et_al_2019,Brown_Island,Browns_Island_A_High,28,30,0.409587015,0.194369015,NA,0,NA,NA,NA,picocuriesPerGram,NA,NA
Callaway_et_al_2019,Brown_Island,Browns_Island_A_High,30,32,0.273406972,0.311141304,NA,0,NA,NA,NA,picocuriesPerGram,NA,NA
