"[Abbreviations: ID, identification; g-water/g-wet, grams of water per grams of wet sediment; cm^3-voids/cm^3-wet, cubic centimeters of voids per cubic centimeter of wet sediment; g/cm^3, grams per cubic centimeter; g-OM/g-dry, grams of organic matter per gram of dry sediment]",,,,,
Sample ID,"Water 
Content 
(g-water/g-wet)",Porosity (cm^3-voids/cm^3-wet),"Dry Bulk 
Density 
(g/cm^3)","Loss On 
Ignition 
(g-OM/g-dry)",
16CCT04-GB300G,0.33,0.55,1.11,0.023,
16CCT04-GB301G,0.52,0.73,0.65,0.068,
16CCT04-GB302G,0.27,0.47,1.27,0.022,
16CCT04-GB303G,0.22,0.41,1.35,0.008,
16CCT04-GB303Ga,,,,0.008,
16CCT04-GB304G,0.43,0.65,0.74,0.047,
16CCT04-GB305G,0.48,0.69,0.62,0.062,
16CCT04-GB306G,0.42,0.65,0.80,0.047,
16CCT04-GB307G,0.37,0.60,0.99,0.018,
16CCT04-GB308G,0.32,0.53,1.15,0.016,
16CCT04-GB308Ga,,,,0.017,
16CCT04-GB309G,0.36,0.59,0.91,0.027,
16CCT04-GB310G,0.33,0.55,1.08,0.028,
16CCT04-GB311G,0.38,0.61,0.89,0.030,
16CCT04-GB312G,0.23,0.43,1.37,0.010,
16CCT04-GB313G,0.26,0.47,1.29,0.017,
16CCT04-GB313Ga,,,,0.016,
16CCT04-GB314G,0.36,0.58,1.02,0.031,
16CCT04-GB315G,0.61,0.80,0.47,0.129,
16CCT04-GB316G,0.25,0.46,1.32,0.012,
16CCT04-GB317G,0.27,0.48,1.06,0.019,
16CCT04-GB317Ga,,,,0.019,
16CCT04-GB318G,0.33,0.55,1.10,0.027,
16CCT04-GB319G,0.44,0.66,0.81,0.053,
16CCT04-GB320G,0.40,0.63,0.90,0.037,
a = replicate analysis,,,,,
