"study_id","site_id","impact_class","stressor_class"
"Nahlik_and_Fennessey_2017","NWCA11-2908","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-2910","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-2914","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-2921","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-2922","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-2924","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-2947","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-3045","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-3052","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-3093","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-4713","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-4717","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-4729","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-1314","impounded","High"
"Nahlik_and_Fennessey_2017","NWCA11-1304","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-1299","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-2434","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-2420","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-2666","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-2634","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-1203","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-2582","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-1222","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-1210","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-1226","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-2677","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-1217","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-1218","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-1003","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-4151","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-4147","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-4145","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-4141","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-4138","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-2358","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-2355","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-2343","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-2342","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-2339","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-2072","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-2056","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-2654","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-2664","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-1221","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-2538","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-1617","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-1643","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-1673","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-2603","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-2704","ditched","High"
