"study_id","site_id","core_id","core_date","core_latitude","core_longitude","salinity_class","salinity_method","vegetation_class","vegetation_method"
"Nahlik_and_Fennessey_2017","NWCA11-1240","NWCA11-1240-2610",2011-05-03,30.15089533,-85.04427656,"palustrine","field observation","emergent","field observation"
"Nahlik_and_Fennessey_2017","NWCA11-2426","NWCA11-2426-2611",2011-04-18,32.5344469,-80.45276742,"estuarine","field observation","emergent","field observation"
"Nahlik_and_Fennessey_2017","NWCA11-1266","NWCA11-1266-2668",2011-05-12,28.6982345,-80.741909,"estuarine","field observation","emergent","field observation"
"Nahlik_and_Fennessey_2017","NWCA11-1304","NWCA11-1304-2669",2011-04-29,29.66114007,-81.76579873,"palustrine","field observation","forested","field observation"
"Nahlik_and_Fennessey_2017","NWCA11-1299","NWCA11-1299-2672",2011-05-13,28.27577,-80.7264533,"palustrine","field observation","emergent","field observation"
"Nahlik_and_Fennessey_2017","NWCA11-2418","NWCA11-2418-2750",2011-04-13,32.39959155,-80.65901056,"estuarine","field observation","emergent","field observation"
"Nahlik_and_Fennessey_2017","NWCA11-2432","NWCA11-2432-2752",2011-05-11,34.18050366,-79.54721339,"palustrine","field observation","forested","field observation"
"Nahlik_and_Fennessey_2017","NWCA11-2407","NWCA11-2407-2769",2011-05-16,32.6200848,-80.22069279,"estuarine","field observation","emergent","field observation"
"Nahlik_and_Fennessey_2017","NWCA11-1006","NWCA11-1006-2776",2011-05-24,30.27774675,-87.74473955,"palustrine","field observation","scrub shrub","field observation"
"Nahlik_and_Fennessey_2017","NWCA11-2434","NWCA11-2434-2791",2011-05-09,32.39303529,-80.6638329,"estuarine","field observation","emergent","field observation"
"Nahlik_and_Fennessey_2017","NWCA11-2435","NWCA11-2435-2792",2011-05-18,32.66363368,-80.28484663,"estuarine","field observation","emergent","field observation"
"Nahlik_and_Fennessey_2017","NWCA11-R067","NWCA11-R067-2811",2011-06-08,30.54231,-86.99638,"estuarine","field observation","emergent","field observation"
"Nahlik_and_Fennessey_2017","NWCA11-1002","NWCA11-1002-2812",2011-05-26,30.26178475,-87.7289122,"estuarine","field observation","emergent","field observation"
"Nahlik_and_Fennessey_2017","NWCA11-1014","NWCA11-1014-3239",2011-05-04,30.4310234,-87.63309304,"palustrine","field observation","forested","field observation"
