"study_id","site_id","core_id","sample_id","DEPTH","DEPTH_FLAG","dry_bulk_density","BULK_DEN_DBF_FLAG","fraction_carbon"
"Nahlik_and_Fennessey_2017","NWCA11-1240","NWCA11-1240-2610","NWCA11-1240-1-11-FL-077-001-1",15,NA,0.87,NA,2.11
"Nahlik_and_Fennessey_2017","NWCA11-1240","NWCA11-1240-2610","NWCA11-1240-1-11-FL-077-001-2",47,NA,1.08,NA,1.14
"Nahlik_and_Fennessey_2017","NWCA11-1240","NWCA11-1240-2610","NWCA11-1240-1-11-FL-077-001-3",85,NA,1.33,NA,0.63
"Nahlik_and_Fennessey_2017","NWCA11-2426","NWCA11-2426-2611","NWCA11-2426-1-11-SC-029-001-1",28,NA,0.6,NA,3.45
"Nahlik_and_Fennessey_2017","NWCA11-2426","NWCA11-2426-2611","NWCA11-2426-1-11-SC-029-001-2",125,NA,1.27,NA,0.52
"Nahlik_and_Fennessey_2017","NWCA11-1266","NWCA11-1266-2668","NWCA11-1266-1-11-FL-009-001-1",6,"LAYER 1 AND 2 COLLECTED TOGETHER.",1.11,NA,0.85
"Nahlik_and_Fennessey_2017","NWCA11-1266","NWCA11-1266-2668","NWCA11-1266-1-11-FL-009-001-3",39,NA,1.1,NA,0.21
"Nahlik_and_Fennessey_2017","NWCA11-1266","NWCA11-1266-2668","NWCA11-1266-1-11-FL-009-001-4",80,NA,1.15,NA,0.72
"Nahlik_and_Fennessey_2017","NWCA11-1266","NWCA11-1266-2668","NWCA11-1266-1-11-FL-009-001-5",100,NA,1.5,NA,0.18
"Nahlik_and_Fennessey_2017","NWCA11-1304","NWCA11-1304-2669","NWCA11-1304-1-11-FL-107-001-1",9,NA,0.3,NA,18.91
"Nahlik_and_Fennessey_2017","NWCA11-1304","NWCA11-1304-2669","NWCA11-1304-1-11-FL-107-001-2",21,NA,0.71,NA,4.13
"Nahlik_and_Fennessey_2017","NWCA11-1304","NWCA11-1304-2669","NWCA11-1304-1-11-FL-107-001-3",125,NA,1.12,NA,0.85
"Nahlik_and_Fennessey_2017","NWCA11-1299","NWCA11-1299-2672","NWCA11-1299-1-11-FL-009-005-1",13,NA,0.07,NA,40.1
"Nahlik_and_Fennessey_2017","NWCA11-1299","NWCA11-1299-2672","NWCA11-1299-1-11-FL-009-005-2",37,NA,0.22,NA,27.04
"Nahlik_and_Fennessey_2017","NWCA11-1299","NWCA11-1299-2672","NWCA11-1299-1-11-FL-009-005-3",100,NA,1.14,NA,6.1
"Nahlik_and_Fennessey_2017","NWCA11-2418","NWCA11-2418-2750","NWCA11-2418-1-11-SC-013-002-1",50,NA,0.68,NA,1.84
"Nahlik_and_Fennessey_2017","NWCA11-2432","NWCA11-2432-2752","NWCA11-2432-1-11-SC-067-001-2",20,NA,0.43,NA,6.91
"Nahlik_and_Fennessey_2017","NWCA11-2432","NWCA11-2432-2752","NWCA11-2432-1-11-SC-067-001-3",70,NA,0.6,NA,3.16
"Nahlik_and_Fennessey_2017","NWCA11-2407","NWCA11-2407-2769","NWCA11-2407-1-11-SC-019-001-1",60,NA,0.42,NA,2.11
"Nahlik_and_Fennessey_2017","NWCA11-1006","NWCA11-1006-2776","NWCA11-1006-1-11-AL-003-016-1",12,"BULK DENSITY SAMPLES COLLECTED VERTICALLY FOR ALL HORIZONS SAMPLED",0.92,NA,2.61
"Nahlik_and_Fennessey_2017","NWCA11-1006","NWCA11-1006-2776","NWCA11-1006-1-11-AL-003-016-2",24,NA,1.51,NA,0.21
"Nahlik_and_Fennessey_2017","NWCA11-1006","NWCA11-1006-2776","NWCA11-1006-1-11-AL-003-016-3",40,NA,1.53,NA,0.07
"Nahlik_and_Fennessey_2017","NWCA11-1006","NWCA11-1006-2776","NWCA11-1006-1-11-AL-003-016-4",58,NA,1.17,NA,0.02
"Nahlik_and_Fennessey_2017","NWCA11-1006","NWCA11-1006-2776","NWCA11-1006-1-11-AL-003-016-5",77,NA,1.58,NA,0.07
"Nahlik_and_Fennessey_2017","NWCA11-1006","NWCA11-1006-2776","NWCA11-1006-1-11-AL-003-016-6",107,NA,NA,NA,1.66
"Nahlik_and_Fennessey_2017","NWCA11-1006","NWCA11-1006-2776","NWCA11-1006-1-11-AL-003-016-7",130,NA,NA,NA,0.69
"Nahlik_and_Fennessey_2017","NWCA11-2434","NWCA11-2434-2791","NWCA11-2434-1-11-SC-013-003-1",12,NA,0.99,NA,0.17
"Nahlik_and_Fennessey_2017","NWCA11-2434","NWCA11-2434-2791","NWCA11-2434-1-11-SC-013-003-2",28,NA,1.48,NA,0.54
"Nahlik_and_Fennessey_2017","NWCA11-2434","NWCA11-2434-2791","NWCA11-2434-1-11-SC-013-003-3",73,NA,1.48,NA,0.12
"Nahlik_and_Fennessey_2017","NWCA11-2435","NWCA11-2435-2792","NWCA11-2435-1-11-SC-019-007-1",24,NA,1.39,NA,0.58
"Nahlik_and_Fennessey_2017","NWCA11-2435","NWCA11-2435-2792","NWCA11-2435-1-11-SC-019-007-2",70,NA,1.46,NA,0.38
"Nahlik_and_Fennessey_2017","NWCA11-R067","NWCA11-R067-2811","NWCA11-R067-1-11-FL-091-001-1",19,"HORIZON 1 - HEAVY ROOT MAT.  HORIZON 2 LESS FIBROUS THAN A & B.",0.13,"Db inconsistent with layer position, g/cc",13.31
"Nahlik_and_Fennessey_2017","NWCA11-R067","NWCA11-R067-2811","NWCA11-R067-1-11-FL-091-001-2",73,"HORIZON 1 - HEAVY ROOT MAT.  HORIZON 2 LESS FIBROUS THAN A & B.",0.41,"Db inconsistent with layer position, g/cc",9.11
"Nahlik_and_Fennessey_2017","NWCA11-1002","NWCA11-1002-2812","NWCA11-1002-1-11-AL-003-001-1",9,NA,0.2,NA,23.88
"Nahlik_and_Fennessey_2017","NWCA11-1002","NWCA11-1002-2812","NWCA11-1002-1-11-AL-003-001-2",23,NA,0.74,NA,5.49
"Nahlik_and_Fennessey_2017","NWCA11-1002","NWCA11-1002-2812","NWCA11-1002-1-11-AL-003-001-3",42,NA,1.74,NA,0.24
"Nahlik_and_Fennessey_2017","NWCA11-1002","NWCA11-1002-2812","NWCA11-1002-1-11-AL-003-001-4",65,NA,1.78,NA,0.31
"Nahlik_and_Fennessey_2017","NWCA11-1002","NWCA11-1002-2812","NWCA11-1002-1-11-AL-003-001-5",125,NA,NA,NA,0.34
"Nahlik_and_Fennessey_2017","NWCA11-1014","NWCA11-1014-3239","NWCA11-1014-1-11-AL-003-008-1",14,NA,0.6,NA,8.71
"Nahlik_and_Fennessey_2017","NWCA11-1014","NWCA11-1014-3239","NWCA11-1014-1-11-AL-003-008-2",22,NA,0.78,NA,6
"Nahlik_and_Fennessey_2017","NWCA11-1014","NWCA11-1014-3239","NWCA11-1014-1-11-AL-003-008-3",44,NA,1.29,NA,2.29
"Nahlik_and_Fennessey_2017","NWCA11-1014","NWCA11-1014-3239","NWCA11-1014-1-11-AL-003-008-4",71,NA,1.3,NA,1.93
"Nahlik_and_Fennessey_2017","NWCA11-1011","NWCA11-1011-3265","NWCA11-1011-1-11-AL-003-006-1",12,"ONLY CHEMISTRY SAMPLES COLLECTED - RUNNING OUT OF DAYLIGHT - NO TIME TO HAMMER MORE CORES FOR BULK DENSITY SAMPLES.",NA,NA,22.51
"Nahlik_and_Fennessey_2017","NWCA11-1011","NWCA11-1011-3265","NWCA11-1011-1-11-AL-003-006-2",33,NA,NA,NA,9.94
"Nahlik_and_Fennessey_2017","NWCA11-1011","NWCA11-1011-3265","NWCA11-1011-1-11-AL-003-006-3",74,NA,NA,NA,23.49
"Nahlik_and_Fennessey_2017","NWCA11-1011","NWCA11-1011-3265","NWCA11-1011-1-11-AL-003-006-4",106,NA,NA,NA,23.88
"Nahlik_and_Fennessey_2017","NWCA11-1011","NWCA11-1011-3265","NWCA11-1011-1-11-AL-003-006-5",125,NA,NA,NA,12.12
"Nahlik_and_Fennessey_2017","NWCA11-2410","NWCA11-2410-3275","NWCA11-2410-1-11-SC-013-001-1",11,NA,1.23,NA,3.27
"Nahlik_and_Fennessey_2017","NWCA11-2410","NWCA11-2410-3275","NWCA11-2410-1-11-SC-013-001-2",40,NA,1.66,NA,1.43
"Nahlik_and_Fennessey_2017","NWCA11-2410","NWCA11-2410-3275","NWCA11-2410-1-11-SC-013-001-3",125,NA,1.47,NA,0.61
"Nahlik_and_Fennessey_2017","NWCA11-1105","NWCA11-1105-3314","NWCA11-1105-1-11-CA-081-001-1",18,NA,0.55,NA,4.29
