study_id,site_id,core_id,depth_min,depth_max,sample_id,dry_bulk_density,fraction_organic_matter,fraction_carbon,method_id
StLaurent_et_al_2020,St Jones Reserve,SJR_1_2017,0,15,SJR_1_2017_x_a,0.733,0.12802148612354522,NA,single set of methods
StLaurent_et_al_2020,St Jones Reserve,SJR_1_2017,0,15,SJR_1_2017_y_a,0.767,0.13145780051150902,NA,single set of methods
StLaurent_et_al_2020,St Jones Reserve,SJR_1_2017,0,15,SJR_1_2017_z_a,0.76,0.133764832793959,NA,single set of methods
StLaurent_et_al_2020,St Jones Reserve,SJR_1_2017,15,30,SJR_1_2017_x_b,NA,0.12921940928270037,NA,single set of methods
StLaurent_et_al_2020,St Jones Reserve,SJR_1_2017,15,30,SJR_1_2017_y_b,NA,0.13648834019204395,NA,single set of methods
StLaurent_et_al_2020,St Jones Reserve,SJR_1_2017,15,30,SJR_1_2017_z_b,0.747,0.13170472650026555,NA,single set of methods
StLaurent_et_al_2020,St Jones Reserve,SJR_2_2017,0,15,SJR_2_2017_x_a,0.729,0.14775051124744373,0.0492,single set of methods
StLaurent_et_al_2020,St Jones Reserve,SJR_2_2017,0,15,SJR_2_2017_y_a,0.752,0.1521402784940692,0.0529,single set of methods
StLaurent_et_al_2020,St Jones Reserve,SJR_2_2017,0,15,SJR_2_2017_z_a,0.712,0.15432801822323458,0.049400000000000006,single set of methods
StLaurent_et_al_2020,St Jones Reserve,SJR_2_2017,15,30,SJR_2_2017_x_b,0.736,0.15689810640216406,NA,single set of methods
StLaurent_et_al_2020,St Jones Reserve,SJR_2_2017,15,30,SJR_2_2017_y_b,0.838,0.15281030444964866,NA,single set of methods
StLaurent_et_al_2020,St Jones Reserve,SJR_2_2017,15,30,SJR_2_2017_z_b,0.758,0.15031757233592102,NA,single set of methods
StLaurent_et_al_2020,St Jones Reserve,SJR_3_2017,0,15,SJR_3_2017_x_a,0.763,0.14212218649517677,NA,single set of methods
