study_id,site_id,core_id,method_id,depth_min,depth_max,cs137_activity,cs137_activity_se,cs137_unit,excess_pb210_activity,excess_pb210_activity_se,total_pb210_activity,total_pb210_activity_se,pb210_unit,fraction_sand,fraction_silt
Quafisi_et_al_2024,TARB,101,single set of methods,0,2,3.17,0.83,bequerelsPerKilogram,28.33,10.5,80.83,9.83,bequerelsPerKilogram,0.83,0.17
Quafisi_et_al_2024,TARB,101,single set of methods,2,4,2,0.67,bequerelsPerKilogram,6.17,6.67,41.83,6.33,bequerelsPerKilogram,0.89,0.11
Quafisi_et_al_2024,TARB,101,single set of methods,4,6,1.33,0.67,bequerelsPerKilogram,11.17,8,56.5,7.33,bequerelsPerKilogram,0.88,0.12
Quafisi_et_al_2024,TARB,101,single set of methods,6,8,0.17,0.83,bequerelsPerKilogram,10.83,9.67,64.5,8.83,bequerelsPerKilogram,0.82,0.18
Quafisi_et_al_2024,TARB,101,single set of methods,8,10,2.17,0.83,bequerelsPerKilogram,0,7.17,41.83,7.17,bequerelsPerKilogram,0.87,0.13
Quafisi_et_al_2024,TARB,101,single set of methods,10,12,1.5,1,bequerelsPerKilogram,12,11.33,82.67,11,bequerelsPerKilogram,0.79,0.21
Quafisi_et_al_2024,TARB,101,single set of methods,12,14,2.67,0.83,bequerelsPerKilogram,24.33,10,78,9.17,bequerelsPerKilogram,0.71,0.29
Quafisi_et_al_2024,TARB,101,single set of methods,14,16,4.06,2.19,bequerelsPerKilogram,11.06,23.17,131.59,21.38,bequerelsPerKilogram,0.86,0.14
Quafisi_et_al_2024,TARB,101,single set of methods,16,18,0.8,0.58,bequerelsPerKilogram,1.58,6.09,28.3,5.35,bequerelsPerKilogram,0.89,0.11
Quafisi_et_al_2024,TARB,101,single set of methods,18,20,1.29,0.83,bequerelsPerKilogram,13.62,8.09,50.38,8.04,bequerelsPerKilogram,0.86,0.14
Quafisi_et_al_2024,TARB,101,single set of methods,20,22,1.23,0.57,bequerelsPerKilogram,6.33,6.09,45.4,6.02,bequerelsPerKilogram,0.85,0.15
Quafisi_et_al_2024,TARB,101,single set of methods,22,24,2.16,0.63,bequerelsPerKilogram,1.68,6.16,39.09,6.12,bequerelsPerKilogram,0.89,0.11
Quafisi_et_al_2024,TARB,101,single set of methods,24,26,1.45,0.48,bequerelsPerKilogram,0,4.84,32.86,4.74,bequerelsPerKilogram,0.91,0.09
Quafisi_et_al_2024,TARB,101,single set of methods,26,28,0.04,0.05,bequerelsPerKilogram,0,0.22,0,0,bequerelsPerKilogram,0.93,0.07
Quafisi_et_al_2024,TARB,101,single set of methods,28,30,1.77,0.61,bequerelsPerKilogram,0,4.97,12.64,4.86,bequerelsPerKilogram,0.96,0.04
Quafisi_et_al_2024,TARB,101,single set of methods,30,32,1.7,0.46,bequerelsPerKilogram,0,4.64,21.98,4.12,bequerelsPerKilogram,0.92,0.08
