study_id,site_id,core_id,method_id,depth_min,depth_max,cs137_activity,cs137_activity_se,cs137_unit,excess_pb210_activity,excess_pb210_activity_se,total_pb210_activity,total_pb210_activity_se,pb210_unit,fraction_sand,fraction_silt
Quafisi_et_al_2024,TARB,101,single set of methods,32,34,1.96,0.41,bequerelsPerKilogram,3.34,4.37,24.4,3.8,bequerelsPerKilogram,0.9,0.1
Quafisi_et_al_2024,TARB,101,single set of methods,34,36,3.77,0.45,bequerelsPerKilogram,8.38,5.44,40.32,4.75,bequerelsPerKilogram,0.89,0.11
Quafisi_et_al_2024,TARB,101,single set of methods,36,38,4.22,0.71,bequerelsPerKilogram,0,7.48,36.46,6.34,bequerelsPerKilogram,0.82,0.18
Quafisi_et_al_2024,TARB,101,single set of methods,38,40,1.91,0.62,bequerelsPerKilogram,2.07,6.23,35.59,5.87,bequerelsPerKilogram,0.87,0.13
Quafisi_et_al_2024,TARB,101,single set of methods,40,42,2.32,0.57,bequerelsPerKilogram,4.53,5.62,32.39,5.27,bequerelsPerKilogram,0.87,0.13
Quafisi_et_al_2024,TARB,101,single set of methods,42,44,3.17,0.67,bequerelsPerKilogram,0,6.5,29.5,5.83,bequerelsPerKilogram,0.84,0.16
Quafisi_et_al_2024,TARB,101,single set of methods,44,46,3.33,0.67,bequerelsPerKilogram,0,5.67,31.67,5.67,bequerelsPerKilogram,0.88,0.12
Quafisi_et_al_2024,TARB,101,single set of methods,46,48,1.82,0.6,bequerelsPerKilogram,3.57,5.93,35.47,5.59,bequerelsPerKilogram,0.89,0.11
Quafisi_et_al_2024,TARB,101,single set of methods,48,50,1.49,0.47,bequerelsPerKilogram,6.42,4.72,35.21,4.69,bequerelsPerKilogram,0.89,0.11
Quafisi_et_al_2024,TARB,101,single set of methods,50,52,2.77,0.62,bequerelsPerKilogram,0,5.73,28.2,5.3,bequerelsPerKilogram,0.9,0.1
Quafisi_et_al_2024,TARB,101,single set of methods,52,54,1.9,0.59,bequerelsPerKilogram,0,5.08,20.62,5.01,bequerelsPerKilogram,0.9,0.1
Quafisi_et_al_2024,TARB,102,single set of methods,0,2,14.67,2,bequerelsPerKilogram,66.83,24.17,120.5,24,bequerelsPerKilogram,0.68,0.32
Quafisi_et_al_2024,TARB,102,single set of methods,2,4,12.83,1,bequerelsPerKilogram,52.33,19.33,111.5,19.17,bequerelsPerKilogram,0.64,0.36
Quafisi_et_al_2024,TARB,102,single set of methods,4,6,17.17,0.83,bequerelsPerKilogram,40.33,17.17,100.5,17.17,bequerelsPerKilogram,0.74,0.26
Quafisi_et_al_2024,TARB,102,single set of methods,6,8,18.83,1.33,bequerelsPerKilogram,36.67,20.67,108.67,19.67,bequerelsPerKilogram,0.55,0.45
Quafisi_et_al_2024,TARB,102,single set of methods,8,10,22,1.17,bequerelsPerKilogram,33,18.67,107,18.67,bequerelsPerKilogram,0.66,0.34
Quafisi_et_al_2024,TARB,102,single set of methods,10,12,23.5,1.17,bequerelsPerKilogram,26.17,20,108.83,19.17,bequerelsPerKilogram,0.73,0.27
Quafisi_et_al_2024,TARB,102,single set of methods,12,14,25.5,1.33,bequerelsPerKilogram,20.5,19.33,106.83,19.17,bequerelsPerKilogram,0.47,0.53
Quafisi_et_al_2024,TARB,102,single set of methods,14,16,16.83,1.17,bequerelsPerKilogram,34.5,20.33,113.83,19.83,bequerelsPerKilogram,0.34,0.66
Quafisi_et_al_2024,TARB,102,single set of methods,16,18,10,1,bequerelsPerKilogram,10.67,16.83,93.67,16.5,bequerelsPerKilogram,0.61,0.39
Quafisi_et_al_2024,TARB,102,single set of methods,18,20,11.33,1.17,bequerelsPerKilogram,0.5,16.17,81.5,15.83,bequerelsPerKilogram,0.54,0.46
Quafisi_et_al_2024,TARB,102,single set of methods,20,22,9.03,0.9,bequerelsPerKilogram,10.78,16.06,87.42,15.76,bequerelsPerKilogram,0.28,0.72
Quafisi_et_al_2024,TARB,102,single set of methods,22,24,2.67,0.92,bequerelsPerKilogram,13.96,16.47,89.6,16.32,bequerelsPerKilogram,0.36,0.64
Quafisi_et_al_2024,TARB,102,single set of methods,24,26,1.38,0.98,bequerelsPerKilogram,27.05,18.56,102.27,18.39,bequerelsPerKilogram,0.26,0.74
Quafisi_et_al_2024,TARB,102,single set of methods,26,28,0.3,1,bequerelsPerKilogram,20.48,17.18,88.6,16.59,bequerelsPerKilogram,0.18,0.82
Quafisi_et_al_2024,TARB,102,single set of methods,28,30,0.42,0.65,bequerelsPerKilogram,7.67,14.31,80.6,14.05,bequerelsPerKilogram,0.39,0.61
Quafisi_et_al_2024,TARB,102,single set of methods,30,32,1.33,0.9,bequerelsPerKilogram,28.24,18.39,101.48,17.9,bequerelsPerKilogram,0.31,0.69
Quafisi_et_al_2024,TARB,102,single set of methods,32,34,0,0,bequerelsPerKilogram,0,0,0,0,bequerelsPerKilogram,0.24,0.76
Quafisi_et_al_2024,TARB,102,single set of methods,34,36,0,0,bequerelsPerKilogram,0,0,0,0,bequerelsPerKilogram,0.35,0.65
Quafisi_et_al_2024,TARB,102,single set of methods,36,38,0,0,bequerelsPerKilogram,0,0,0,0,bequerelsPerKilogram,0.28,0.72
Quafisi_et_al_2024,TARB,102,single set of methods,38,40,0,0,bequerelsPerKilogram,0,0,0,0,bequerelsPerKilogram,0.36,0.64
Quafisi_et_al_2024,TARB,102,single set of methods,40,42,0,0,bequerelsPerKilogram,10.88,14.19,73.06,13.56,bequerelsPerKilogram,0.4,0.6
Quafisi_et_al_2024,TARB,102,single set of methods,42,44,0,0,bequerelsPerKilogram,0,0,0,0,bequerelsPerKilogram,0.29,0.71
Quafisi_et_al_2024,TARB,102,single set of methods,44,46,0.9,0.76,bequerelsPerKilogram,2.63,13.25,70.87,12.85,bequerelsPerKilogram,0.37,0.63
Quafisi_et_al_2024,TARB,102,single set of methods,46,48,0,0,bequerelsPerKilogram,0,0,0,0,bequerelsPerKilogram,0.45,0.55
Quafisi_et_al_2024,TARB,102,single set of methods,48,50,0,0,bequerelsPerKilogram,0,0,0,0,bequerelsPerKilogram,0.53,0.47
Quafisi_et_al_2024,TARB,102,single set of methods,50,52,0,0,bequerelsPerKilogram,0,0,0,0,bequerelsPerKilogram,0.45,0.55
Quafisi_et_al_2024,TARB,102,single set of methods,52,54,0,0,bequerelsPerKilogram,0,0,0,0,bequerelsPerKilogram,0.6,0.4
Quafisi_et_al_2024,TARB,102,single set of methods,54,56,0,0,bequerelsPerKilogram,0,0,0,0,bequerelsPerKilogram,0.71,0.29
Quafisi_et_al_2024,TARB,102,single set of methods,56,58,0,0,bequerelsPerKilogram,0,0,0,0,bequerelsPerKilogram,0.55,0.45
Quafisi_et_al_2024,TARB,102,single set of methods,58,60,0,0,bequerelsPerKilogram,0,0,0,0,bequerelsPerKilogram,0.72,0.28
Quafisi_et_al_2024,TARB,102,single set of methods,60,62,0,0,bequerelsPerKilogram,0,6.96,37.3,6.96,bequerelsPerKilogram,0.64,0.36
Quafisi_et_al_2024,TARB,103,single set of methods,0,2,11.7,1.63,bequerelsPerKilogram,106.77,19.27,170.83,18.95,bequerelsPerKilogram,0.9,0.1
Quafisi_et_al_2024,TARB,103,single set of methods,2,4,9.67,1.83,bequerelsPerKilogram,56,16.67,111.5,16.5,bequerelsPerKilogram,0.94,0.06
Quafisi_et_al_2024,TARB,103,single set of methods,4,6,11.67,1.5,bequerelsPerKilogram,77.17,16.67,149.67,16.5,bequerelsPerKilogram,0.71,0.29
Quafisi_et_al_2024,TARB,103,single set of methods,6,8,13.67,1.67,bequerelsPerKilogram,92.5,18.5,162.5,18.17,bequerelsPerKilogram,0.63,0.37
Quafisi_et_al_2024,TARB,103,single set of methods,8,10,15.67,1.33,bequerelsPerKilogram,63.83,13.83,129,13.83,bequerelsPerKilogram,0.9,0.1
Quafisi_et_al_2024,TARB,103,single set of methods,10,12,12.67,1.17,bequerelsPerKilogram,30.33,12,90.67,10.33,bequerelsPerKilogram,0.71,0.29
Quafisi_et_al_2024,TARB,103,single set of methods,12,14,4.26,0.84,bequerelsPerKilogram,3.42,8.67,62.1,7.99,bequerelsPerKilogram,0.7,0.3
Quafisi_et_al_2024,TARB,103,single set of methods,14,16,3.04,0.65,bequerelsPerKilogram,1.63,7.39,56.13,6.56,bequerelsPerKilogram,0.64,0.36
Quafisi_et_al_2024,TARB,103,single set of methods,16,18,0.99,0.59,bequerelsPerKilogram,0,5.67,38.17,5.34,bequerelsPerKilogram,0.79,0.21
Quafisi_et_al_2024,TARB,103,single set of methods,18,20,0.66,0.54,bequerelsPerKilogram,5.44,4.83,28.87,4.67,bequerelsPerKilogram,0.86,0.14
Quafisi_et_al_2024,TARB,103,single set of methods,20,22,0.98,0.41,bequerelsPerKilogram,0.3,3.95,31.32,3.93,bequerelsPerKilogram,0.74,0.26
Quafisi_et_al_2024,TARB,103,single set of methods,22,24,0.7,0.63,bequerelsPerKilogram,0,5.63,20.71,5.04,bequerelsPerKilogram,0.77,0.23
Quafisi_et_al_2024,TARB,103,single set of methods,24,26,0.98,0.42,bequerelsPerKilogram,0,4.18,31.68,4.07,bequerelsPerKilogram,0.81,0.19
Quafisi_et_al_2024,TARB,103,single set of methods,26,28,0,0,bequerelsPerKilogram,1.6,4.75,35.69,4.73,bequerelsPerKilogram,0.83,0.17
Quafisi_et_al_2024,TARB,103,single set of methods,28,30,0,0,bequerelsPerKilogram,8.91,7.22,44.92,6.97,bequerelsPerKilogram,0.85,0.15
Quafisi_et_al_2024,TARB,103,single set of methods,30,32,0.59,0.7,bequerelsPerKilogram,12.18,7.79,50.34,6.64,bequerelsPerKilogram,0.84,0.16
Quafisi_et_al_2024,TARB,103,single set of methods,32,34,0,0,bequerelsPerKilogram,0,0,0,0,bequerelsPerKilogram,0.89,0.11
Quafisi_et_al_2024,TARB,103,single set of methods,34,36,0,0,bequerelsPerKilogram,0,0,0,0,bequerelsPerKilogram,0.94,0.06
Quafisi_et_al_2024,TARB,103,single set of methods,36,38,0,0,bequerelsPerKilogram,0,0,0,0,bequerelsPerKilogram,0.94,0.06
Quafisi_et_al_2024,TARB,103,single set of methods,38,40,0,0,bequerelsPerKilogram,0,3.73,20.17,3.72,bequerelsPerKilogram,0.97,0.03
Quafisi_et_al_2024,MC,201,single set of methods,0,2,2.33,0.83,bequerelsPerKilogram,38.17,13,69.17,12.83,bequerelsPerKilogram,0.77,0.23
Quafisi_et_al_2024,MC,201,single set of methods,2,4,0.85,0.74,bequerelsPerKilogram,24.65,9.79,48.59,9.75,bequerelsPerKilogram,0.79,0.21
Quafisi_et_al_2024,MC,201,single set of methods,4,6,0,0,bequerelsPerKilogram,22.97,10.75,51.59,10.32,bequerelsPerKilogram,0.86,0.14
Quafisi_et_al_2024,MC,201,single set of methods,6,8,1.86,0.61,bequerelsPerKilogram,13.44,7.98,38.28,7.84,bequerelsPerKilogram,0.89,0.11
Quafisi_et_al_2024,MC,201,single set of methods,8,10,0.99,0.72,bequerelsPerKilogram,14.81,8.39,36.64,8.37,bequerelsPerKilogram,0.93,0.07
Quafisi_et_al_2024,MC,201,single set of methods,10,12,2.36,0.62,bequerelsPerKilogram,35.15,11.94,65.54,11.64,bequerelsPerKilogram,0.78,0.22
Quafisi_et_al_2024,MC,201,single set of methods,12,14,2.44,0.66,bequerelsPerKilogram,14.13,9.14,43.5,9,bequerelsPerKilogram,0.77,0.23
Quafisi_et_al_2024,MC,201,single set of methods,14,16,3.2,0.73,bequerelsPerKilogram,26.52,10.81,55.22,10.77,bequerelsPerKilogram,0.81,0.19
Quafisi_et_al_2024,MC,201,single set of methods,16,18,0.7,0.51,bequerelsPerKilogram,10.7,7.04,32.55,6.73,bequerelsPerKilogram,0.85,0.15
Quafisi_et_al_2024,MC,201,single set of methods,18,20,0.21,0.54,bequerelsPerKilogram,1.06,5.04,13.01,4.89,bequerelsPerKilogram,0.96,0.04
Quafisi_et_al_2024,MC,201,single set of methods,20,22,1.61,0.58,bequerelsPerKilogram,11.25,7.4,34.08,7.3,bequerelsPerKilogram,0.89,0.11
Quafisi_et_al_2024,MC,201,single set of methods,22,24,1.47,0.65,bequerelsPerKilogram,16.17,9.15,45.97,9.13,bequerelsPerKilogram,0.86,0.14
Quafisi_et_al_2024,MC,201,single set of methods,24,26,2.01,0.7,bequerelsPerKilogram,12.5,7.96,32.43,7.86,bequerelsPerKilogram,0.9,0.1
Quafisi_et_al_2024,MC,201,single set of methods,26,28,0.38,0.54,bequerelsPerKilogram,13.32,7.19,32.73,6.84,bequerelsPerKilogram,0.91,0.09
Quafisi_et_al_2024,MC,201,single set of methods,28,30,2.4,0.48,bequerelsPerKilogram,12.79,6.51,32.33,6.48,bequerelsPerKilogram,0.94,0.06
Quafisi_et_al_2024,MC,201,single set of methods,30,32,3.66,0.65,bequerelsPerKilogram,18.55,10.2,54.27,10.2,bequerelsPerKilogram,0.65,0.35
Quafisi_et_al_2024,MC,201,single set of methods,32,34,2.86,0.74,bequerelsPerKilogram,31.76,24.93,58.86,11.2,bequerelsPerKilogram,0.76,0.24
Quafisi_et_al_2024,MC,201,single set of methods,34,36,5.34,0.38,bequerelsPerKilogram,30.34,11.71,71.35,11.7,bequerelsPerKilogram,0.69,0.31
Quafisi_et_al_2024,MC,201,single set of methods,36,38,3.68,0.7,bequerelsPerKilogram,6.61,8.97,38,8.49,bequerelsPerKilogram,0.83,0.17
Quafisi_et_al_2024,MC,201,single set of methods,38,40,3.04,0.69,bequerelsPerKilogram,19.66,10.66,50.41,10.55,bequerelsPerKilogram,0.85,0.15
Quafisi_et_al_2024,MC,201,single set of methods,40,42,3.08,0.64,bequerelsPerKilogram,15.22,8.58,42.67,8.56,bequerelsPerKilogram,0.86,0.14
Quafisi_et_al_2024,MC,201,single set of methods,42,44,1.59,0.61,bequerelsPerKilogram,0,6.02,20.39,5.99,bequerelsPerKilogram,0.85,0.15
Quafisi_et_al_2024,MC,201,single set of methods,44,46,0.52,0.46,bequerelsPerKilogram,4.43,5.78,26.56,5.61,bequerelsPerKilogram,0.88,0.12
Quafisi_et_al_2024,MC,201,single set of methods,46,48,1.75,0.65,bequerelsPerKilogram,18.93,8.49,39.63,8.3,bequerelsPerKilogram,0.9,0.1
Quafisi_et_al_2024,MC,202,single set of methods,0,2,13.33,1.17,bequerelsPerKilogram,95.67,25.17,149.67,25.17,bequerelsPerKilogram,0.87,0.13
Quafisi_et_al_2024,MC,202,single set of methods,2,4,22,1.17,bequerelsPerKilogram,73.5,23,132.83,22.67,bequerelsPerKilogram,0.55,0.45
Quafisi_et_al_2024,MC,202,single set of methods,4,6,24.5,1.17,bequerelsPerKilogram,53.83,19.17,109.83,19,bequerelsPerKilogram,0.7,0.3
Quafisi_et_al_2024,MC,202,single set of methods,6,8,19.17,1.17,bequerelsPerKilogram,40.33,17.33,96.67,17.33,bequerelsPerKilogram,0.69,0.31
Quafisi_et_al_2024,MC,202,single set of methods,8,10,17.4,0.94,bequerelsPerKilogram,30.22,15.56,87.74,15.51,bequerelsPerKilogram,0.6,0.4
Quafisi_et_al_2024,MC,202,single set of methods,10,12,12.35,1.06,bequerelsPerKilogram,21.31,15.11,75.96,14.56,bequerelsPerKilogram,0.45,0.55
Quafisi_et_al_2024,MC,202,single set of methods,12,14,7.43,0.68,bequerelsPerKilogram,25.49,14.52,84.56,14.41,bequerelsPerKilogram,0.54,0.46
Quafisi_et_al_2024,MC,202,single set of methods,14,16,5.27,0.78,bequerelsPerKilogram,30.15,15.59,88.57,15.51,bequerelsPerKilogram,0.44,0.56
Quafisi_et_al_2024,MC,202,single set of methods,16,18,2.18,0.83,bequerelsPerKilogram,4.49,12.76,64.47,12.54,bequerelsPerKilogram,0.52,0.48
Quafisi_et_al_2024,MC,202,single set of methods,18,20,1.05,0.88,bequerelsPerKilogram,10.36,13.91,70.79,13.35,bequerelsPerKilogram,0.47,0.53
Quafisi_et_al_2024,MC,202,single set of methods,20,22,2.09,0.88,bequerelsPerKilogram,4.96,14.82,68.12,14.23,bequerelsPerKilogram,0.45,0.55
Quafisi_et_al_2024,MC,202,single set of methods,22,24,0,0,bequerelsPerKilogram,2.33,13.74,67.32,13.21,bequerelsPerKilogram,0.42,0.58
Quafisi_et_al_2024,MC,202,single set of methods,24,26,0.26,0.81,bequerelsPerKilogram,4.59,14.36,71.45,13.64,bequerelsPerKilogram,0.44,0.56
Quafisi_et_al_2024,MC,202,single set of methods,26,28,0,0,bequerelsPerKilogram,9.55,12.6,72.44,12.57,bequerelsPerKilogram,0.59,0.41
Quafisi_et_al_2024,MC,202,single set of methods,28,30,0.78,0.83,bequerelsPerKilogram,4.14,12.83,64.47,12.57,bequerelsPerKilogram,0.55,0.45
Quafisi_et_al_2024,MC,202,single set of methods,30,32,0.27,0.83,bequerelsPerKilogram,0,11.19,53.17,11.16,bequerelsPerKilogram,0.61,0.39
Quafisi_et_al_2024,MC,202,single set of methods,32,34,0.35,0.33,bequerelsPerKilogram,11.31,10.98,66.35,10.91,bequerelsPerKilogram,0.58,0.42
Quafisi_et_al_2024,MC,202,single set of methods,34,36,0,0,bequerelsPerKilogram,23.9,32.46,59.32,10.59,bequerelsPerKilogram,0.65,0.35
Quafisi_et_al_2024,MC,203,single set of methods,0,2,17,1.67,bequerelsPerKilogram,90.17,17.33,151.67,17,bequerelsPerKilogram,NA,NA
Quafisi_et_al_2024,MC,203,single set of methods,4,6,21.67,1.33,bequerelsPerKilogram,55,12.67,118.5,12.67,bequerelsPerKilogram,0.6,0.4
Quafisi_et_al_2024,MC,203,single set of methods,6,8,22.83,1.17,bequerelsPerKilogram,43.67,11.17,104.33,11.17,bequerelsPerKilogram,0.69,0.31
Quafisi_et_al_2024,MC,203,single set of methods,8,10,18.5,1.17,bequerelsPerKilogram,30.83,10.83,94.17,10.83,bequerelsPerKilogram,0.7,0.3
Quafisi_et_al_2024,MC,203,single set of methods,10,12,18,1.17,bequerelsPerKilogram,37.67,11.17,103,11,bequerelsPerKilogram,0.47,0.53
Quafisi_et_al_2024,MC,203,single set of methods,12,14,14.33,1,bequerelsPerKilogram,19.5,9.5,86.67,9.33,bequerelsPerKilogram,0.55,0.45
Quafisi_et_al_2024,MC,203,single set of methods,14,16,11,1,bequerelsPerKilogram,5.33,8.83,73.17,8.83,bequerelsPerKilogram,0.4,0.6
Quafisi_et_al_2024,MC,203,single set of methods,16,18,6.33,1,bequerelsPerKilogram,3.33,10,73.83,9.17,bequerelsPerKilogram,0.58,0.42
Quafisi_et_al_2024,MC,203,single set of methods,18,20,3.11,0.77,bequerelsPerKilogram,0,8.17,58.71,7.44,bequerelsPerKilogram,0.5,0.5
Quafisi_et_al_2024,MC,203,single set of methods,20,22,1.45,0.76,bequerelsPerKilogram,0,10.39,73.92,8.49,bequerelsPerKilogram,0.36,0.64
Quafisi_et_al_2024,MC,203,single set of methods,22,24,2.2,0.71,bequerelsPerKilogram,0,7.3,56.88,7.12,bequerelsPerKilogram,0.4,0.6
Quafisi_et_al_2024,MC,203,single set of methods,24,26,0,0,bequerelsPerKilogram,0,10,73.43,8.21,bequerelsPerKilogram,0.38,0.62
Quafisi_et_al_2024,MC,203,single set of methods,26,28,0,0,bequerelsPerKilogram,0,7.74,13.74,7.7,bequerelsPerKilogram,0.35,0.65
Quafisi_et_al_2024,MC,203,single set of methods,28,30,0.52,0.75,bequerelsPerKilogram,1.86,8.55,67.71,7.89,bequerelsPerKilogram,0.53,0.47
Quafisi_et_al_2024,MC,203,single set of methods,30,32,0.15,0.4,bequerelsPerKilogram,0,5.26,52.75,5.17,bequerelsPerKilogram,0.56,0.44
Quafisi_et_al_2024,MC,203,single set of methods,32,34,0.27,0.6,bequerelsPerKilogram,0,5.36,31.51,5.33,bequerelsPerKilogram,0.69,0.31
Quafisi_et_al_2024,MC,203,single set of methods,34,36,0.74,0.66,bequerelsPerKilogram,0,6.45,36.84,5.88,bequerelsPerKilogram,0.71,0.29
Quafisi_et_al_2024,MC,203,single set of methods,36,38,1.1,0.6,bequerelsPerKilogram,2.81,6.21,42.79,5.7,bequerelsPerKilogram,0.73,0.27
Quafisi_et_al_2024,MC,203,single set of methods,38,40,0.97,0.7,bequerelsPerKilogram,0.2,6.89,50.23,6.69,bequerelsPerKilogram,0.64,0.36
Quafisi_et_al_2024,MC,203,single set of methods,40,42,0,0,bequerelsPerKilogram,0,0,0,0,bequerelsPerKilogram,0.59,0.41
Quafisi_et_al_2024,MC,203,single set of methods,42,44,0,0,bequerelsPerKilogram,0,0,0,0,bequerelsPerKilogram,0.59,0.41
Quafisi_et_al_2024,MC,203,single set of methods,44,46,0,0,bequerelsPerKilogram,0,0,0,0,bequerelsPerKilogram,0.56,0.44
Quafisi_et_al_2024,MC,203,single set of methods,46,48,0,0,bequerelsPerKilogram,0,0,0,0,bequerelsPerKilogram,0.65,0.35
Quafisi_et_al_2024,MC,203,single set of methods,48,50,0,0,bequerelsPerKilogram,0,0,0,0,bequerelsPerKilogram,0.62,0.38
Quafisi_et_al_2024,MC,203,single set of methods,50,52,0,0,bequerelsPerKilogram,0,0,0,0,bequerelsPerKilogram,0.55,0.45
Quafisi_et_al_2024,MC,203,single set of methods,52,54,0,0,bequerelsPerKilogram,0,0,0,0,bequerelsPerKilogram,0.55,0.45
Quafisi_et_al_2024,MC,203,single set of methods,54,56,0,0,bequerelsPerKilogram,0,0,0,0,bequerelsPerKilogram,0.63,0.37
Quafisi_et_al_2024,MC,203,single set of methods,56,58,0,0,bequerelsPerKilogram,0,0,0,0,bequerelsPerKilogram,0.43,0.57
Quafisi_et_al_2024,MC,203,single set of methods,58,60,0,0,bequerelsPerKilogram,0,0,0,0,bequerelsPerKilogram,0.49,0.51
Quafisi_et_al_2024,MC,203,single set of methods,60,62,0,0,bequerelsPerKilogram,0,0,0,0,bequerelsPerKilogram,0.51,0.49
Quafisi_et_al_2024,MC,203,single set of methods,62,64,0,0,bequerelsPerKilogram,3.87,8.47,61.8,8.12,bequerelsPerKilogram,0.44,0.56
Quafisi_et_al_2024,MC,203,single set of methods,64,66,1.99,0.79,bequerelsPerKilogram,0,8.21,52.54,7.59,bequerelsPerKilogram,0.53,0.47
Quafisi_et_al_2024,MC,203,single set of methods,66,68,0,0,bequerelsPerKilogram,12.52,7.05,62.92,6.78,bequerelsPerKilogram,0.7,0.3
Quafisi_et_al_2024,MC,203,single set of methods,68,70,0,0,bequerelsPerKilogram,0,0,0,0,bequerelsPerKilogram,0.59,0.41
Quafisi_et_al_2024,MC,203,single set of methods,70,72,0,0,bequerelsPerKilogram,0,0,0,0,bequerelsPerKilogram,0.58,0.42
Quafisi_et_al_2024,MC,203,single set of methods,72,74,0,0,bequerelsPerKilogram,0,0,0,0,bequerelsPerKilogram,0.58,0.42
Quafisi_et_al_2024,MC,203,single set of methods,74,76,0,0,bequerelsPerKilogram,0,0,0,0,bequerelsPerKilogram,0.54,0.46
Quafisi_et_al_2024,MC,203,single set of methods,76,78,0,0,bequerelsPerKilogram,0,0,0,0,bequerelsPerKilogram,0.63,0.37
Quafisi_et_al_2024,MC,203,single set of methods,78,80,0,0,bequerelsPerKilogram,0,0,0,0,bequerelsPerKilogram,0.6,0.4
Quafisi_et_al_2024,MC,203,single set of methods,80,82,0,0,bequerelsPerKilogram,0,0,0,0,bequerelsPerKilogram,0.59,0.41
Quafisi_et_al_2024,MC,203,single set of methods,82,84,0,0,bequerelsPerKilogram,0,0,0,0,bequerelsPerKilogram,0.42,0.58
Quafisi_et_al_2024,MC,203,single set of methods,84,86,0.36,0.67,bequerelsPerKilogram,0,6.79,47.32,6.44,bequerelsPerKilogram,0.47,0.53
Quafisi_et_al_2024,MC,203,single set of methods,86,88,0.25,0.79,bequerelsPerKilogram,0,8.23,52.76,7.59,bequerelsPerKilogram,0.48,0.52
Quafisi_et_al_2024,MC,203,single set of methods,88,90,0,0,bequerelsPerKilogram,7.04,7.38,64.74,7.29,bequerelsPerKilogram,0.47,0.53
Quafisi_et_al_2024,MC,203,single set of methods,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA,NA,NA,bequerelsPerKilogram,NA,NA
Quafisi_et_al_2024,264,301,single set of methods,0,2,4.83,1,bequerelsPerKilogram,54,12,119.83,12,bequerelsPerKilogram,NA,NA
Quafisi_et_al_2024,264,301,single set of methods,4,6,2.83,1,bequerelsPerKilogram,41.17,11.83,109,11.17,bequerelsPerKilogram,0.69,0.31
Quafisi_et_al_2024,264,301,single set of methods,6,8,5.33,1,bequerelsPerKilogram,43.5,11.33,108.5,10.83,bequerelsPerKilogram,0.73,0.27
Quafisi_et_al_2024,264,301,single set of methods,8,10,5.17,1,bequerelsPerKilogram,41.83,10.5,107.83,10.5,bequerelsPerKilogram,0.67,0.33
Quafisi_et_al_2024,264,301,single set of methods,10,12,0,0,bequerelsPerKilogram,0,0,0,0,bequerelsPerKilogram,0.61,0.39
