Site,Status,ID,Date,Lat,Lon,Depth_mid,DBD,210Pb,210Pb_e,226Ra,226Ra_e,210Pbex,210Pbex_e,137Cs,137Cs_e,7Be,7Be_e,wtC,wtN,Age,Age_e,VAR,MAR,CAR,Year
Narragansett Bay,Salt marsh,MCA,9/9/2016,41.6906,-71.45162,0.5,0.0769,0.2281,0.0582,0.8932,0.2199,11.2914,0.7425,0,0,13.7111,1.6769,27.47,1.88,0.9,0.9,10.9,842,231,2015.9
Narragansett Bay,Salt marsh,MCA,9/9/2016,41.6906,-71.45162,1.5,0.107,0.2937,0.0755,0.6589,0.2603,10.2921,0.8668,0,0,0,0,   ,   ,2.1,0.9,8.4,894,,2014.7
Narragansett Bay,Salt marsh,MCA,9/9/2016,41.6906,-71.45162,2.5,0.101,0.3502,0.0462,0.6215,0.1462,12.7687,0.6357,0,0,8.2231,1.2869,28.07,1.65,3.6,1,6.8,691,194,2013.2
Narragansett Bay,Salt marsh,MCA,9/9/2016,41.6906,-71.45162,3.5,0.203,0.4764,0.052,0,0,11.7825,0.6127,0,0,0,0,   ,   ,6.5,1.1,3.4,700,,2010.3
Narragansett Bay,Salt marsh,MCA,9/9/2016,41.6906,-71.45162,4.5,0.1624,0.309,0.0406,0.3034,0.085,9.053,0.3893,0,0,0,0,27.93,1.71,8.4,1.1,5.2,845,236,2008.4
Narragansett Bay,Salt marsh,MCA,9/9/2016,41.6906,-71.45162,5.5,0.1351,0.2792,0.0521,0.5274,0.1164,9.5034,0.5354,0,0,0,0,   ,   ,10.2,1.2,5.6,760,,2006.6
Narragansett Bay,Salt marsh,MCA,9/9/2016,41.6906,-71.45162,6.5,0.1815,0.2816,0.0501,0,0,7.6699,0.3843,0,0,0,0,26.84,1.72,12.2,1.2,4.9,887,238,2004.6
Narragansett Bay,Salt marsh,MCA,9/9/2016,41.6906,-71.45162,7.5,0.1581,0.32,0.0522,0.5013,0.1183,8.7805,0.4987,0,0,0,0,   ,   ,14.4,1.3,4.6,726,,2002.4
Narragansett Bay,Salt marsh,MCA,9/9/2016,41.6906,-71.45162,8.5,0.1627,0.1991,0.0749,0,0,6.4373,0.4822,0,0,0,0,25.43,   ,16.1,1.4,5.7,931,237,2000.6
Narragansett Bay,Salt marsh,MCA,9/9/2016,41.6906,-71.45162,9.5,0.1852,0.2454,0.0634,0.6351,0.1314,5.9129,0.4355,0,0,0,0,   ,   ,18.1,1.4,5.2,957,,1998.7
Narragansett Bay,Salt marsh,MCA,9/9/2016,41.6906,-71.45162,10.5,0.2005,0.2299,0.0643,0.4005,0.0894,5.2426,0.3737,0,0,0,0,30.19,1.67,20.1,1.5,5.1,1016,307,1996.7
Narragansett Bay,Salt marsh,MCA,9/9/2016,41.6906,-71.45162,11.5,0.1526,0.1796,0.0702,0,0,5.7814,0.4059,0,0,0,0,   ,   ,21.8,1.6,5.7,869,,1995
Narragansett Bay,Salt marsh,MCA,9/9/2016,41.6906,-71.45162,12.5,0.1426,0.245,0.0715,0,0,7.8551,0.5616,0,0,0,0,29.69,1.78,24.2,1.7,4.2,600,178,1992.6
Narragansett Bay,Salt marsh,MCA,9/9/2016,41.6906,-71.45162,13.5,0.1333,0.1539,0.0939,0,0,6.0317,0.5664,0,0,0,0,   ,   ,26,1.8,5.5,732,,1990.8
Narragansett Bay,Salt marsh,MCA,9/9/2016,41.6906,-71.45162,14.5,0.1694,0.2998,0.0551,0.4097,0.1317,8.3061,0.498,0,0,0,0,30.69,1.59,29.5,2,2.9,490,150,1987.3
Narragansett Bay,Salt marsh,MCA,9/9/2016,41.6906,-71.45162,15.5,0.1524,0.2032,0.0599,0.4638,0.0942,6.0309,0.4003,0,0,0,0,   ,   ,31.9,2.1,4,615,,1984.8
Narragansett Bay,Salt marsh,MCA,9/9/2016,41.6906,-71.45162,16.5,0.1744,0.212,0.0491,0,0,5.9984,0.2945,0,0,0,0,27.03,1.81,35,2.3,3.2,567,153,1981.7
Narragansett Bay,Salt marsh,MCA,9/9/2016,41.6906,-71.45162,17.5,0.1464,0.1554,0.0737,0.6567,0.102,4.2016,0.3723,0,0,0,0,   ,   ,37,2.4,5.1,748,,1979.8
Narragansett Bay,Salt marsh,MCA,9/9/2016,41.6906,-71.45162,18.5,0.1516,0.1108,0.1008,0,0,3.8345,0.3865,0,0,0,0,27.2,1.6,39,2.6,5.1,771,210,1977.8
Narragansett Bay,Salt marsh,MCA,9/9/2016,41.6906,-71.45162,19.5,0.1895,0.114,0.0862,0.4379,0.0499,2.5388,0.2614,0.3174,0.0577,0,0,   ,   ,40.7,2.7,5.8,1099,,1976.1
Narragansett Bay,Salt marsh,MCA,9/9/2016,41.6906,-71.45162,20.5,0.1742,0.1006,0.1219,0.6561,0.066,1.9667,0.3265,0.8277,0.08,0,0,27.78,1.35,42,2.8,7.8,1354,376,1974.8
Narragansett Bay,Salt marsh,MCA,9/9/2016,41.6906,-71.45162,21.5,0.1569,0.1231,0.0895,0.6151,0.1012,2.9597,0.3356,1.0942,0.1006,0,0,   ,   ,43.8,3,5.5,857,,1973
Narragansett Bay,Salt marsh,MCA,9/9/2016,41.6906,-71.45162,22.5,0.1832,0.1306,0.0934,0.6904,0.1036,2.5974,0.3241,1.1942,0.0915,0,0,27.02,1.41,45.8,3.2,5,920,249,1971
Narragansett Bay,Salt marsh,MCA,9/9/2016,41.6906,-71.45162,23.5,0.1762,0.0995,0.1479,0.4899,0.1398,2.4219,0.4528,0.7342,0.1074,0,0,   ,   ,47.7,3.4,5.3,929,,1969.1
Narragansett Bay,Salt marsh,MCA,9/9/2016,41.6906,-71.45162,24.5,0.1489,0.1017,0.1143,0.7133,0.1212,2.5149,0.3884,0.635,0.0883,0,0,28.85,1.26,49.4,3.6,5.7,845,244,1967.3
