study_id,site_id,core_id,depth_min,depth_max,dry_bulk_density_measured,dry_bulk_density_modeled,fraction_organic_matter,fraction_carbon_measured,fraction_carbon_modeled,cs137_activity,cs137_activity_se,total_pb210_activity,total_pb210_activity_se,pb214_activity,pb214_activity_se,excess_pb210_activity,excess_pb210_activity_se
Peck_et_al_2020,Alsea,ABOR1309_01PU,0,2,NA,0.31,0.22,NA,0.063,0.52,0.08,17.96,0.45,1.17,0.11,16.79,0.56
Peck_et_al_2020,Alsea,ABOR1309_01PU,2,4,NA,0.35,0.37,NA,0.105,0.63,0.07,13.15,0.34,1.26,0.09,11.88,0.43
Peck_et_al_2020,Alsea,ABOR1309_01PU,4,6,NA,0.37,0.31,NA,0.087,0.75,0.07,10.4,0.3,1.09,0.08,9.3,0.38
Peck_et_al_2020,Alsea,ABOR1309_01PU,6,8,NA,0.37,0.31,NA,0.089,1.36,0.08,9.37,0.28,1.11,0.08,8.27,0.36
Peck_et_al_2020,Alsea,ABOR1309_01PU,8,10,NA,0.39,0.3,NA,0.086,2.87,0.11,6.98,0.25,1.18,0.09,5.8,0.33
Peck_et_al_2020,Alsea,ABOR1309_01PU,10,12,NA,0.38,0.26,NA,0.075,6.25,0.15,4.48,0.2,1.03,0.08,3.44,0.28
Peck_et_al_2020,Alsea,ABOR1309_01PU,12,14,NA,0.38,0.33,NA,0.095,5.87,0.16,3.17,0.2,0.93,0.09,2.24,0.29
Peck_et_al_2020,Alsea,ABOR1309_01PU,14,16,NA,0.41,0.34,NA,0.096,0.82,0.07,2.12,0.16,0.93,0.07,1.18,0.24
Peck_et_al_2020,Alsea,ABOR1309_01PU,16,18,NA,0.38,0.36,NA,0.103,0.39,0.06,2.23,0.17,1.05,0.08,1.18,0.25
Peck_et_al_2020,Alsea,ABOR1309_01PU,18,20,NA,0.39,0.38,NA,0.109,0.26,0.06,2.38,0.21,0.97,0.1,1.41,0.31
Peck_et_al_2020,Alsea,ABOR1309_01PU,20,22,NA,0.46,0.34,NA,0.098,0.12,0.04,2.05,0.13,0.92,0.06,1.13,0.18
Peck_et_al_2020,Alsea,ABOR1309_01PU,22,24,NA,0.51,0.33,NA,0.095,-0.03,0.03,1.94,0.19,1.1,0.09,0.84,0.28
Peck_et_al_2020,Alsea,ABOR1309_01PU,24,26,NA,0.51,0.31,NA,0.087,-0.03,0.02,1.35,0.16,1.08,0.08,0.28,0.24
Peck_et_al_2020,Alsea,ABOR1309_01PU,26,28,NA,0.71,0.32,NA,0.091,-0.03,0.02,1.24,0.16,0.95,0.09,0.29,0.25
Peck_et_al_2020,Alsea,ABOR1309_01PU,28,30,NA,0.74,0.32,NA,0.09,-0.02,0.02,1.23,0.14,0.88,0.07,0.35,0.21
Peck_et_al_2020,Alsea,ABOR1309_01PU,30,32,NA,0.51,0.35,NA,0.099,-0.03,0.02,1.34,0.13,0.89,0.07,0.45,0.2
Peck_et_al_2020,Alsea,ABOR1309_01PU,32,34,NA,0.48,0.33,NA,0.094,-0.02,0.02,1.25,0.15,1.05,0.08,0.2,0.23
Peck_et_al_2020,Alsea,ABOR1309_01PU,34,36,NA,0.49,0.31,NA,0.089,-0.02,0.02,1.18,0.15,0.99,0.08,0.19,0.23
Peck_et_al_2020,Alsea,ABOR1309_01PU,36,38,NA,0.55,0.28,NA,0.08,-0.02,0.02,1.05,0.14,1.08,0.07,0,0.21
Peck_et_al_2020,Alsea,ABOR1309_01PU,38,40,NA,0.59,0.23,NA,0.066,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Alsea,ABOR1309_01PU,40,42,NA,0.61,0.21,NA,0.06,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Alsea,ABOR1309_01PU,42,44,NA,0.62,0.23,NA,0.064,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Alsea,ABOR1309_01PU,44,46,NA,0.67,0.22,NA,0.063,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Alsea,ABOR1309_01PU,46,48,NA,1.11,0.18,NA,0.051,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Alsea,ABOR1309_01PU,48,50,NA,1.25,0.05,NA,0.015,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Alsea,ABOR1309_01PU,50,52,NA,1.01,0.12,NA,0.034,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Alsea,ABOR1309_01PU,52,54,NA,0.76,0.19,NA,0.054,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Alsea,ABOR1309_01PU,54,56,NA,0.72,0.23,NA,0.064,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Alsea,ABOR1309_01PU,56,58,NA,0.81,0.23,NA,0.066,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Alsea,ABOR1309_01PU,58,60,NA,0.69,0.25,NA,0.07,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Alsea,ABOR1309_01PU,60,62,NA,0.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Alsea,ABOR1309_01PU,62,64,NA,0.66,0.2,NA,0.056,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Alsea,ABOR1309_01PU,64,66,NA,0.69,0.17,NA,0.048,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Alsea,ABOR1309_01PU,66,68,NA,0.63,0.16,NA,0.045,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Alsea,ABOR1309_01PU,68,70,NA,0.64,0.15,NA,0.042,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Alsea,ABOR1309_01PU,70,72,NA,0.97,0.15,NA,0.042,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Alsea,ABOR1309_01PU,72,74,NA,0.69,0.15,NA,0.043,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Alsea,ABOR1309_01PU,74,76,NA,0.52,0.14,NA,0.039,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Alsea,ABOR1309_01PU,76,78,NA,0.5,0.12,NA,0.034,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Alsea,ABOR1309_01PU,78,80,NA,0.5,0.12,NA,0.033,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Alsea,ABOR1309_01PU,80,81,NA,0.46,0.1,NA,0.027,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Alsea,ABOR1309_01PU,81,82,NA,0.41,0.04,NA,0.011,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Alsea,ABOR1309_01PU,82,83,NA,0.39,0.04,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Alsea,ABOR1309_01PU,83,84,NA,0.46,0.04,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Alsea,ABOR1309_01PU,84,85,NA,0.61,0.03,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Alsea,ABOR1309_01PU,85,86,NA,0.89,0.03,NA,0.009,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Alsea,ABOR1309_01PU,86,87,NA,1.1,0.03,NA,0.009,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Alsea,ABOR1309_01PU,87,88,NA,1.15,0.03,NA,0.008,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Alsea,ABOR1309_01PU,88,89,NA,1.23,0.04,NA,0.011,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Alsea,ABOR1309_01PU,89,90,NA,1.29,0.09,NA,0.025,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Alsea,ABOR1309_02PU,0,2,NA,0.28,0.36,NA,0.102,0.63,0.08,11.71,0.54,2.14,0.16,9.57,0.7
Peck_et_al_2020,Alsea,ABOR1309_02PU,2,4,NA,0.29,0.35,NA,0.098,0.62,0.07,7.52,0.32,1.61,0.14,5.91,0.46
Peck_et_al_2020,Alsea,ABOR1309_02PU,4,6,NA,0.28,0.37,NA,0.105,0.88,0.08,8.03,0.3,1.95,0.14,6.08,0.44
Peck_et_al_2020,Alsea,ABOR1309_02PU,6,8,NA,0.36,0.31,NA,0.087,1.71,0.1,4.85,0.24,1.64,0.13,3.21,0.37
Peck_et_al_2020,Alsea,ABOR1309_02PU,8,10,NA,0.39,0.23,NA,0.064,4.48,0.12,3.27,0.17,2.23,0.12,1.04,0.29
Peck_et_al_2020,Alsea,ABOR1309_02PU,10,12,NA,0.38,0.28,NA,0.079,1.33,0.08,3.26,0.18,1.76,0.12,1.49,0.3
Peck_et_al_2020,Alsea,ABOR1309_02PU,12,14,NA,0.37,0.29,NA,0.084,0.26,0.05,2.22,0.16,1.85,0.12,0.37,0.28
Peck_et_al_2020,Alsea,ABOR1309_02PU,14,16,NA,0.36,0.28,NA,0.079,0.27,0.05,2.35,0.18,1.91,0.14,0.44,0.32
Peck_et_al_2020,Alsea,ABOR1309_02PU,16,18,NA,0.38,0.28,NA,0.081,0.16,0.05,1.96,0.17,1.64,0.13,0.32,0.29
Peck_et_al_2020,Alsea,ABOR1309_02PU,18,20,NA,0.39,0.25,NA,0.071,-0.03,0.02,1.39,0.17,1.85,0.14,0,0.31
Peck_et_al_2020,Alsea,ABOR1309_02PU,20,22,NA,0.42,0.25,NA,0.071,0.2,0.04,1.2,0.11,1.85,0.1,0,0.21
Peck_et_al_2020,Alsea,ABOR1309_02PU,22,24,NA,0.41,0.26,NA,0.074,-0.03,0.03,1.16,0.17,1.71,0.14,0,0.31
Peck_et_al_2020,Alsea,ABOR1309_02PU,24,26,NA,0.39,0.26,NA,0.075,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Alsea,ABOR1309_02PU,26,28,NA,0.4,0.29,NA,0.084,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Alsea,ABOR1309_02PU,28,30,NA,0.39,0.33,NA,0.093,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Alsea,ABOR1309_02PU,30,32,NA,0.42,0.36,NA,0.103,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Alsea,ABOR1309_02PU,32,34,NA,0.41,0.34,NA,0.096,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Alsea,ABOR1309_02PU,34,36,NA,0.4,0.33,NA,0.094,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Alsea,ABOR1309_02PU,36,38,NA,0.37,0.32,NA,0.09,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Alsea,ABOR1309_02PU,38,40,NA,0.38,0.24,NA,0.067,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Alsea,ABOR1309_02PU,40,42,NA,0.38,0.26,NA,0.074,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Alsea,ABOR1309_02PU,42,44,NA,0.42,0.24,NA,0.069,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Alsea,ABOR1309_02PU,44,46,NA,0.64,0.27,NA,0.076,NA,NA,NA,NA,NA,NA,NA,NA
