study_id,site_id,core_id,abbreviated_core_id,genus,species
Peck_et_al_2020,Alsea,ABOR1702_01PU,AB01,Juncus,balticus
Peck_et_al_2020,Alsea,ABOR1702_01PU,AB01,Sarcocornia,perennis
Peck_et_al_2020,Alsea,ABOR1702_01PU,AB01,Distichlis,spicata
Peck_et_al_2020,Alsea,ABOR1702_01PU,AB01,Deschampsia,cespitosa
Peck_et_al_2020,Alsea,ABOR1702_02PU,AB02,Distichlis,spicata
Peck_et_al_2020,Alsea,ABOR1702_02PU,AB02,Sarcocornia,perennis
Peck_et_al_2020,Alsea,ABOR1702_05PU,AB05,Carex,lyngbyei
Peck_et_al_2020,Alsea,ABOR1702_05PU,AB05,Distichlis,spicata
Peck_et_al_2020,Alsea,ABOR1702_06PU,AB06,Juncus,balticus
Peck_et_al_2020,Alsea,ABOR1702_06PU,AB06,Agrostis,stolonifera
Peck_et_al_2020,Alsea,ABOR1702_07PU,AB07,Juncus,balticus
Peck_et_al_2020,Alsea,ABOR1702_07PU,AB07,Agrostis,stolonifera
Peck_et_al_2020,Alsea,ABOR1702_08PU,AB08,Carex,lyngbyei
Peck_et_al_2020,Alsea,ABOR1702_08PU,AB08,Distichlis,spicata
Peck_et_al_2020,Alsea,ABOR1309_01PU,AL-01,Distichlis,spicata
Peck_et_al_2020,Alsea,ABOR1309_01PU,AL-01,Sarcocornia,perennis
Peck_et_al_2020,Alsea,ABOR1309_02PU,AL-02,Deschampsia,cespitosa
Peck_et_al_2020,Alsea,ABOR1309_02PU,AL-02,Juncus,balticus
Peck_et_al_2020,Alsea,ABOR1309_02PU,AL-02,Agrostis,stolonifera
Peck_et_al_2020,Alsea,ABOR1309_02PU,AL-02,Sarcocornia,perennis
Peck_et_al_2020,Alsea,ABOR1309_03PU,AL-03,Juncus,balticus
Peck_et_al_2020,Alsea,ABOR1309_03PU,AL-03,Agrostis,stolonifera
Peck_et_al_2020,Alsea,ABOR1309_04PU,AL-04,Deschampsia,cespitosa
Peck_et_al_2020,Alsea,ABOR1309_04PU,AL-04,Juncus,balticus
Peck_et_al_2020,Alsea,ABOR1309_04PU,AL-04,Agrostis,stolonifera
Peck_et_al_2020,Alsea,ABOR1309_04PU,AL-04,Sarcocornia,perennis
Peck_et_al_2020,Coquille,CMOR1706_01PU,CM01,Agrostis,stolonifera
Peck_et_al_2020,Coquille,CMOR1706_02PU,CM02,Juncus,balticus
Peck_et_al_2020,Coquille,CMOR1706_02PU,CM02,Potentilla,anserina
Peck_et_al_2020,Coquille,CMOR1706_03PU,CM03,Deschampsia,cespitosa
Peck_et_al_2020,Coquille,CMOR1706_03PU,CM03,Juncus,balticus
Peck_et_al_2020,Coquille,CMOR1706_03PU,CM03,Potentilla,anserina
Peck_et_al_2020,Coquille,CMOR1706_04PU,CM04,Deschampsia,cespitosa
Peck_et_al_2020,Coquille,CMOR1706_04PU,CM04,Juncus,balticus
Peck_et_al_2020,Coquille,CMOR1706_04PU,CM04,Potentilla,anserina
Peck_et_al_2020,Coquille,CMOR1706_05PU,CM05,Jaumea,carnosa
Peck_et_al_2020,Coquille,CMOR1706_05PU,CM05,Distichlis,spicata
Peck_et_al_2020,Coquille,CMOR1706_05PU,CM05,Triglochin,maritima
Peck_et_al_2020,Coquille,CMOR1706_08PU,CM08,Deschampsia,cespitosa
Peck_et_al_2020,Coquille,CMOR1706_08PU,CM08,Sarcocornia,perennis
Peck_et_al_2020,Coquille,CMOR1706_08PU,CM08,Distichlis,spicata
Peck_et_al_2020,Coquille,CMOR1706_09PU,CM09,Sarcocornia,perennis
Peck_et_al_2020,Coquille,CMOR1706_09PU,CM09,Jaumea,carnosa
Peck_et_al_2020,Coquille,CMOR1706_10PU,CM10,Jaumea,carnosa
Peck_et_al_2020,Coquille,CMOR1706_10PU,CM10,Triglochin,maritima
Peck_et_al_2020,Nehalem,NBOR1606_02PU,NB02,Carex,lyngbyei
Peck_et_al_2020,Nehalem,NBOR1606_03PU,NB03,Juncus,balticus
Peck_et_al_2020,Nehalem,NBOR1606_03PU,NB03,Potentilla,anserina
Peck_et_al_2020,Nehalem,NBOR1606_04PU,NB04,Juncus,balticus
Peck_et_al_2020,Nehalem,NBOR1606_04PU,NB04,Potentilla,anserina
Peck_et_al_2020,Nehalem,NBOR1606_05PU,NB05,Triglochin,maritima
Peck_et_al_2020,Nehalem,NBOR1606_07PU,NB07,Triglochin,maritima
Peck_et_al_2020,Nehalem,NBOR1606_08PU,NB08,Carex,lyngbyei
Peck_et_al_2020,Nehalem,NBOR1609_01PU,NB09,Carex,lyngbyei
Peck_et_al_2020,Nehalem,NBOR1609_02PU,NB10,Carex,lyngbyei
Peck_et_al_2020,Nehalem,NBOR1609_03PU,NB11,Carex,lyngbyei
Peck_et_al_2020,Nehalem,NBOR1609_04PU,NB12,Carex,lyngbyei
Peck_et_al_2020,Netarts,NTOR1009_01PU,NT-1,Deschampsia,cespitosa
Peck_et_al_2020,Netarts,NTOR1009_01PU,NT-1,Juncus,balticus
Peck_et_al_2020,Netarts,NTOR1009_02PU,NT-2,Deschampsia,cespitosa
Peck_et_al_2020,Netarts,NTOR1009_02PU,NT-2,Juncus,balticus
Peck_et_al_2020,Netarts,NTOR1009_03PU,NT-3,Deschampsia,cespitosa
Peck_et_al_2020,Netarts,NTOR1009_03PU,NT-3,Juncus,balticus
Peck_et_al_2020,Netarts,NTOR1009_04PU,NT-4,Deschampsia,cespitosa
