study_id,site_id,core_id,depth_min,depth_max,depth_max_decompressed,dry_bulk_density,fraction_carbon_measured,fraction_carbon_modeled,fraction_carbon_density_measured,fraction_carbon_density_modeled,pb210_age,pb210_age_sd,c14_age,c14_age_sd,c14_material,depth_interval_notes
Belshe_et_al_2019,EP,EP05,0,1,2,0.184,0.10371000000000001,NA,0.019,NA,-65,1,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,1,2,4,0.314,0.07301,NA,0.023,NA,-64,1,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,2,3,6,0.252,0.06458,NA,0.016,NA,-61,1,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,3,4,7,0.4,0.0558,NA,0.022,NA,-59,1,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,4,5,9,0.469,0.05749,NA,0.027,NA,-56,1,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,5,6,11,0.44,0.05854,NA,0.026,NA,-53,1,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,6,7,12,0.368,0.0588,NA,0.022,NA,-50,1,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,7,8,14,0.336,0.065309999999999993,NA,0.022,NA,-47,1,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,8,9,15,0.321,0.07533000000000001,NA,0.024,NA,-44,1,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,9,10,17,0.427,0.05527,NA,0.024,NA,-41,1,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,10,11,18,0.514,0.06103,NA,0.031,NA,-37,1,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,11,12,19,0.543,0.061950000000000005,NA,0.034,NA,-33,1,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,12,13,20,0.66,0.05623,NA,0.037,NA,-29,1,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,13,14,22,0.465,0.06672,NA,0.031,NA,-22,2,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,14,15,23,0.493,0.06839,NA,0.034,NA,-16,2,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,15,16,24,0.492,0.07719999999999999,NA,0.038,NA,-8,2,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,16,17,25,0.511,0.04827,NA,0.025,NA,0,2,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,17,18,26,0.692,0.06164,NA,0.043,NA,7,2,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,18,19,28,0.605,0.043390000000000005,NA,0.026,NA,16,3,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,19,20,29,0.767,0.04686,NA,0.036,NA,26,3,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,20,21,30,0.767,NA,0.04628,NA,0.036,42,4,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,EP,EP05,21,22,31,0.683,0.045700000000000005,NA,0.031,NA,52,5,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,22,23,32,0.522,NA,0.04967,NA,0.026,76,6,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,EP,EP05,23,24,33,0.556,0.05364,NA,0.03,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,24,25,34,0.538,NA,0.048470000000000006,NA,0.026,NA,NA,398,23,seagrass_sheath,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,EP,EP05,25,26,35,0.586,0.04331,NA,0.025,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,26,27,36,0.567,NA,0.04734,NA,0.027,NA,NA,379,24,seagrass_sheath,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,EP,EP05,27,28,37,0.675,0.05137,NA,0.035,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,28,29,39,0.811,NA,0.051449999999999996,NA,0.042,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,EP,EP05,29,30,40,0.749,0.05152999999999999,NA,0.039,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,30,31,41,0.589,NA,0.05337,NA,0.031,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,EP,EP05,31,32,42,0.655,0.05521,NA,0.036,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,32,33,43,0.665,NA,0.054000000000000006,NA,0.036,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,EP,EP05,33,34,44,0.699,0.0528,NA,0.037,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,34,35,45,0.694,NA,0.05212,NA,0.036,NA,NA,467,27,seagrass_sheath,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,EP,EP05,35,36,46,0.723,0.051449999999999996,NA,0.037,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,36,37,47,0.838,NA,0.046349999999999995,NA,0.039,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,EP,EP05,37,38,48,0.824,0.04125,NA,0.034,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,38,39,49,0.767,NA,0.045279999999999994,NA,0.035,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,EP,EP05,39,40,50,0.911,0.04931,NA,0.045,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,40,41,51,0.82,NA,0.04579,NA,0.038,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,EP,EP05,41,42,52,0.748,0.04227,NA,0.032,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,42,43,53,0.818,NA,0.04167,NA,0.034,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,EP,EP05,43,44,54,0.845,0.04106,NA,0.035,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,44,45,55,0.888,NA,0.042359999999999995,NA,0.038,NA,NA,502,27,seagrass_sheath,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,EP,EP05,45,46,56,0.87,0.04365,NA,0.038,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,46,47,57,0.829,NA,0.043120000000000006,NA,0.036,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,EP,EP05,47,48,58,0.874,0.04259,NA,0.037,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,48,49,59,0.904,NA,0.04382,NA,0.04,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,EP,EP05,49,50,60,0.929,0.04506,NA,0.042,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,50,51,61,0.942,NA,0.04196,NA,0.04,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,EP,EP05,51,52,62,0.955,0.03886,NA,0.037,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,52,53,63,0.873,NA,0.03782,NA,0.033,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,EP,EP05,53,54,64,0.931,0.036789999999999996,NA,0.034,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,54,55,65,0.746,NA,0.03688,NA,0.028,NA,NA,1741,28,seagrass_sheath,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,EP,EP05,55,56,66,1.202,0.03697,NA,0.044,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,56,57,67,0.872,NA,0.03593,NA,0.031,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,EP,EP05,57,58,68,0.966,0.0349,NA,0.034,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,58,59,69,0.92,NA,0.0394,NA,0.036,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,EP,EP05,59,60,70,0.996,0.043899999999999995,NA,0.044,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,60,61,71,0.941,NA,0.039420000000000004,NA,0.037,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,EP,EP05,61,62,72,0.91,0.034929999999999996,NA,0.032,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,62,63,73,0.824,NA,0.03831,NA,0.032,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,EP,EP05,63,64,74,0.89,0.04169,NA,0.037,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,64,65,75,0.888,NA,0.04322,NA,0.038,NA,NA,1940,26,seagrass_sheath,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,EP,EP05,65,66,76,0.965,0.04475,NA,0.043,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,66,67,77,0.891,NA,0.04356,NA,0.039,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,EP,EP05,67,68,78,0.878,0.04238,NA,0.037,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,68,69,79,1.017,NA,0.044539999999999996,NA,0.045,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,EP,EP05,69,70,80,1.001,0.0467,NA,0.047,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,70,71,81,0.924,NA,0.04042,NA,0.037,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,EP,EP05,71,72,82,0.988,0.03415,NA,0.034,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,72,73,83,0.977,NA,0.03421,NA,0.033,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,EP,EP05,73,74,84,0.846,0.03427,NA,0.029,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,74,75,85,1.049,NA,0.03615,NA,0.038,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,EP,EP05,75,76,86,0.861,0.03804,NA,0.033,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,76,77,87,1.141,NA,0.03628,NA,0.041,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,EP,EP05,77,78,88,0.933,0.03453,NA,0.032,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,78,79,89,0.968,NA,0.037040000000000003,NA,0.036,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,EP,EP05,79,80,90,1.245,0.03955,NA,0.049,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,80,81,91,0.782,NA,0.03755,NA,0.029,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,EP,EP05,81,82,92,1.016,0.03555,NA,0.036,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,82,83,93,0.774,NA,0.035590000000000004,NA,0.028,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,EP,EP05,83,84,94,0.817,0.03562,NA,0.029,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,84,85,95,0.622,NA,0.03345,NA,0.021,NA,NA,1788,29,seagrass_sheath,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,EP,EP05,85,86,96,0.769,0.03127,NA,0.024,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,86,87,97,0.708,NA,0.02984,NA,0.021,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,EP,EP05,87,88,98,1.355,0.028399999999999998,NA,0.038,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM05,0,1,8,0.1003,0.039032,NA,0.0039,NA,-65,1,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM05,1,2,14,0.098,0.024358,NA,0.0024,NA,-62,1,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM05,2,3,19,0.1373,0.028347999999999998,NA,0.0039,NA,-60,1,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM05,3,4,24,0.1333,0.032379,NA,0.0043,NA,-57,1,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM05,4,5,27,0.1866,0.060801999999999995,NA,0.0113,NA,-55,1,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM05,5,6,31,0.225,0.040328,NA,0.0091,NA,-52,1,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM05,6,7,33,0.2534,0.034128,NA,0.0086,NA,-49,1,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM05,7,8,36,0.3329,0.026993,NA,0.009,NA,-46,1,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM05,8,9,38,0.3835,0.039116,NA,0.015,NA,-43,2,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM05,9,10,40,0.4563,0.027068,NA,0.0124,NA,-39,2,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM05,10,11,42,0.5374,0.026476000000000003,NA,0.0142,NA,-34,2,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM05,11,12,43,0.5752,0.023237999999999998,NA,0.0134,NA,-30,2,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM05,12,13,45,0.6131,0.046634,NA,0.0286,NA,-26,2,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM05,13,14,46,0.6422,0.027275999999999998,NA,0.0175,NA,-21,2,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM05,14,15,48,0.8128,0.028838,NA,0.0234,NA,-16,2,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM05,15,16,49,0.8207,0.043272000000000005,NA,0.0355,NA,-10,3,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM05,16,17,50,0.7281,0.027389,NA,0.0199,NA,-1,3,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM05,17,18,51,0.9641,0.022723,NA,0.0219,NA,10,4,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM05,18,19,52,1.1408,0.020125999999999998,NA,0.023,NA,39,6,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM05,19,20,54,1.0204,0.021474000000000004,NA,0.0219,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM05,20,21,55,1.0648,NA,0.021785000000000002,NA,0.0232,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM05,21,22,56,0.7143,0.022096,NA,0.0158,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM05,22,23,57,1.0759,NA,0.017073,NA,0.0184,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM05,23,24,58,1.5365,0.01205,NA,0.0185,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM05,24,25,59,1.4431,NA,0.012884,NA,0.0186,NA,NA,75,26,seagrass_sheath,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM05,25,26,60,1.2569,0.013718,NA,0.0172,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM05,26,27,61,1.2795,NA,0.015497,NA,0.0198,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM05,27,28,62,1.5139,0.017277,NA,0.0262,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM05,28,29,63,1.1866,NA,0.017369000000000002,NA,0.0206,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM05,29,30,64,1.5045,0.017462,NA,0.0263,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM05,30,31,65,1.3574,NA,0.01686,NA,0.0229,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM05,31,32,66,1.1748,0.016257,NA,0.0191,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM05,32,33,67,1.3184,NA,0.017433,NA,0.023,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM05,33,34,68,1.3852,0.018608,NA,0.0258,NA,NA,NA,NA,NA,NA,NA
