study_id,site_id,plot_center_latitude,plot_center_longitude,year,month,field_or_manipulation_code,habitat,dominant_species,mean_height,plant_plot_detail_present,soil_core_present
Radabaugh_et_al_2017,Rocky_Creek_Marsh,27.994166666666665,-82.58583333333333,2015,9,field,marsh,Bacopa monnieri,14.268,yes,no
Radabaugh_et_al_2017,Upper_Tampa_Bay_Barren,28.007916666666667,-82.63173333333333,2015,9,field,unvegetated,Batis maritima,14.44,yes,no
Radabaugh_et_al_2017,Weedon_Island_Marsh,27.844666666666665,-82.61045,2015,11,field,unvegetated,Blutaparon vermiculare,14.828,yes,no
Radabaugh_et_al_2017,Upper_Tampa_Bay_Marsh,28.00695,-82.63325,2015,7,field,marsh,Borrichia frutescens,35.56417910447761,yes,no
Radabaugh_et_al_2017,Fort_De_Soto_Marsh,27.626808,-82.71587,2016,4,field,marsh,Borrichia frutescens,35.56417910447761,yes,no
Radabaugh_et_al_2017,Upper_Tampa_Bay_Marsh,28.00695,-82.63325,2015,11,field,marsh,Fimbristylis castanea,51.75833333333333,yes,no
Radabaugh_et_al_2017,Upper_Tampa_Bay_Marsh,28.00695,-82.63325,2015,11,field,marsh,Fimbristylis cymosa,26.794642857142858,yes,no
Radabaugh_et_al_2017,Rocky_Creek_Marsh,27.994166666666665,-82.58583333333333,2015,9,field,marsh,Juncus roemerianus,59.62952380952382,yes,no
Radabaugh_et_al_2017,Little_Manatee_River_Marsh,27.678833333333333,-82.43633333333334,2015,9,field,marsh,Juncus roemerianus,59.62952380952382,yes,no
Radabaugh_et_al_2017,Shell_Point_Marsh,27.721648,-82.471133,2015,10,field,marsh,Limonium carolinianum,32.18813559322034,yes,no
Radabaugh_et_al_2017,Upper_Tampa_Bay_Marsh,28.007516666666668,-82.6327,2015,7,field,marsh,Monanthochloe littoralis,8.453333333333333,yes,no
Radabaugh_et_al_2017,Shell_Point_Marsh,27.722333333333335,-82.47113333333333,2015,10,field,unvegetated,Paspalum distichum,31.11764705882353,yes,no
Radabaugh_et_al_2017,Weedon_Island_Marsh,27.844498,-82.610385,2015,11,field,marsh,Rayjacksonia phyllocephala,33.222,yes,no
Radabaugh_et_al_2017,Upper_Tampa_Bay_Marsh,28.00695,-82.63325,2015,11,field,marsh,Rayjacksonia phyllocephala,33.222,yes,no
Radabaugh_et_al_2017,Upper_Tampa_Bay_Barren,28.007916666666667,-82.63173333333333,2015,7,field,unvegetated,Salicornia virginica,10.205084745762711,yes,no
Radabaugh_et_al_2017,Upper_Tampa_Bay_Marsh,28.00695,-82.63325,2016,3,field,marsh,Schizachyrium scoparium,46.04716981132076,yes,no
Radabaugh_et_al_2017,SERF_Marsh,27.645333333333333,-82.5477,2015,8,field,marsh,Sesuvium portulacastrum,22.635849056603774,yes,no
Radabaugh_et_al_2017,Rocky_Creek_Marsh,27.994166666666665,-82.58583333333333,2015,9,field,marsh,Solidago sempervirens,52.026,yes,no
Radabaugh_et_al_2017,Clam_Bayou,27.738885,-82.691454,2015,9,field,marsh,Spartina alterniflora,47.74528301886792,yes,no
Radabaugh_et_al_2017,Apollo_Beach_Marsh,27.780066666666666,-82.40461666666667,2015,8,field,marsh,Spartina patens,33.66603773584906,yes,no
Radabaugh_et_al_2017,Upper_Tampa_Bay_Marsh,28.00695,-82.63325,2016,7,field,marsh,Sporobolus virginicus,16.828,yes,no
