study_id,site_id,species_code,code_type
Radabaugh_et_al_2017,Rocky_Creek_Marsh,Bacopa monnieri,Genus species
Radabaugh_et_al_2017,Upper_Tampa_Bay_Barren,Batis maritima,Genus species
Radabaugh_et_al_2017,Weedon_Island_Barren,Blutaparon vermiculare,Genus species
Radabaugh_et_al_2017,Upper_Tampa_Bay_Marsh,Borrichia frutescens,Genus species
Radabaugh_et_al_2017,Fort_De_Soto_Marsh,Borrichia frutescens,Genus species
Radabaugh_et_al_2017,Upper_Tampa_Bay_Marsh,Fimbristylis castanea,Genus species
Radabaugh_et_al_2017,Upper_Tampa_Bay_Marsh,Fimbristylis cymosa,Genus species
Radabaugh_et_al_2017,Rocky_Creek_Marsh,Juncus roemerianus,Genus species
Radabaugh_et_al_2017,Little_Manatee_River_Marsh,Juncus roemerianus,Genus species
Radabaugh_et_al_2017,Shell_Point_Marsh,Limonium carolinianum,Genus species
Radabaugh_et_al_2017,Upper_Tampa_Bay_Marsh,Monanthochloe littoralis,Genus species
Radabaugh_et_al_2017,Shell_Point_Barren,Paspalum distichum,Genus species
Radabaugh_et_al_2017,Weedon_Island_Marsh,Rayjacksonia phyllocephala,Genus species
Radabaugh_et_al_2017,Upper_Tampa_Bay_Marsh,Rayjacksonia phyllocephala,Genus species
Radabaugh_et_al_2017,Upper_Tampa_Bay_Barren,Salicornia virginica,Genus species
Radabaugh_et_al_2017,Upper_Tampa_Bay_Marsh,Schizachyrium scoparium,Genus species
Radabaugh_et_al_2017,SERF_Marsh,Sesuvium portulacastrum,Genus species
Radabaugh_et_al_2017,Rocky_Creek_Marsh,Solidago sempervirens,Genus species
Radabaugh_et_al_2017,Clam_Bayou_Marsh,Spartina alterniflora,Genus species
Radabaugh_et_al_2017,Apollo_Beach_Marsh,Spartina patens,Genus species
Radabaugh_et_al_2017,Upper_Tampa_Bay_Marsh,Sporobolus virginicus,Genus species
