study_id,site_id,core_id,method_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter,fraction_carbon,cs137_activity,cs137_activity_se,cs137_unit,excess_pb210_activity,excess_pb210_activity_se,total_pb210_activity,total_pb210_activity_se,pb210_unit,pb214_activity,pb214_activity_se,pb214_unit,bi214_activity,bi214_activity_se,bi214_unit,age,age_min,age_max,depth_interval_notes
Langston_et_al_2022,Goodwin Island,OT3_3,push core,1,2,NA,NA,NA,0.05,0,dpm/g,1.63,0.18,2.35,0.17,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_3,push core,2,3,NA,NA,NA,0.05,0,dpm/g,0.3,0.08,1,0.07,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_3,push core,3,4,NA,NA,NA,0.06,0,dpm/g,0.3,0.1,1.14,0.08,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_3,push core,4,5,NA,NA,NA,0.07,0,dpm/g,0.27,0.11,1.09,0.08,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_3,push core,5,6,NA,NA,NA,0.06,0,dpm/g,0.13,0.1,0.92,0.07,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_3,push core,6,7,NA,NA,NA,0.05,0,dpm/g,0.13,0.08,0.92,0.07,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_3,push core,7,8,NA,NA,NA,0.09,0,dpm/g,0.11,0.08,0.93,0.07,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_3,push core,8,9,NA,NA,NA,0.06,0,dpm/g,0.14,0.09,0.95,0.07,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_3,push core,9,10,NA,NA,NA,0.06,0,dpm/g,0.29,0.15,1.12,0.08,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_3,push core,10,11,NA,NA,NA,0.08,0,dpm/g,0.19,0.1,1.1,0.08,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_3,push core,11,12,NA,NA,NA,0.08,0,dpm/g,0.17,0.14,1.04,0.08,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_3,push core,12,13,NA,NA,NA,0.05,0,dpm/g,0.09,0.09,0.95,0.07,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_3,push core,13,14,NA,NA,NA,0.07,0,dpm/g,0.29,0.09,1.11,0.08,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_3,push core,14,15,NA,NA,NA,0.07,0,dpm/g,0.24,0.1,1.14,0.08,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_3,push core,15,16,NA,NA,NA,0.08,0,dpm/g,0.08,0.08,0.94,0.07,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_3,push core,16,17,NA,NA,NA,0.05,0,dpm/g,0.13,0.07,0.97,0.07,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_3,push core,17,18,NA,NA,NA,0.07,0,dpm/g,-0.09,0.09,0.85,0.06,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_3,push core,18,19,NA,NA,NA,0.07,0,dpm/g,0.11,0.14,1.08,0.08,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_3,push core,19,20,NA,NA,NA,0.07,0,dpm/g,0.01,0.12,0.98,0.07,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_3,push core,20,21,NA,NA,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_3,push core,21,22,NA,NA,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_3,push core,22,23,NA,NA,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_3,push core,23,24,NA,NA,NA,0.07,0,dpm/g,0.25,0.1,1.22,0.09,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_3,push core,24,25,NA,NA,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_3,push core,25,26,NA,NA,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_3,push core,26,27,NA,NA,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_3,push core,27,28,NA,NA,NA,0.05,0,dpm/g,-0.09,0.08,0.85,0.06,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_3,push core,28,29,NA,NA,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_3,push core,29,30,NA,NA,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
