"","study_id","core_id","impact_class"
"1","Noe_et_al_2016","W2","Salt Impacted"
"2","Noe_et_al_2016","W1","Natural"
"3","Noe_et_al_2016","W3","Salt Impacted"
"4","Noe_et_al_2016","W4","Natural"
