"","study_id","site_id","core_id","core_latitude","core_longitude","core_position_notes","core_elevation","salinity_class","vegetation_class","inundation_class","core_length_flag","core_date","core_notes","core_elevation_datum","core_position_accuracy","vegetation_notes","core_position_method","core_elevation_method"
"1","Noe_et_al_2016","Bulter_Island","W2",33.42268,-79.20802,"a1",NA,"freshwater","forested",NA,"core depth limited by length of corer",NA,NA,NA,NA,NA,NA,NA
"2","Noe_et_al_2016","Richmond_Island","W1",33.55564,-79.08943,"a1",NA,"freshwater","forested",NA,"core depth limited by length of corer",NA,NA,NA,NA,NA,NA,NA
"3","Noe_et_al_2016","Turkey_Creek","W3",33.34001,-79.34166,"a1",NA,"freshwater","forested",NA,"core depth limited by length of corer",NA,NA,NA,NA,NA,NA,NA
"4","Noe_et_al_2016","Turkey_Creek","W4",33.35003,-79.3447,"a1",NA,"oligohaline","emergent",NA,"core depth limited by length of corer",NA,NA,NA,NA,NA,NA,NA
