Source,Site,Management,Marshzone,Core,Habitat_type,Latitude,Longitude,accuracy_flag-see note in metadata,Country,Year_collected,U_depth_m (compressed) ,L_depth_m (compressed),U_depth_m (decompressed) ,L_depth_m (decompressed),Method,SOM_perc,BD_reported_g_cm3,OC_perc
Graversen et al 2022,Mariager,Grazed,Low,P,Saltmarsh,56.708652,10.166294,direct from dataset,DK,2018,0.00,1.00,0.00,1.17,LOI and EA,13.9,0.93,2.874
Graversen et al 2022,Mariager,Grazed,Low,1,Saltmarsh,,,direct from dataset,DK,2018,1.00,2.00,1.30,2.60,LOI and EA,4.67,1.38,0.823
Graversen et al 2022,Mariager,Grazed,Low,2,Saltmarsh,,,direct from dataset,DK,2018,1.00,2.00,1.10,2.20,LOI and EA,4.3,1.23,1.258
Graversen et al 2022,Mariager,Grazed,Low,3,Saltmarsh,,,direct from dataset,DK,2018,1.00,2.00,1.11,2.21,LOI and EA,5.67,1.32,1.104
Graversen et al 2022,Mariager,Grazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,2.00,3.00,2.34,3.51,LOI and EA,5.42,1.35,0.765
Graversen et al 2022,Mariager,Grazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,3.00,4.00,3.51,4.68,LOI and EA,5.59,1.47,0.848
Graversen et al 2022,Mariager,Grazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,4.00,5.00,4.68,5.85,LOI and EA,5.65,1.38,0.803
Graversen et al 2022,Mariager,Grazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,5.00,6.00,5.85,7.02,LOI and EA,8.65,1.16,0.987
Graversen et al 2022,Mariager,Grazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,6.00,7.00,7.02,8.19,LOI and EA,6.09,1.32,1.453
Graversen et al 2022,Mariager,Grazed,Low,2,Saltmarsh,,,direct from dataset,DK,2018,7.00,8.00,7.70,8.80,LOI and EA,6.73,1.18,1.249
Graversen et al 2022,Mariager,Grazed,Low,3,Saltmarsh,,,direct from dataset,DK,2018,7.00,8.00,7.74,8.84,LOI and EA,6.05,1.35,1.086
Graversen et al 2022,Mariager,Grazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,8.00,9.00,9.36,10.53,LOI and EA,7.28,1.21,1.180
Graversen et al 2022,Mariager,Grazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,9.00,10.00,10.53,11.69,LOI and EA,7.44,1.34,0.945
Graversen et al 2022,Mariager,Grazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,10.00,12.00,11.69,14.03,LOI and EA,9.61,1.16,1.667
Graversen et al 2022,Mariager,Grazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,12.00,14.00,14.03,16.37,LOI and EA,10.7,1.10,2.557
Graversen et al 2022,Mariager,Grazed,Low,1,Saltmarsh,,,direct from dataset,DK,2018,14.00,16.00,18.20,20.80,LOI and EA,8.76,1.14,2.196
Graversen et al 2022,Mariager,Grazed,Low,2,Saltmarsh,,,direct from dataset,DK,2018,14.00,16.00,15.40,17.60,LOI and EA,3.64,1.34,0.499
Graversen et al 2022,Mariager,Grazed,Low,3,Saltmarsh,,,direct from dataset,DK,2018,14.00,16.00,15.47,17.68,LOI and EA,9.99,1.18,1.123
Graversen et al 2022,Mariager,Grazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,16.00,18.00,18.71,21.05,LOI and EA,15.82,0.85,3.125
Graversen et al 2022,Mariager,Grazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,18.00,20.00,21.05,23.39,LOI and EA,16.33,0.97,2.374
Graversen et al 2022,Mariager,Grazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,20.00,22.00,23.39,25.73,LOI and EA,18.58,0.92,2.709
Graversen et al 2022,Mariager,Grazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,22.00,24.00,25.73,28.07,LOI and EA,19.75,0.69,4.376
Graversen et al 2022,Mariager,Grazed,Low,1,Saltmarsh,,,direct from dataset,DK,2018,24.00,26.00,31.20,33.80,LOI and EA,35,0.56,8.905
Graversen et al 2022,Mariager,Grazed,Low,2,Saltmarsh,,,direct from dataset,DK,2018,24.00,26.00,26.40,28.60,LOI and EA,21.22,0.97,5.292
Graversen et al 2022,Mariager,Grazed,Low,3,Saltmarsh,,,direct from dataset,DK,2018,24.00,26.00,26.53,28.74,LOI and EA,28.66,0.49,7.924
Graversen et al 2022,Mariager,Grazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,26.00,28.00,30.41,32.75,LOI and EA,31.95,0.48,6.863
Graversen et al 2022,Mariager,Grazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,28.00,30.00,32.75,35.08,LOI and EA,18.91,0.75,3.627
Graversen et al 2022,Mariager,Grazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,30.00,32.00,35.08,37.42,LOI and EA,9.23,1.03,2.027
Graversen et al 2022,Mariager,Grazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,32.00,34.00,37.42,39.76,LOI and EA,15.11,0.73,4.021
Graversen et al 2022,Mariager,Grazed,Low,1,Saltmarsh,,,direct from dataset,DK,2018,34.00,36.00,44.20,46.80,LOI and EA,3.41,1.40,0.184
Graversen et al 2022,Mariager,Grazed,Low,2,Saltmarsh,,,direct from dataset,DK,2018,34.00,36.00,37.40,39.60,LOI and EA,5.06,1.41,0.462
Graversen et al 2022,Mariager,Grazed,Low,3,Saltmarsh,,,direct from dataset,DK,2018,34.00,36.00,37.58,39.79,LOI and EA,2.58,1.41,0.207
Graversen et al 2022,Mariager,Grazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,36.00,38.00,42.10,44.44,LOI and EA,2.73,1.26,0.517
Graversen et al 2022,Mariager,Grazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,38.00,40.00,44.44,46.78,LOI and EA,3.97,1.20,0.858
Graversen et al 2022,Mariager,Ungrazed,Low,P,Saltmarsh,56.70871,10.16602,direct from dataset,DK,2018,0.00,1.00,0.00,1.10,LOI and EA,5.00,1.11,0.366
Graversen et al 2022,Mariager,Ungrazed,Low,1,Saltmarsh,,,direct from dataset,DK,2018,1.00,2.00,1.10,2.19,LOI and EA,6.80,1.01,1.127
Graversen et al 2022,Mariager,Ungrazed,Low,2,Saltmarsh,,,direct from dataset,DK,2018,1.00,2.00,1.09,2.18,LOI and EA,2.97,1.20,0.289
Graversen et al 2022,Mariager,Ungrazed,Low,3,Saltmarsh,,,direct from dataset,DK,2018,1.00,2.00,1.10,2.20,LOI and EA,6.66,1.07,1.274
Graversen et al 2022,Mariager,Ungrazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,2.00,3.00,2.19,3.29,LOI and EA,8.27,1.08,1.220
Graversen et al 2022,Mariager,Ungrazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,3.00,4.00,3.29,4.38,LOI and EA,6.34,1.29,0.674
Graversen et al 2022,Mariager,Ungrazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,4.00,5.00,4.38,5.48,LOI and EA,4.83,1.16,0.463
Graversen et al 2022,Mariager,Ungrazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,5.00,6.00,5.48,6.57,LOI and EA,5.62,1.16,0.603
Graversen et al 2022,Mariager,Ungrazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,6.00,7.00,6.57,7.67,LOI and EA,7.26,1.21,1.024
Graversen et al 2022,Mariager,Ungrazed,Low,1,Saltmarsh,,,direct from dataset,DK,2018,7.00,8.00,7.67,8.76,LOI and EA,11.29,0.88,2.518
Graversen et al 2022,Mariager,Ungrazed,Low,2,Saltmarsh,,,direct from dataset,DK,2018,7.00,8.00,7.64,8.73,LOI and EA,3.63,1.29,0.374
Graversen et al 2022,Mariager,Ungrazed,Low,3,Saltmarsh,,,direct from dataset,DK,2018,7.00,8.00,7.70,8.80,LOI and EA,4.13,1.22,0.352
Graversen et al 2022,Mariager,Ungrazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,8.00,9.00,8.76,9.86,LOI and EA,6.02,1.16,0.939
Graversen et al 2022,Mariager,Ungrazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,9.00,10.00,9.86,10.95,LOI and EA,4.90,1.18,0.854
Graversen et al 2022,Mariager,Ungrazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,10.00,12.00,10.95,13.15,LOI and EA,5.25,1.08,0.684
Graversen et al 2022,Mariager,Ungrazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,12.00,14.00,13.15,15.34,LOI and EA,4.21,1.15,0.436
Graversen et al 2022,Mariager,Ungrazed,Low,1,Saltmarsh,,,direct from dataset,DK,2018,14.00,16.00,15.33,17.52,LOI and EA,10.14,0.94,2.073
Graversen et al 2022,Mariager,Ungrazed,Low,2,Saltmarsh,,,direct from dataset,DK,2018,14.00,16.00,15.27,17.45,LOI and EA,7.75,1.08,0.697
Graversen et al 2022,Mariager,Ungrazed,Low,3,Saltmarsh,,,direct from dataset,DK,2018,14.00,16.00,15.40,17.60,LOI and EA,6.52,1.04,0.950
Graversen et al 2022,Mariager,Ungrazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,16.00,18.00,17.53,19.72,LOI and EA,5.85,1.17,0.766
Graversen et al 2022,Mariager,Ungrazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,18.00,20.00,19.72,21.91,LOI and EA,3.81,1.20,0.497
Graversen et al 2022,Mariager,Ungrazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,20.00,22.00,21.91,24.10,LOI and EA,5.38,1.19,0.835
Graversen et al 2022,Mariager,Ungrazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,22.00,24.00,24.10,26.29,LOI and EA,8.63,1.10,2.894
Graversen et al 2022,Mariager,Ungrazed,Low,1,Saltmarsh,,,direct from dataset,DK,2018,24.00,26.00,26.29,28.48,LOI and EA,6.45,1.25,1.392
Graversen et al 2022,Mariager,Ungrazed,Low,2,Saltmarsh,,,direct from dataset,DK,2018,24.00,26.00,26.18,28.36,LOI and EA,3.87,1.25,0.265
Graversen et al 2022,Mariager,Ungrazed,Low,3,Saltmarsh,,,direct from dataset,DK,2018,24.00,26.00,26.40,28.60,LOI and EA,3.71,1.23,0.719
Graversen et al 2022,Mariager,Ungrazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,26.00,28.00,28.48,30.67,LOI and EA,4.92,1.21,0.641
Graversen et al 2022,Mariager,Ungrazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,28.00,30.00,30.67,32.86,LOI and EA,4.44,1.23,0.522
Graversen et al 2022,Mariager,Ungrazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,30.00,32.00,32.86,35.05,LOI and EA,7.94,1.14,1.086
Graversen et al 2022,Mariager,Ungrazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,32.00,34.00,35.05,37.24,LOI and EA,5.72,1.26,0.675
Graversen et al 2022,Mariager,Ungrazed,Low,1,Saltmarsh,,,direct from dataset,DK,2018,34.00,36.00,37.24,39.43,LOI and EA,3.38,1.24,0.455
Graversen et al 2022,Mariager,Ungrazed,Low,2,Saltmarsh,,,direct from dataset,DK,2018,34.00,36.00,37.09,39.27,LOI and EA,5.50,1.16,0.815
Graversen et al 2022,Mariager,Ungrazed,Low,3,Saltmarsh,,,direct from dataset,DK,2018,34.00,36.00,37.40,39.60,LOI and EA,2.99,1.28,0.277
Graversen et al 2022,Mariager,Ungrazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,36.00,38.00,39.44,41.63,LOI and EA,8.05,1.13,1.096
Graversen et al 2022,Mariager,Ungrazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,38.00,40.00,41.63,43.82,LOI and EA,10.76,1.00,2.066
Graversen et al 2022,Mariager,Ungrazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,40.00,42.00,43.82,46.01,LOI and EA,4.75,1.18,0.400
Graversen et al 2022,Randers,Grazed,Low,P,Saltmarsh,56.607,10.30801,direct from dataset,DK,2018,0.00,1.00,0.00,1.04,LOI and EA,17.35,0.83,3.084
Graversen et al 2022,Randers,Grazed,Low,1,Saltmarsh,,,direct from dataset,DK,2018,1.00,2.00,1.08,2.15,LOI and EA,14.86,0.77,3.300
Graversen et al 2022,Randers,Grazed,Low,2,Saltmarsh,,,direct from dataset,DK,2018,1.00,2.00,1.05,2.10,LOI and EA,19.97,0.78,4.076
Graversen et al 2022,Randers,Grazed,Low,3,Saltmarsh,,,direct from dataset,DK,2018,1.00,2.00,1.00,2.00,LOI and EA,9.02,1.01,1.424
