study_id,bibliography_id,publication_type,bibtype,title,author,doi,url,year,journal
Tully_et_al_2024,Tully_et_al_2024,primary dataset,Misc,"Dataset: Evaluation of Sediment Dynamics using Geochemical Tracers in the Pamlico Sound Estuarine System, North Carolina","Tully, Lancen S.; Corbett, D. Reide ",10.25573/serc.24968412,https://doi.org/10.25573/serc.24968412,2024,NA
Tully_et_al_2024,Tully_2004,thesis,Misc,"Evaluation of sediment dynamics using geochemical tracers in the Pamlico Sound estuarine system, North Carolina",Lancen S. Tully,, http://hdl.handle.net/10342/11536,2004,
