study_id,site_id,core_id,method_id,depth_min,depth_max,sample_id,dry_bulk_density,fraction_organic_matter,compaction_fraction,c14_age,c14_age_se,c14_material,c14_notes,age,age_min,age_max
Krauss_et_al_2018,Savannah_River_low,savannah_low_1,russian corer used,2,3,NA,1.0333,0.156,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_low,savannah_low_1,russian corer used,4,5,NA,1.425,0.159,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_low,savannah_low_1,russian corer used,6,7,NA,1.0426,0.156,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_low,savannah_low_1,russian corer used,8,9,NA,0.9096,0.153,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_low,savannah_low_1,russian corer used,12,13,NA,1.3871,0.163,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_low,savannah_low_1,russian corer used,14,15,NA,1.0435,0.163,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_low,savannah_low_1,russian corer used,16,17,NA,0.62,0.209,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_low,savannah_low_1,russian corer used,18,19,NA,0.8562,0.20600000000000002,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_low,savannah_low_1,russian corer used,22,23,NA,0.5495,0.263,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_low,savannah_low_1,russian corer used,24,25,NA,0.458,0.366,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_low,savannah_low_1,russian corer used,26,27,NA,0.7778,0.212,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_low,savannah_low_1,russian corer used,28,29,NA,0.6939,0.218,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_low,savannah_low_1,russian corer used,34,35,NA,0.745,0.32299999999999995,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_low,savannah_low_1,russian corer used,44,45,NA,0.4746,0.262,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_low,savannah_low_1,russian corer used,54,55,NA,0.4522,0.319,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_low,savannah_low_1,russian corer used,64,65,NA,0.7523,0.179,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_low,savannah_low_1,russian corer used,74,75,NA,1.4348,0.155,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_low,savannah_low_1,russian corer used,84,85,NA,1.4356,0.145,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_low,savannah_low_1,russian corer used,94,95,NA,0.9148,0.121,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_low,savannah_low_1,russian corer used,104,105,NA,1.0408,0.12300000000000001,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_low,savannah_low_1,russian corer used,114,115,NA,1.0459,0.09759999999999999,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_low,savannah_low_1,russian corer used,124,125,NA,1.4525,0.0926,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_low,savannah_low_1,russian corer used,131,132,NA,1.2569,0.106,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_low,savannah_low_1,russian corer used,132,133,NA,0.9268,0.109,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_low,savannah_low_1,russian corer used,133,134,NA,1.2086,0.11199999999999999,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_low,savannah_low_1,russian corer used,134,135,NA,1.236,0.111,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_low,savannah_low_1,russian corer used,136,137,NA,1.0019,0.128,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_low,savannah_low_1,russian corer used,137,138,NA,1.1587,0.127,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_low,savannah_low_1,russian corer used,138,139,NA,1.1781,0.14300000000000002,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_low,savannah_low_1,russian corer used,139,140,NA,1.8854,0.14800000000000002,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_low,savannah_low_1,russian corer used,141,142,NA,1.0717,0.153,NA,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,Savannah_River_low,savannah_low_1,russian corer used,142,143,NA,1.8934,0.154,NA,NA,NA,NA,NA,NA,NA,NA
