study_id,method_id,coring_method,compaction_flag,loss_on_ignition_temperature,loss_on_ignition_time,dry_bulk_density_flag,c14_counting_method,age_depth_model_reference
Krauss_et_al_2018,piston corer used,piston corer,compaction quantified,550,1,modeled,AMS,core collection date
Krauss_et_al_2018,vibracore used,vibracore,compaction quantified,550,1,modeled,AMS,core collection date
Krauss_et_al_2018,russian corer used,russian corer,corer limits compaction,550,1,modeled,AMS,core collection date
