study_id,site_id,core_id,year,latitude,longitude,salinity_class,vegetation_class,vegetation_method,habitat,inundation_class,core_length_flag
Krauss_et_al_2018,Savannah,savannah_low_1,2012,32.18,-81.14,oligohaline,emergent,measurement,marsh,low,not specified
Krauss_et_al_2018,Savannah,savannah_mid_2,2012,32.24,-81.15,oligohaline,forested,measurement,upland,mid,not specified
Krauss_et_al_2018,Savannah,savannah_mid_1,2012,32.17,-81.14,oligohaline,emergent,measurement,marsh,low,not specified
Krauss_et_al_2018,Savannah,savannah_high_1,2012,32.238,-81.155,fresh,forested,measurement,upland,high,not specified
Krauss_et_al_2018,Waccamaw,butler_island_1,2011,33.422823,-79.207996,oligohaline,forested to emergent,measurement,scrub/shrub,mid,not specified
Krauss_et_al_2018,Waccamaw,turkey_creek_1,2011,33.35003,-79.3447,oligohaline,emergent,measurement,marsh,low,not specified
Krauss_et_al_2018,Waccamaw,turkey_creek_2,2011,33.34001,-79.34166,oligohaline,forested to emergent,measurement,scrub/shrub,low,not specified
Krauss_et_al_2018,Waccamaw,richmond_island_1,2011,33.55564,-79.08943,fresh,forested,measurement,upland,high,not specified
