study_id,site_id,salinity_class,vegetation_class,vegetation_method,inundation_class
Krauss_et_al_2018,Savannah_River_low,oligohaline,emergent,measurement,low
Krauss_et_al_2018,Savannah_River_mid,oligohaline,forested,measurement,mid
Krauss_et_al_2018,Savannah_River_mid,oligohaline,emergent,measurement,low
Krauss_et_al_2018,Savannah_River_high,fresh,forested,measurement,high
Krauss_et_al_2018,Waccamaw_River_Butler_island,oligohaline,forested to emergent,measurement,mid
Krauss_et_al_2018,Waccamaw_River_Turkey_creek_high,oligohaline,emergent,measurement,low
Krauss_et_al_2018,Waccamaw_River_Turkey_creek_low,oligohaline,forested to emergent,measurement,low
Krauss_et_al_2018,Waccamaw_River_Richmond_island,fresh,forested,measurement,high
