Site_ID, Location,     Core_ID, Date,     Lat,           Lon,           Depth_min, Depth_max, Elevation,          Water_Content, Dry_Bulk_Density, Porosity, TN,    TOC,    C_N,    Carbon_Density, d13C,X18
1,       MARSH,        1,       2015-12,  42.738139413,  -70.847128543, 0,         2,         1.44,               84.7,          0.14,             0.8,      1.5,   20.0,   15.4,   28.2,           nd,NA
1,       MARSH,        1,       2015-12,  42.738139413,  -70.847128543, 2,         4,         1.42,               84.2,          0.16,             0.8,      1.2,   19.6,   18.4,   30.8,           nd,NA
1,       MARSH,        1,       2015-12,  42.738139413,  -70.847128543, 4,         6,         1.40,               84.3,          0.17,             0.9,      1.4,   21.4,   17.7,   37.0,           nd,NA
1,       MARSH,        1,       2015-12,  42.738139413,  -70.847128543, 6,         8,         1.38,               85.0,          0.15,             0.8,      1.3,   21.5,   19.2,   31.4,           nd,NA
1,       MARSH,        1,       2015-12,  42.738139413,  -70.847128543, 8,         10,        1.36,               84.7,          0.16,             0.9,      1.3,   21.9,   19.1,   35.1,           nd,NA
1,       MARSH,        1,       2015-12,  42.738139413,  -70.847128543, 10,        12,        1.34,               84.8,          0.14,             0.8,      1.3,   19.6,   17.8,   27.7,           nd,NA
1,       MARSH,        1,       2015-12,  42.738139413,  -70.847128543, 12,        14,        1.32,               86.6,          0.16,             1.0,      1.2,   22.0,   20.7,   35.7,           nd,NA
1,       MARSH,        1,       2015-12,  42.738139413,  -70.847128543, 14,        16,        1.30,               87.0,          0.12,             0.8,      1.2,   19.9,   19.1,   24.1,           nd,NA
1,       MARSH,        1,       2015-12,  42.738139413,  -70.847128543, 16,        18,        1.28,               89.8,          0.11,             0.9,      1.2,   19.1,   18.2,   20.1,           nd,NA
1,       MARSH,        1,       2015-12,  42.738139413,  -70.847128543, 18,        20,        1.26,               86.4,          0.14,             0.9,      1.4,   21.9,   18.8,   30.6,           nd,NA
