Status,Site_ID,Core_ID,Date,Lat,Lon,Depth_min,Depth_max,Elevation,DBD,210Pb,210Pb_e,226Ra,226Ra_e,210Pbex,210Pbex_e,137Cs,137Cs_e,7Be,7Be_e
MARSH,1,1,12/8/2015,42.73813941,-70.84712854,0,1,1.438,0.11,8.18,0.45,0.25,0.11,7.94,0.46,0,0,10.04,1.84
MARSH,1,1,12/8/2015,42.73813941,-70.84712854,1,2,1.428,0.17,8.64,0.45,0.51,0.11,8.12,0.47,0,0,0,0
MARSH,1,1,12/8/2015,42.73813941,-70.84712854,2,3,1.418,0.14,9.53,0.51,0.72,0.13,8.81,0.53,0,0,0,0
MARSH,1,1,12/8/2015,42.73813941,-70.84712854,3,4,1.408,0.18,10.55,0.42,0,0,10.55,0.42,0,0,0,0
MARSH,1,1,12/8/2015,42.73813941,-70.84712854,4,5,1.398,0.16,14.43,0.53,0.55,0.11,13.88,0.54,0,0,0,0
MARSH,1,1,12/8/2015,42.73813941,-70.84712854,5,6,1.388,0.18,11.91,0.52,0,0,11.91,0.52,0,0,0,0
MARSH,1,1,12/8/2015,42.73813941,-70.84712854,6,7,1.378,0.16,9.03,0.41,0.55,0.12,8.48,0.43,0,0,0,0
MARSH,1,1,12/8/2015,42.73813941,-70.84712854,7,8,1.368,0.13,7.5,0.47,0.58,0.11,6.91,0.48,0,0,0,0
MARSH,1,1,12/8/2015,42.73813941,-70.84712854,8,9,1.358,0.17,7.37,0.35,0.62,0.09,6.74,0.36,0.19,0.06,0,0
MARSH,1,1,12/8/2015,42.73813941,-70.84712854,9,10,1.348,0.15,8.82,0.5,0.49,0.12,8.33,0.52,0,0,0,0
MARSH,1,1,12/8/2015,42.73813941,-70.84712854,10,11,1.338,0.16,10.47,0.62,0.74,0.14,9.73,0.63,0,0,0,0
MARSH,1,1,12/8/2015,42.73813941,-70.84712854,11,12,1.328,0.12,11.8,0.47,0.55,0.11,11.26,0.48,0.21,0.06,0,0
MARSH,1,1,12/8/2015,42.73813941,-70.84712854,12,13,1.318,0.16,10.18,0.63,0.42,0.21,9.76,0.66,0,0,0,0
MARSH,1,1,12/8/2015,42.73813941,-70.84712854,13,14,1.308,0.16,6.57,0.36,0.8,0.1,5.76,0.37,0.3,0.06,0,0
MARSH,1,1,12/8/2015,42.73813941,-70.84712854,14,15,1.298,0.14,5.06,0.42,0.54,0.12,4.53,0.44,0.78,0.09,0,0
MARSH,1,1,12/8/2015,42.73813941,-70.84712854,15,16,1.288,0.11,9.5,0.49,0.97,0.13,8.53,0.51,1.29,0.1,0,0
MARSH,1,1,12/8/2015,42.73813941,-70.84712854,16,17,1.278,0.12,7.2,0.47,1.18,0.15,6.02,0.5,3.24,0.14,0,0
MARSH,1,1,12/8/2015,42.73813941,-70.84712854,17,18,1.268,0.09,6.58,0.48,1.25,0.16,5.33,0.51,2.4,0.16,0,0
MARSH,1,1,12/8/2015,42.73813941,-70.84712854,18,19,1.258,0.12,5.97,0.34,1.1,0.12,4.87,0.36,1.83,0.1,0,0
MARSH,1,1,12/8/2015,42.73813941,-70.84712854,19,20,1.248,0.16,4.4,0.24,0.65,0.08,3.75,0.25,0.85,0.06,0,0
MARSH,1,1,12/8/2015,42.73813941,-70.84712854,20,21,1.238,0.15,3.5,0.24,0.74,0.09,2.75,0.26,0,0,0,0
MARSH,1,1,12/8/2015,42.73813941,-70.84712854,21,22,1.228,0.08,7.71,0.69,1.51,0.25,6.2,0.73,0,0,0,0
MARSH,1,1,12/8/2015,42.73813941,-70.84712854,22,23,1.218,0.2,5.82,0.27,0.65,0.07,5.18,0.28,0,0,0,0
MARSH,1,1,12/8/2015,42.73813941,-70.84712854,23,24,1.208,0.11,3.38,0.41,0.99,0.17,2.39,0.45,0,0,0,0
MARSH,1,1,12/8/2015,42.73813941,-70.84712854,24,25,1.198,0.21,2.59,0.27,0.65,0.08,1.94,0.28,0,0,0,0
MARSH,1,1,12/8/2015,42.73813941,-70.84712854,25,26,1.188,0.15,1.7,0.31,0.48,0.09,1.22,0.33,0,0,0,0
MARSH,1,1,12/8/2015,42.73813941,-70.84712854,26,27,1.178,0.17,1.79,0.28,0.93,0.11,0.86,0.3,0,0,0,0
MARSH,1,1,12/8/2015,42.73813941,-70.84712854,27,28,1.168,0.16,1.99,0.3,0.59,0.08,1.4,0.31,0,0,0,0
MARSH,1,1,12/8/2015,42.73813941,-70.84712854,28,29,1.158,0.19,1.15,0.17,0.68,0.08,0.47,0.19,0,0,0,0
MARSH,1,1,12/8/2015,42.73813941,-70.84712854,29,30,1.148,0.22,1.78,0.21,0.85,0.08,0.92,0.23,0,0,0,0
MARSH,1,1,12/8/2015,42.73813941,-70.84712854,30,32,1.138,0.23,1.08,0.12,0.86,0.05,0.22,0.13,0,0,0,0
MARSH,1,1,12/8/2015,42.73813941,-70.84712854,32,34,1.118,0.23,1.38,0.14,0.88,0.05,0.5,0.15,0,0,0,0
MARSH,1,1,12/8/2015,42.73813941,-70.84712854,34,36,1.098,0.22,1.68,0.18,0.95,0.06,0.73,0.19,0,0,0,0
MARSH,1,2,12/8/2015,42.73818498,-70.84720027,0,1,1.441,0.07,26.19,0.73,1.08,0.15,25.1,0.74,0,0,9.45,2.35
MARSH,1,2,12/8/2015,42.73818498,-70.84720027,1,2,1.431,0.12,14.28,0.56,1.12,0.14,13.17,0.57,0,0,0,0
MARSH,1,2,12/8/2015,42.73818498,-70.84720027,2,3,1.421,0.23,9.98,0.31,0.43,0.07,9.55,0.32,0,0,0,0
MARSH,1,2,12/8/2015,42.73818498,-70.84720027,3,4,1.411,0.21,8.18,0.36,0.46,0.1,7.72,0.38,0,0,0,0
MARSH,1,2,12/8/2015,42.73818498,-70.84720027,4,5,1.401,0.15,8.31,0.42,0.89,0.11,7.42,0.43,0,0,0,0
MARSH,1,2,12/8/2015,42.73818498,-70.84720027,5,6,1.391,0.17,7.37,0.33,0.7,0.08,6.67,0.34,0,0,0,0
MARSH,1,2,12/8/2015,42.73818498,-70.84720027,6,7,1.381,0.16,6.37,0.38,0.55,0.1,5.82,0.39,0,0,0,0
MARSH,1,2,12/8/2015,42.73818498,-70.84720027,7,8,1.371,0.14,6.88,0.36,0.59,0.09,6.29,0.38,0.24,0.06,0,0
MARSH,1,2,12/8/2015,42.73818498,-70.84720027,8,9,1.361,0.16,5.53,0.3,0.59,0.09,4.94,0.32,0,0,0,0
MARSH,1,2,12/8/2015,42.73818498,-70.84720027,9,10,1.351,0.12,3.8,0.37,0.67,0.13,3.14,0.39,0,0,0,0
MARSH,1,2,12/8/2015,42.73818498,-70.84720027,10,11,1.341,0.15,3.19,0.22,0.78,0.08,2.4,0.23,0,0,0,0
MARSH,1,2,12/8/2015,42.73818498,-70.84720027,11,12,1.331,0.13,3.63,0.22,0.94,0.08,2.69,0.23,0,0,0,0
MARSH,1,2,12/8/2015,42.73818498,-70.84720027,12,13,1.321,0.16,3.76,0.24,0.62,0.08,3.15,0.26,0.4,0.04,0,0
MARSH,1,2,12/8/2015,42.73818498,-70.84720027,13,14,1.311,0.11,3.3,0.34,1.14,0.13,2.16,0.37,0.91,0.09,0,0
MARSH,1,2,12/8/2015,42.73818498,-70.84720027,14,15,1.301,0.13,3.76,0.26,0.97,0.09,2.79,0.27,0.82,0.06,0,0
MARSH,1,2,12/8/2015,42.73818498,-70.84720027,15,16,1.291,0.12,4.51,0.4,0.69,0.11,3.82,0.41,0.62,0.1,0,0
MARSH,1,2,12/8/2015,42.73818498,-70.84720027,16,17,1.281,0.13,3.35,0.4,0.72,0.14,2.64,0.42,0,0,0,0
