study_id,site_id,core_id,common_name,species_code
Krauss_et_al_2018c,Savannah_River_high,savannah_high_1,ash,Fraxinus spp
Krauss_et_al_2018c,Savannah_River_high,savannah_high_1,baldcypress,Taxodium distichum
Krauss_et_al_2018c,Savannah_River_high,savannah_high_1,hazel alder,Alnus serrulata
Krauss_et_al_2018c,Savannah_River_high,savannah_high_1,laurel oak,Quercus laurifolia
Krauss_et_al_2018c,Savannah_River_high,savannah_high_1,red maple,Acer rubrum
Krauss_et_al_2018c,Savannah_River_high,savannah_high_1,swamp tupelo,Nyssa biflora
Krauss_et_al_2018c,Savannah_River_high,savannah_high_1,sweetgum,Liquidambar styraciflua
Krauss_et_al_2018c,Savannah_River_high,savannah_high_1,water oak,Quercus nigra
Krauss_et_al_2018c,Savannah_River_high,savannah_high_1,water tupelo,Nyssa aquatica
Krauss_et_al_2018c,Savannah_River_mid,savannah_mid_2,ash,Fraxinus spp
Krauss_et_al_2018c,Savannah_River_mid,savannah_mid_2,baldcypress,Taxodium distichum
Krauss_et_al_2018c,Savannah_River_mid,savannah_mid_1,baldcypress,Taxodium distichum
Krauss_et_al_2018c,Savannah_River_mid,savannah_mid_2,swamp tupelo,Nyssa biflora
Krauss_et_al_2018c,Savannah_River_mid,savannah_mid_1,swamp tupelo,Nyssa biflora
Krauss_et_al_2018c,Savannah_River_mid,savannah_mid_2,waxmyrtle,Morella cerifera
Krauss_et_al_2018c,Savannah_River_mid,savannah_mid_1,waxmyrtle,Morella cerifera
Krauss_et_al_2018a,Waccamaw_River_Butler_island,butler_island_1,ash,Fraxinus spp
Krauss_et_al_2018a,Waccamaw_River_Butler_island,butler_island_1,baldcypress,Taxodium distichum
Krauss_et_al_2018a,Waccamaw_River_Butler_island,butler_island_1,swamp tupelo,Nyssa biflora
Krauss_et_al_2018a,Waccamaw_River_Butler_island,butler_island_1,water tupelo,Nyssa aquatica
Krauss_et_al_2018a,Waccamaw_River_Butler_island,butler_island_1,waxmyrtle,Morella cerifera
Krauss_et_al_2018b,Waccamaw_River_Turkey_creek_high,turkey_creek_1,,Typha latifolia
Krauss_et_al_2018b,Waccamaw_River_Turkey_creek_high,turkey_creek_1,,Scirpus robustus
Krauss_et_al_2018b,Waccamaw_River_Turkey_creek_high,turkey_creek_1,,Schoenoplectus montevidensis
