study_id,site_id,core_id,core_latitude,core_longitude,salinity_class,vegetation_class,vegetation_method,inundation_class
Krauss_et_al_2018c,Savannah_River_low,savannah_low_1,32.18,-81.14,oligohaline,emergent,measurement,low
Krauss_et_al_2018c,Savannah_River_mid,savannah_mid_2,32.24,-81.15,oligohaline,forested,measurement,mid
Krauss_et_al_2018c,Savannah_River_mid,savannah_mid_1,32.17,-81.14,oligohaline,emergent,measurement,low
Krauss_et_al_2018c,Savannah_River_high,savannah_high_1,32.238,-81.155,fresh,forested,measurement,high
Krauss_et_al_2018a,Waccamaw_River_Butler_island,butler_island_1,33.422823,-79.207996,oligohaline,forested to emergent,measurement,mid
Krauss_et_al_2018b,Waccamaw_River_Turkey_creek_high,turkey_creek_1,33.35003,-79.3447,oligohaline,emergent,measurement,low
Krauss_et_al_2018a,Waccamaw_River_Turkey_creek_low,turkey_creek_2,33.34001,-79.34166,oligohaline,forested to emergent,measurement,low
Krauss_et_al_2018a,Waccamaw_River_Richmond_island,richmond_island_1,33.55564,-79.08943,fresh,forested,measurement,high
