study_id,core_id,depth_min,depth_max,dry_bulk_density,fraction_carbon
Craft_2007,Altamaha_River_Site_7_Levee,0,2,0.233,0.09783
Craft_2007,Altamaha_River_Site_7_Levee,2,4,0.3382,0.08271
Craft_2007,Altamaha_River_Site_7_Levee,4,6,0.2923,0.0837
Craft_2007,Altamaha_River_Site_7_Levee,6,8,0.3041,0.08204
Craft_2007,Altamaha_River_Site_7_Levee,8,10,0.2797,0.07927
Craft_2007,Altamaha_River_Site_7_Levee,10,12,0.1931,0.0825
Craft_2007,Altamaha_River_Site_7_Levee,12,14,0.2402,0.07771
Craft_2007,Altamaha_River_Site_7_Levee,14,16,0.3183,0.0797
Craft_2007,Altamaha_River_Site_7_Levee,16,18,0.246,0.09669
Craft_2007,Altamaha_River_Site_7_Levee,18,20,0.3794,0.09225
Craft_2007,Altamaha_River_Site_7_Levee,20,22,0.3396,0.07753
Craft_2007,Altamaha_River_Site_7_Levee,22,24,0.2484,0.07713
Craft_2007,Altamaha_River_Site_7_Levee,24,26,0.4144,0.0654
Craft_2007,Altamaha_River_Site_7_Levee,26,28,0.4408,0.06608
Craft_2007,Altamaha_River_Site_7_Levee,28,30,0.4404,0.06483
Craft_2007,Altamaha_River_Site_7_Plain,0,2,0.249,0.17917
Craft_2007,Altamaha_River_Site_7_Plain,2,4,0.1249,0.19151
Craft_2007,Altamaha_River_Site_7_Plain,4,6,0.1339,0.18289
Craft_2007,Altamaha_River_Site_7_Plain,6,8,0.2352,0.19112
Craft_2007,Altamaha_River_Site_7_Plain,8,10,0.1594,0.18789
Craft_2007,Altamaha_River_Site_7_Plain,10,12,0.1746,0.20993
Craft_2007,Altamaha_River_Site_7_Plain,12,14,0.2329,0.16549
Craft_2007,Altamaha_River_Site_7_Plain,14,16,0.1822,0.15803
Craft_2007,Altamaha_River_Site_7_Plain,16,18,0.2219,0.12306
Craft_2007,Altamaha_River_Site_7_Plain,18,20,0.2166,0.12631
Craft_2007,Altamaha_River_Site_7_Plain,20,22,0.1894,0.10649
Craft_2007,Altamaha_River_Site_7_Plain,22,24,0.3094,0.11706
Craft_2007,Altamaha_River_Site_7_Plain,24,26,0.3161,0.09742
Craft_2007,Altamaha_River_Site_7_Plain,26,28,0.2458,0.08415
Craft_2007,Altamaha_River_Site_7_Plain,28,30,0.2847,0.08404
Craft_2007,Altamaha_River_Site_8_Levee,0,2,0.345,0.11323
Craft_2007,Altamaha_River_Site_8_Levee,2,4,0.2936,0.10094
Craft_2007,Altamaha_River_Site_8_Levee,4,6,0.2646,0.0906
Craft_2007,Altamaha_River_Site_8_Levee,6,8,0.3237,0.09695
Craft_2007,Altamaha_River_Site_8_Levee,8,10,0.2996,0.12418
Craft_2007,Altamaha_River_Site_8_Levee,10,12,0.18,0.1105
Craft_2007,Altamaha_River_Site_8_Levee,12,14,0.2787,0.13279
Craft_2007,Altamaha_River_Site_8_Levee,14,16,0.2762,0.12453
Craft_2007,Altamaha_River_Site_8_Levee,16,18,0.2396,0.12057
Craft_2007,Altamaha_River_Site_8_Levee,18,20,0.3077,0.11159
Craft_2007,Altamaha_River_Site_8_Levee,20,22,0.3642,0.09489
Craft_2007,Altamaha_River_Site_8_Levee,22,24,0.4484,0.08415
Craft_2007,Altamaha_River_Site_8_Levee,24,26,0.3813,0.07364
Craft_2007,Altamaha_River_Site_8_Levee,26,28,0.4029,0.06733
Craft_2007,Altamaha_River_Site_8_Levee,28,30,0.3766,0.06672
Craft_2007,Altamaha_River_Site_8_Plain,0,2,0.1609,0.15895
Craft_2007,Altamaha_River_Site_8_Plain,2,4,0.1494,0.19832
Craft_2007,Altamaha_River_Site_8_Plain,4,6,0.1964,0.19946
Craft_2007,Altamaha_River_Site_8_Plain,6,8,0.2214,0.19256
Craft_2007,Altamaha_River_Site_8_Plain,8,10,0.2205,0.19864
Craft_2007,Altamaha_River_Site_8_Plain,10,12,0.1809,0.1853
Craft_2007,Altamaha_River_Site_8_Plain,12,14,0.1755,0.16972
Craft_2007,Altamaha_River_Site_8_Plain,14,16,0.172,0.17809
Craft_2007,Altamaha_River_Site_8_Plain,16,18,0.1715,0.15211
Craft_2007,Altamaha_River_Site_8_Plain,18,20,0.2013,0.13823
Craft_2007,Altamaha_River_Site_8_Plain,20,22,0.219,0.12681
Craft_2007,Altamaha_River_Site_8_Plain,22,24,0.1959,0.13109
Craft_2007,Altamaha_River_Site_8_Plain,24,26,0.2021,0.12318
Craft_2007,Altamaha_River_Site_8_Plain,26,28,0.1633,0.13709
Craft_2007,Altamaha_River_Site_8_Plain,28,30,0.1539,0.14553
Craft_2007,Altamaha_River_Site_9_Levee,0,2,0.2807,0.08324
Craft_2007,Altamaha_River_Site_9_Levee,2,4,0.2086,0.0958
Craft_2007,Altamaha_River_Site_9_Levee,4,6,0.2123,0.10791
Craft_2007,Altamaha_River_Site_9_Levee,6,8,0.2251,0.10636
Craft_2007,Altamaha_River_Site_9_Levee,8,10,0.282,0.0863
Craft_2007,Altamaha_River_Site_9_Levee,10,12,0.2479,0.10001
Craft_2007,Altamaha_River_Site_9_Levee,12,14,0.1843,0.09892
Craft_2007,Altamaha_River_Site_9_Levee,14,16,0.2809,0.08527
Craft_2007,Altamaha_River_Site_9_Levee,16,18,0.3291,0.07857
Craft_2007,Altamaha_River_Site_9_Levee,18,20,0.2751,0.07518
Craft_2007,Altamaha_River_Site_9_Levee,20,22,0.295,0.06635
Craft_2007,Altamaha_River_Site_9_Levee,22,24,0.3676,0.05429
Craft_2007,Altamaha_River_Site_9_Levee,24,26,0.2393,0.05406
Craft_2007,Altamaha_River_Site_9_Levee,26,28,0.3707,0.04695
Craft_2007,Altamaha_River_Site_9_Levee,28,30,0.2547,0.04558
Craft_2007,Altamaha_River_Site_9_Plain,0,2,0.2326,0.06328
Craft_2007,Altamaha_River_Site_9_Plain,2,4,0.241,0.05157
Craft_2007,Altamaha_River_Site_9_Plain,4,6,0.3914,0.05475
Craft_2007,Altamaha_River_Site_9_Plain,6,8,0.4769,0.03081
Craft_2007,Altamaha_River_Site_9_Plain,8,10,0.2508,0.05019
Craft_2007,Altamaha_River_Site_9_Plain,10,12,0.2917,0.05535
Craft_2007,Altamaha_River_Site_9_Plain,12,14,0.5593,0.0364
Craft_2007,Altamaha_River_Site_9_Plain,14,16,0.5345,0.02163
Craft_2007,Altamaha_River_Site_9_Plain,16,18,0.5414,0.02593
Craft_2007,Altamaha_River_Site_9_Plain,18,20,0.4578,0.03642
Craft_2007,Altamaha_River_Site_9_Plain,20,22,0.3825,0.03272
Craft_2007,Altamaha_River_Site_9_Plain,22,24,0.3254,0.03131
Craft_2007,Altamaha_River_Site_9_Plain,24,26,0.4022,0.03836
Craft_2007,Altamaha_River_Site_9_Plain,26,28,0.3402,0.03809
Craft_2007,Altamaha_River_Site_9_Plain,28,30,0.2749,0.04316
Craft_2007,Doboy_Sound_Site_4_Levee,0,2,0.4571,0.03754
Craft_2007,Doboy_Sound_Site_4_Levee,2,4,0.749,0.01897
Craft_2007,Doboy_Sound_Site_4_Levee,4,6,0.8129,0.01951
Craft_2007,Doboy_Sound_Site_4_Levee,6,8,0.8284,0.01789
Craft_2007,Doboy_Sound_Site_4_Levee,8,10,0.9012,0.01611
Craft_2007,Doboy_Sound_Site_4_Levee,10,12,1.0639,0.01748
Craft_2007,Doboy_Sound_Site_4_Levee,12,14,0.9888,0.01946
Craft_2007,Doboy_Sound_Site_4_Levee,14,16,1.1393,0.01337
