"","study_id","site_id","core_id","species_code"
"1","Craft_2007",NA,"Altamaha_River_Site_7_Levee","Zizaniopsis milaceae"
"2","Craft_2007",NA,"Altamaha_River_Site_7_Plain","Zizaniopsis milaceae"
"3","Craft_2007",NA,"Altamaha_River_Site_8_Levee","Spartina cynosuroides"
"4","Craft_2007",NA,"Altamaha_River_Site_8_Levee","Juncus roemerianus"
"5","Craft_2007",NA,"Altamaha_River_Site_8_Plain","Spartina cynosuroides"
"6","Craft_2007",NA,"Altamaha_River_Site_8_Plain","Juncus roemerianus"
"7","Craft_2007",NA,"Altamaha_River_Site_9_Levee","Spartina alterniflora"
"8","Craft_2007",NA,"Altamaha_River_Site_9_Levee","Juncus roemerianus"
"9","Craft_2007",NA,"Altamaha_River_Site_9_Plain","Spartina alterniflora"
"10","Craft_2007",NA,"Altamaha_River_Site_9_Plain","Juncus roemerianus"
"11","Craft_2007",NA,"Doboy_Sound_Site_4_Levee","Spartina alterniflora"
"12","Craft_2007",NA,"Doboy_Sound_Site_4_Plain","Spartina alterniflora"
"13","Craft_2007",NA,"Doboy_Sound_Site_5_Levee","Spartina alterniflora"
"14","Craft_2007",NA,"Doboy_Sound_Site_5_Plain","Spartina alterniflora"
"15","Craft_2007",NA,"Doboy_Sound_Site_6_Levee","Spartina alterniflora"
"16","Craft_2007",NA,"Doboy_Sound_Site_6_Plain","Spartina alterniflora"
"17","Craft_2007",NA,"Sapelo_River_Site_1_Levee","Spartina alterniflora"
"18","Craft_2007",NA,"Sapelo_River_Site_1_Levee","Juncus roemerianus"
"19","Craft_2007",NA,"Sapelo_River_Site_1_Plain","Spartina alterniflora"
"20","Craft_2007",NA,"Sapelo_River_Site_1_Plain","Juncus roemerianus"
"21","Craft_2007",NA,"Sapelo_River_Site_2_Levee","Spartina alterniflora"
"22","Craft_2007",NA,"Sapelo_River_Site_2_Plain","Spartina alterniflora"
"23","Craft_2007",NA,"Sapelo_River_Site_3_Levee","Spartina alterniflora"
"24","Craft_2007",NA,"Sapelo_River_Site_3_Plain","Spartina alterniflora"
