site_n,site_id,core_date,month,day,year,latitude,longitude
1,Oyster,8/5/16,8,5,2016,34.827507,-76.459886
2,Tusk,8/9/16,8,9,2016,34.746557,-76.512871
3,Sleepy,7/21/16,7,21,2016,34.732907,-76.527258
4,Ward,7/20/16,7,20,2016,34.791042,-76.566637
5,Ware,9/16/16,9,16,2016,34.77611,-76.67374
6,Gales,7/28/16,7,28,2016,34.732679,-76.907815
7,Futch,10/5/16,10,5,2016,34.304563,-77.752908
8,Pages,10/4/16,10,4,2016,34.281334,-77.777964
9,Howe,9/20/16,9,20,2016,34.25586,-77.80646
10,Bradley,9/20/16,9,20,2016,34.21834,-77.83934
11,Hewletts,9/12/16,9,12,2016,34.19279,-77.858891
12,Whiskey,9/12/16,9,12,2016,34.15864,-77.862412
