site_n,site_id,creek_type,elevation
1,Oyster,Tributary,0.19
2,Tusk,Tributary,0.17
3,Sleepy,Tributary,0.12
4,Ward,Tributary,0.44
5,Ware,Tributary,0.16
6,Gales,Tributary,0.05
7,Futch,Coastal Prism,0.23
8,Pages,Coastal Prism,-0.23
9,Howe,Coastal Prism,0.23
10,Bradley,Coastal Prism,0.11
11,Hewletts,Coastal Prism,0.17
12,Whiskey,Coastal Prism,0.21
