study_id,site_id,core_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter,fraction_carbon,cs137_activity,cs137_activity_se,depth_interval_notes,fraction_nitrogen
Piazza_et_al_2020,CRMS0128,0128_1,0,2,0.111,0.5602389999999999,0.234923,11.3614,5.9149,NA,0.016801
Piazza_et_al_2020,CRMS0128,0128_1,2,4,0.1236,0.630635,0.290962,10.0859,2.2795,NA,0.018456999999999998
Piazza_et_al_2020,CRMS0128,0128_1,4,6,0.1249,0.62,0.276619,25.0827,7.3878,NA,0.016265
Piazza_et_al_2020,CRMS0128,0128_1,6,8,0.1325,0.576538,0.262974,4.5625,19.8601,NA,0.014891000000000001
Piazza_et_al_2020,CRMS0128,0128_1,8,10,0.1259,0.6342260000000001,0.299663,7.3956,3.1949,NA,0.015139
Piazza_et_al_2020,CRMS0128,0128_1,10,12,0.1412,0.573956,0.27547499999999997,20.1515,2.7701,NA,0.01615
Piazza_et_al_2020,CRMS0128,0128_1,12,14,0.168,0.46719900000000003,0.200634,20.6859,5.1715,NA,0.013545
Piazza_et_al_2020,CRMS0128,0128_1,14,16,0.1123,0.698673,0.319216,33.4505,3.5458,NA,0.019285
Piazza_et_al_2020,CRMS0128,0128_1,16,18,0.1176,0.65927499999999994,0.3054,58.2504,6.2411,NA,0.017802
Piazza_et_al_2020,CRMS0128,0128_1,18,20,0.192,0.42550600000000005,0.189038,84.5584,6.5942,NA,0.012346999999999999
Piazza_et_al_2020,CRMS0128,0128_1,20,22,0.1826,0.416201,0.173773,118.9766,5.1587,NA,0.012797000000000001
Piazza_et_al_2020,CRMS0128,0128_1,22,24,0.1891,0.441219,0.19470700000000002,151.6575,4.0619,NA,0.014861
Piazza_et_al_2020,CRMS0128,0128_1,24,26,0.1767,0.46301000000000003,0.21425899999999998,163.8486,4.8155,NA,0.016886
Piazza_et_al_2020,CRMS0128,0128_1,26,28,0.1745,0.5183599999999999,0.24576599999999998,166.4924,4.8411,NA,0.019607
Piazza_et_al_2020,CRMS0128,0128_1,28,30,0.1505,0.5824320000000001,0.241698,123.4171,4.3211,NA,0.01768
Piazza_et_al_2020,CRMS0128,0128_1,30,32,0.2034,0.416558,0.182847,86.2338,2.6177,NA,0.014558999999999999
Piazza_et_al_2020,CRMS0128,0128_1,32,34,0.2251,0.362528,0.14932700000000002,54.0057,3.7817,NA,0.012485999999999999
Piazza_et_al_2020,CRMS0128,0128_1,34,36,0.1698,0.570281,0.250071,46.9815,3.8509,NA,0.01587
Piazza_et_al_2020,CRMS0128,0128_1,36,38,0.1251,0.6837350000000001,0.304659,68.9141,6.2817,NA,0.018362
Piazza_et_al_2020,CRMS0128,0128_1,38,40,0.1439,0.588826,0.275835,20.7205,6.2948,NA,0.016855
Piazza_et_al_2020,CRMS0128,0128_1,40,42,0.168,0.554048,0.26622,29.373,2.4137,NA,0.015044
Piazza_et_al_2020,CRMS0128,0128_2,0,2,0.1428,0.33631500000000003,0.14398999999999998,43.6321,3.6135,NA,0.010058000000000001
Piazza_et_al_2020,CRMS0128,0128_2,2,4,0.1883,0.357678,0.155699,15.6459,10.9483,NA,0.014197999999999999
Piazza_et_al_2020,CRMS0128,0128_2,4,6,0.1097,0.6154379999999999,0.157351,10.0451,2.1115,NA,0.034191
