"[Abbreviations: ID, identification; g-water/g-wet, grams of water per grams of wet sediment; cm^3-voids/cm^3-wet, cubic centimeters of voids per cubic centimeter of wet sediment; g/cm^3, grams per cubic centimeter; g-OM/g-dry, grams of organic matter per gram of dry sediment]",,,,,,
Core ID,"Depth
 (cm)","Water 
Content 
(g-water/g-wet)",Porosity (cm^3-voids/cm^3-wet),"Dry Bulk 
Density 
(g/cm^3)","Loss On 
Ignition 
(g-OM/g-dry)",
16CCT07-GB301M,0-1,0.27,0.48,1.26,0.023,
16CCT07-GB301M,1-2,0.32,0.54,1.09,0.035,
16CCT07-GB301M,1-2a,,,,0.034,
16CCT07-GB301M,2-3,0.33,0.55,1.08,0.035,
16CCT07-GB301M,3-4,0.34,0.56,1.05,0.037,
16CCT07-GB301M,4-5,0.35,0.57,1.02,0.042,
16CCT07-GB301M,5-6,0.36,0.59,0.99,0.048,
16CCT07-GB301M,6-7,0.37,0.59,0.98,0.045,
16CCT07-GB301M,6-7a,,,,0.052,
16CCT07-GB301M,7-8,0.36,0.59,1.00,0.043,
16CCT07-GB301M,8-9,0.37,0.60,0.96,0.057,
16CCT07-GB301M,9-10,0.39,0.61,0.91,0.061,
16CCT07-GB301M,10-11,0.41,0.64,0.86,0.069,
16CCT07-GB301M,11-12,0.42,0.65,0.84,0.072,
16CCT07-GB301M,11-12a,,,,0.082,
16CCT07-GB301M,12-13,0.44,0.66,0.78,0.080,
16CCT07-GB301M,13-14,0.46,0.68,0.73,0.105,
16CCT07-GB301M,14-15,0.45,0.67,0.76,0.076,
16CCT07-GB301M,15-16,0.42,0.64,0.82,0.071,
16CCT07-GB301M,16-17,0.37,0.60,0.96,0.044,
16CCT07-GB301M,16-17a,,,,0.045,
16CCT07-GB301M,17-18,0.39,0.61,0.92,0.050,
16CCT07-GB301M,18-19,0.44,0.67,0.80,0.072,
16CCT07-GB301M,19-20,0.54,0.74,0.59,0.094,
16CCT07-GB301M,20-21,0.57,0.77,0.52,0.111,
16CCT07-GB301M,20-21a,,,,0.107,
16CCT07-GB301M,21-22,0.57,0.77,0.52,0.117,
16CCT07-GB301M,22-23,0.57,0.77,0.53,0.116,
16CCT07-GB301M,23-24,0.53,0.74,0.61,0.095,
16CCT07-GB301M,24-25,0.50,0.72,0.66,0.085,
16CCT07-GB301M,24-25a,,,,0.082,
16CCT07-GB301M,25-26,0.58,0.77,0.51,0.115,
16CCT07-GB301M,26-27,0.55,0.75,0.58,0.102,
16CCT07-GB301M,27-28,0.52,0.73,0.62,0.096,
16CCT07-GB301M,28-29,0.52,0.73,0.61,0.097,
16CCT07-GB301M,29-30,0.47,0.69,0.72,0.080,
16CCT07-GB301M,30-31,0.41,0.63,0.87,0.057,
16CCT07-GB301M,30-31a,,,,0.056,
16CCT07-GB301M,31-32,0.39,0.61,0.94,0.048,
16CCT07-GB301M,32-33,0.40,0.63,0.88,0.055,
16CCT07-GB301M,33-34,0.43,0.66,0.80,0.065,
16CCT07-GB301M,34-35,0.42,0.64,0.85,0.056,
16CCT07-GB301M,35-36,0.37,0.59,0.97,0.044,
16CCT07-GB301M,36-37a,,,,0.044,
16CCT07-GB301M,36-37,0.35,0.58,1.01,0.045,
16CCT07-GB301M,37-38,0.32,0.54,1.10,0.038,
16CCT07-GB301M,38-39,0.31,0.53,1.13,0.039,
,,,,,,
,,,,,,
16CCT07-GB302M,0-1,0.53,0.74,0.63,0.078,
16CCT07-GB302M,1-2,0.48,0.70,0.70,0.067,
16CCT07-GB302M,2-3,0.53,0.74,0.60,0.096,
16CCT07-GB302M,3-4,0.48,0.70,0.70,0.076,
16CCT07-GB302M,3-4a,,,,0.076,
16CCT07-GB302M,4-5,0.45,0.67,0.77,0.071,
16CCT07-GB302M,5-6,0.41,0.64,0.85,0.056,
16CCT07-GB302M,6-7,0.42,0.65,0.84,0.061,
16CCT07-GB302M,7-8,0.46,0.68,0.75,0.073,
16CCT07-GB302M,8-9,0.49,0.71,0.68,0.084,
16CCT07-GB302M,8-9a,,,,0.083,
16CCT07-GB302M,9-10,0.55,0.75,0.56,0.106,
16CCT07-GB302M,10-11,0.56,0.76,0.57,0.106,
16CCT07-GB302M,11-12,0.53,0.74,0.59,0.094,
16CCT07-GB302M,12-13,0.53,0.74,0.62,0.094,
16CCT07-GB302M,12-13a,,,,0.093,
16CCT07-GB302M,13-14,0.56,0.76,0.54,0.112,
16CCT07-GB302M,14-15,0.60,0.79,0.48,0.127,
16CCT07-GB302M,15-16,0.67,0.83,0.36,0.167,
16CCT07-GB302M,16-17,0.64,0.82,0.41,0.150,
16CCT07-GB302M,17-18,0.61,0.80,0.45,0.134,
16CCT07-GB302M,18-19,0.53,0.73,0.61,0.079,
16CCT07-GB302M,18-19a,,,,0.085,
16CCT07-GB302M,19-20,0.48,0.70,0.69,0.067,
16CCT07-GB302M,20-21,0.54,0.74,0.60,0.090,
16CCT07-GB302M,21-22,0.58,0.78,0.51,0.104,
16CCT07-GB302M,22-23,0.54,0.74,0.60,0.083,
16CCT07-GB302M,23-24,0.54,0.75,0.59,0.084,
16CCT07-GB302M,24-25,0.55,0.75,0.58,0.091,
16CCT07-GB302M,24-25a,,,,0.092,
16CCT07-GB302M,25-26,0.53,0.74,0.60,0.088,
16CCT07-GB302M,26-27,0.48,0.70,0.71,0.074,
16CCT07-GB302M,27-28,0.48,0.70,0.71,0.081,
16CCT07-GB302M,28-29,0.45,0.67,0.76,0.067,
16CCT07-GB302M,29-30,0.44,0.67,0.79,0.107,
16CCT07-GB302M,29-30a,,,,0.072,
16CCT07-GB302M,30-31,0.47,0.69,0.76,0.083,
16CCT07-GB302M,31-32,0.47,0.69,0.72,0.090,
16CCT07-GB302M,32-33,0.49,0.70,0.70,0.089,
16CCT07-GB302M,33-34,0.43,0.66,0.81,0.063,
16CCT07-GB302M,33-34a,,,,0.059,
16CCT07-GB302M,34-35,0.40,0.62,0.88,0.054,
16CCT07-GB302M,35-36,0.39,0.62,0.91,0.069,
16CCT07-GB302M,36-37,0.36,0.58,0.99,0.048,
16CCT07-GB302M,37-38,0.35,0.58,1.01,0.043,
16CCT07-GB302M,38-39,0.36,0.58,0.99,0.045,
16CCT07-GB302M,38-39a,,,,0.045,
16CCT07-GB302M,39-40,0.36,0.58,1.00,0.044,
16CCT07-GB302M,40-41,0.35,0.57,1.00,0.042,
16CCT07-GB302M,41-42,0.33,0.55,1.08,0.037,
16CCT07-GB302M,42-43,0.32,0.54,1.09,0.035,
16CCT07-GB302M,43-44,0.32,0.54,1.12,0.034,
16CCT07-GB302M,44-45,0.32,0.55,1.07,0.037,
16CCT07-GB302M,44-45a,,,,0.036,
16CCT07-GB302M,45-46,0.33,0.55,1.08,0.038,
16CCT07-GB302M,46-47,0.32,0.54,1.12,0.037,
16CCT07-GB302M,47-48,0.33,0.55,1.06,0.040,
16CCT07-GB302M,48-49,0.32,0.54,1.11,0.038,
16CCT07-GB302M,49-50,0.29,0.50,1.19,0.033,
16CCT07-GB302M,50-51,0.27,0.48,1.27,0.032,
16CCT07-GB302M,50-51a,,,,0.032,
16CCT07-GB302M,51-52,0.26,0.47,1.27,0.033,
,,,,,,
,,,,,,
16CCT07-GB303M,0-1,0.44,0.66,0.48,0.142,
16CCT07-GB303M,1-2,0.56,0.76,0.55,0.112,
16CCT07-GB303M,2-3,0.63,0.81,0.43,0.162,
16CCT07-GB303M,3-4,0.57,0.77,0.52,0.120,
16CCT07-GB303M,4-5,0.51,0.72,0.64,0.091,
16CCT07-GB303M,4-5a,,,,0.085,
16CCT07-GB303M,5-6,0.48,0.70,0.67,0.090,
16CCT07-GB303M,6-7,0.48,0.70,0.69,0.094,
16CCT07-GB303M,7-8,0.51,0.72,0.66,0.099,
16CCT07-GB303M,8-9,0.52,0.73,0.65,0.113,
16CCT07-GB303M,8-9a,,,,0.109,
16CCT07-GB303M,9-10,0.53,0.74,0.60,0.116,
16CCT07-GB303M,10-11,0.53,0.74,0.60,0.133,
16CCT07-GB303M,11-12,0.53,0.74,0.60,0.111,
16CCT07-GB303M,12-13,0.51,0.72,0.64,0.098,
16CCT07-GB303M,12-13a,,,,0.089,
16CCT07-GB303M,13-14,0.56,0.76,0.54,0.123,
16CCT07-GB303M,14-15,0.56,0.76,0.53,0.120,
16CCT07-GB303M,15-16,0.62,0.80,0.45,0.150,
16CCT07-GB303M,16-17,0.70,0.85,0.33,0.203,
16CCT07-GB303M,17-18,0.66,0.83,0.39,0.155,
16CCT07-GB303M,18-19,0.61,0.80,0.46,0.124,
16CCT07-GB303M,19-20,0.55,0.76,0.57,0.098,
16CCT07-GB303M,19-20a,,,,0.096,
16CCT07-GB303M,20-21,0.53,0.74,0.59,0.090,
16CCT07-GB303M,21-22,0.51,0.73,0.62,0.083,
16CCT07-GB303M,22-23,0.47,0.69,0.74,0.061,
16CCT07-GB303M,22-23a,,,,0.066,
16CCT07-GB303M,23-24,0.50,0.71,0.66,0.067,
16CCT07-GB303M,24-25,0.52,0.73,0.62,0.078,
16CCT07-GB303M,25-26,0.55,0.75,0.58,0.105,
16CCT07-GB303M,26-27,0.46,0.68,0.77,0.073,
16CCT07-GB303M,27-28,0.48,0.69,0.72,0.082,
16CCT07-GB303M,27-28a,,,,0.082,
16CCT07-GB303M,28-29,0.46,0.68,0.74,0.076,
16CCT07-GB303M,29-30,0.45,0.67,0.78,0.076,
16CCT07-GB303M,30-31,0.45,0.67,0.79,0.073,
16CCT07-GB303M,31-32,0.45,0.67,0.79,0.070,
16CCT07-GB303M,32-33,0.44,0.66,0.81,0.064,
16CCT07-GB303M,33-34,0.41,0.64,0.88,0.053,
16CCT07-GB303M,33-34a,,,,0.050,
16CCT07-GB303M,34-35,0.36,0.59,1.02,0.039,
16CCT07-GB303M,35-36,0.34,0.56,1.04,0.034,
16CCT07-GB303M,36-37,0.35,0.57,1.04,0.036,
16CCT07-GB303M,37-38,0.36,0.59,0.99,0.039,
16CCT07-GB303M,37-38a,,,,0.038,
16CCT07-GB303M,38-39,0.37,0.60,0.97,0.052,
16CCT07-GB303M,39-40,0.32,0.54,1.12,0.030,
16CCT07-GB303M,40-41,0.31,0.53,1.16,0.028,
16CCT07-GB303M,40-41a,,,,0.028,
16CCT07-GB303M,41-42,0.32,0.55,1.10,0.031,
16CCT07-GB303M,42-43,0.31,0.53,1.14,0.029,
16CCT07-GB303M,43-44,0.32,0.54,1.15,0.031,
16CCT07-GB303M,44-45,0.31,0.53,1.11,0.031,
16CCT07-GB303M,45-46,0.31,0.53,1.17,0.033,
16CCT07-GB303M,46-47,0.31,0.53,1.13,0.034,
16CCT07-GB303M,46-47a,,,,0.034,
16CCT07-GB303M,47-48,0.30,0.52,1.16,0.034,
16CCT07-GB303M,48-49,0.28,0.50,1.19,0.032,
16CCT07-GB303M,49-50,0.30,0.51,1.16,0.040,
,,,,,,
,,,,,,
16CCT07-GB304M,Top*,0.71,0.86,0.33,0.127,
16CCT07-GB304M,0-1,0.50,0.71,0.68,0.080,
16CCT07-GB304M,1-2,0.48,0.70,0.68,0.075,
16CCT07-GB304M,1-2a,,,,0.071,
16CCT07-GB304M,2-3,0.51,0.72,0.65,0.083,
