Species,Setting,n,Depth_cm,BD_g_cm3_mean,BD_g_cm3_se,OC_perc_mean,OC_perc_se,,,,
Tidal marsh,Mixed geomorphic setting,21,0-10,0.94,0.05,2.93,0.26,,,,
Tidal marsh,Mixed geomorphic setting,21,10-20',0.86,0.03,2.94,0.25,,,,
Tidal marsh,Mixed geomorphic setting,21,20-30,0.92,0.03,2.43,0.29,,,,
Tidal marsh,Mixed geomorphic setting,21,30-50,0.92,0.03,2.27,0.28,,,,
Tidal marsh,Mixed geomorphic setting,21,50-75,1,0.03,2.38,0.21,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
