country,new_cores_added
Bangladesh,11
Brazil,281
Cambodia,145
Cameroon,6
Colombia,1
Costa Rica,144
Dominican Republic,3
Ecuador,36
Fiji,2
Ghana,36
India,296
Indonesia,702
Malaysia,41
Mexico,116
Palau,16
Philippines,91
Senegal,36
South Africa,1567
Thailand,184
Vietnam,314
