study_id,site_id,site_longitude_max,site_longitude_min,site_latitude_max,site_latitude_min
Trettin_et_al_2017,1001,36.240201,36.240201,-18.831799,-18.831799
Trettin_et_al_2017,1079,36.264355,36.264355,-18.840148,-18.840148
Trettin_et_al_2017,1113,36.213549,36.213549,-18.845148,-18.845148
Trettin_et_al_2017,1130,36.306805,36.306805,-18.845914,-18.845914
Trettin_et_al_2017,1216,36.123515,36.123515,-18.854252,-18.854252
Trettin_et_al_2017,1219,36.237751,36.237751,-18.854268,-18.854268
Trettin_et_al_2017,1254,36.269428,36.269428,-18.860066,-18.860066
Trettin_et_al_2017,1285,36.141464,36.141464,-18.86529,-18.86529
Trettin_et_al_2017,13,36.112,36.112,-18.744,-18.744
Trettin_et_al_2017,1305,36.282128,36.282128,-18.868526,-18.868526
Trettin_et_al_2017,1314,36.20356,36.20356,-18.870943,-18.870943
Trettin_et_al_2017,1317,36.280204,36.280204,-18.871772,-18.871772
Trettin_et_al_2017,1359,36.152707,36.152707,-18.87926,-18.87926
Trettin_et_al_2017,1361,36.168942,36.168942,-18.881442,-18.881442
Trettin_et_al_2017,1382,36.174246,36.174246,-18.88302,-18.88302
Trettin_et_al_2017,15,36.119,36.119,-18.743,-18.743
Trettin_et_al_2017,16,36.128,36.128,-18.743,-18.743
Trettin_et_al_2017,17,36.115,36.115,-18.75,-18.75
Trettin_et_al_2017,25,36.144,36.144,-18.76,-18.76
Trettin_et_al_2017,26,36.139,36.139,-18.762,-18.762
Trettin_et_al_2017,27,36.15,36.15,-18.766,-18.766
Trettin_et_al_2017,29,36.151,36.151,-18.767,-18.767
Trettin_et_al_2017,32B,36.21,36.21,-18.746,-18.746
Trettin_et_al_2017,35,36.216,36.216,-18.747,-18.747
Trettin_et_al_2017,36,36.223,36.223,-18.746,-18.746
Trettin_et_al_2017,37,36.214,36.214,-18.752,-18.752
Trettin_et_al_2017,806,36.3035,36.3035,-18.808457,-18.808457
Trettin_et_al_2017,864,36.24601,36.24601,-18.818504,-18.818504
Trettin_et_al_2017,9001,36.264041,36.264041,-18.831602,-18.831602
Trettin_et_al_2017,9002,36.26043,36.26043,-18.850342,-18.850342
Trettin_et_al_2017,9003,36.275058,36.275058,-18.875474,-18.875474
Trettin_et_al_2017,9004,36.18594,36.18594,-18.833962,-18.833962
Trettin_et_al_2017,9005,36.218115,36.218115,-18.824439,-18.824439
Trettin_et_al_2017,9006,36.270942,36.270942,-18.870643,-18.870643
Trettin_et_al_2017,9007,36.132373,36.132373,-18.822449,-18.822449
Trettin_et_al_2017,9008,36.128404,36.128404,-18.812733,-18.812733
Trettin_et_al_2017,9009,36.118808,36.118808,-18.845133,-18.845133
Trettin_et_al_2017,9010,36.177483,36.177483,-18.891503,-18.891503
Trettin_et_al_2017,9011,36.170079,36.170079,-18.884576,-18.884576
Trettin_et_al_2017,9012,36.16247,36.16247,-18.895905,-18.895905
Trettin_et_al_2017,9013,36.21079,36.21079,-18.873529,-18.873529
Trettin_et_al_2017,9014,36.205854,36.205854,-18.881318,-18.881318
Trettin_et_al_2017,9017,36.186352,36.186352,-18.869369,-18.869369
Trettin_et_al_2017,9018,36.182005,36.182005,-18.865541,-18.865541
Trettin_et_al_2017,9019,36.185503,36.185503,-18.881049,-18.881049
Trettin_et_al_2017,9020,36.221288,36.221288,-18.864463,-18.864463
Trettin_et_al_2017,9021,36.141405,36.141405,-18.868706,-18.868706
Trettin_et_al_2017,9022,36.132076,36.132076,-18.84346,-18.84346
Trettin_et_al_2017,9023,36.152977,36.152977,-18.88562,-18.88562
Trettin_et_al_2017,9024,36.211684,36.211684,-18.823362,-18.823362
Trettin_et_al_2017,9025,36.278995,36.278995,-18.851282,-18.851282
Trettin_et_al_2017,9027,36.166532,36.166532,-18.860388,-18.860388
