study_id,site_id,core_id,depth_min,depth_max,dry_bulk_density,fraction_carbon
Trettin_et_al_2017,1001,1001_1,2,7,0.668,0.0311
Trettin_et_al_2017,1001,1001_1,24,29,0.567,0.012199999999999999
Trettin_et_al_2017,1001,1001_1,35,40,0.584,0.0225
Trettin_et_al_2017,1001,1001_1,70,75,0.8,0.023799999999999998
Trettin_et_al_2017,1001,1001_1,145,150,0.703,0.025
Trettin_et_al_2017,1001,1001_1,193,198,0.868,0.0236
Trettin_et_al_2017,1001,1001_2,5,10,0.706,0.031400000000000004
Trettin_et_al_2017,1001,1001_2,22,27,0.76,0.028399999999999998
Trettin_et_al_2017,1001,1001_2,35,40,0.61,0.019299999999999998
Trettin_et_al_2017,1001,1001_2,70,75,0.872,0.0215
Trettin_et_al_2017,1001,1001_2,144,149,0.74,0.0181
Trettin_et_al_2017,1001,1001_2,185,190,0.607,0.0183
Trettin_et_al_2017,1001,1001_3,5,10,0.977,0.0181
Trettin_et_al_2017,1001,1001_3,20,25,0.646,0.028900000000000002
Trettin_et_al_2017,1001,1001_3,35,40,0.613,0.026099999999999998
Trettin_et_al_2017,1001,1001_3,70,75,0.707,0.0235
Trettin_et_al_2017,1001,1001_3,145,150,0.903,0.0218
Trettin_et_al_2017,1001,1001_3,188,193,0.92,0.0233
Trettin_et_al_2017,1001,1001_4,5,10,0.696,0.022000000000000002
Trettin_et_al_2017,1001,1001_4,20,25,0.674,0.020099999999999996
Trettin_et_al_2017,1001,1001_4,35,40,0.893,0.0148
Trettin_et_al_2017,1001,1001_4,70,75,0.696,0.0152
Trettin_et_al_2017,1001,1001_4,70,75,0.874,0.021
Trettin_et_al_2017,1001,1001_4,145,150,0.707,0.021
Trettin_et_al_2017,1001,1001_4,190,195,0.901,0.0126
Trettin_et_al_2017,1001,1001_5,5,10,0.874,0.0163
Trettin_et_al_2017,1001,1001_5,20,25,0.993,0.015
Trettin_et_al_2017,1001,1001_5,35,40,0.923,0.0143
Trettin_et_al_2017,1001,1001_5,70,75,0.92,0.0219
Trettin_et_al_2017,1001,1001_5,140,145,0.653,0.0225
Trettin_et_al_2017,1001,1001_5,190,195,0.814,0.0196
Trettin_et_al_2017,1079,1079_1,5,10,0.67,0.024399999999999998
Trettin_et_al_2017,1079,1079_1,20,25,0.675,0.0204
Trettin_et_al_2017,1079,1079_1,35,40,0.788,0.018600000000000002
Trettin_et_al_2017,1079,1079_1,70,75,1.021,0.016
Trettin_et_al_2017,1079,1079_1,145,150,1.13,0.0134
Trettin_et_al_2017,1079,1079_1,190,195,1.062,0.014499999999999999
Trettin_et_al_2017,1079,1079_2,5,10,0.595,0.0298
Trettin_et_al_2017,1079,1079_2,20,25,0.631,0.024
Trettin_et_al_2017,1079,1079_2,35,40,0.662,0.025
Trettin_et_al_2017,1079,1079_2,70,75,0.826,0.0175
Trettin_et_al_2017,1079,1079_2,145,150,0.92,0.0171
Trettin_et_al_2017,1079,1079_2,190,195,1.053,0.013999999999999999
Trettin_et_al_2017,1079,1079_3,5,10,0.681,0.0326
Trettin_et_al_2017,1079,1079_3,20,25,0.749,0.0218
Trettin_et_al_2017,1079,1079_3,35,40,0.678,0.0297
Trettin_et_al_2017,1079,1079_3,70,75,0.832,0.0207
Trettin_et_al_2017,1079,1079_3,145,150,1.22,0.011399999999999999
Trettin_et_al_2017,1079,1079_3,180,185,0.89,0.0192
Trettin_et_al_2017,1079,1079_4,10,15,0.475,0.0297
Trettin_et_al_2017,1079,1079_4,20,25,0.776,0.019799999999999998
Trettin_et_al_2017,1079,1079_4,35,40,0.639,0.0278
