Site                        ,Geomorphic Setting,Core ID,Sample ID,Pre-ignition sample weight (g),Sample Loss (g),%LOI,Core ID,Sample ID,Mass (mg),%OC,mgC
Culham Inlet,Fluvial,CO68,1,3.77,0.61,16.13,CO68,1,24.61,6.5,1.6
Culham Inlet,Fluvial,CO68,4,3.8,0.35,9.28,CO68,4,25.22,3.24,0.82
Culham Inlet,Fluvial,CO68,7,3.95,0.1,2.44,CO68,7,60.25,0.75,0.45
Culham Inlet,Fluvial,CO68,10,3.75,0.14,3.76,CO68,10,60.93,1.19,0.73
Culham Inlet,Fluvial,CO68,15,3.94,0.13,3.18,CO68,15,95.75,0.49,0.47
Culham Inlet,Fluvial,CO68,20,4.36,0.13,3.04,CO68,20,93.96,0.38,0.36
Culham Inlet,Fluvial,CO68,26_30,3.97,0.16,4.15,CO68,25-30,92.77,0.29,0.27
Culham Inlet,Fluvial,CO68,41_45,4.19,0.07,1.58,CO68,40-45,91.45,0.14,0.13
Culham Inlet,Fluvial,CO68,56_60,3.93,0.05,1.37,CO68,55-60,93.75,0.09,0.08
Culham Inlet,Marine,CO45,1,4.04,0.43,10.56,CO45,1,28.59,2.66,0.76
Culham Inlet,Marine,CO45,4,3.97,0.22,5.42,CO45,4,29.77,1.41,0.42
Culham Inlet,Marine,CO45,7,3.79,0.22,5.78,CO45,7,31.04,1.27,0.39
Culham Inlet,Marine,CO45,10,3.87,0.28,7.29,CO45,10,29.09,1.47,0.43
Culham Inlet,Marine,CO45,15,3.94,0.25,6.28,CO45,15,29.97,1.09,0.33
Culham Inlet,Marine,CO45,20,3.77,0.27,7.06,CO45,20,59.07,1.33,0.79
Culham Inlet,Marine,CO45,26_30,4.09,0.23,5.58,CO45,25-30,51.27,0.81,0.42
Culham Inlet,Marine,CO45,41_45,4.19,0.25,6.01,CO45,40-45,49.56,0.92,0.45
Culham Inlet,Marine,CO45,56_60,4.13,0.31,7.53,CO45,55-60,41.53,1.24,0.52
Culham Inlet,Marine,CO45,76_80,4.22,0.09,2.24,CO45,75-80,52.74,0.4,0.21
Gordon Inlet,Marine,CO41,1,4.29,0.25,5.91,CO41,1,18.6,1.53,0.28
Gordon Inlet,Marine,CO41,4,4.01,0.12,2.96,CO41,4,3.31,3.72,0.12
Gordon Inlet,Marine,CO41,10,3.97,0.08,1.99,CO41,10,19.96,1.16,0.23
Gordon Inlet,Marine,CO41,15,4.72,0.07,1.53,CO41,15,18.43,1.08,0.2
Gordon Inlet,Marine,CO41,20,4.52,0.04,0.98,CO41,20,60.72,0.51,0.31
Gordon Inlet,Marine,CO41,26_30,4.02,0.04,0.96,CO41,25-30,59.36,0.57,0.34
Gordon Inlet,Marine,CO41,41_45,4.35,0.24,5.42,CO41,40-45,61.91,1.3,0.81
Gordon Inlet,Marine,CO41,56_60,3.64,0.06,1.72,CO41,55-60,89.7,2.15,1.93
Gordon Inlet,Marine,CO41,76_80,4.01,0.06,1.39,CO41,75-80,100.15,0.21,0.21
Gordon Inlet,Intermediate,CO47,1,4.16,0.63,15.21,CO47,1,5.32,5.27,0.28
Gordon Inlet,Intermediate,CO47,4,3.78,0.63,16.52,CO47,4,6.01,4.94,0.3
Gordon Inlet,Intermediate,CO47,7,3.93,0.58,14.86,CO47,7,6,4.56,0.27
Gordon Inlet,Intermediate,CO47,10,4.03,0.34,8.37,CO47,10,6.68,2.54,0.17
Gordon Inlet,Intermediate,CO47,15,3.63,0.32,8.72,CO47,15,14.86,1.77,0.26
Gordon Inlet,Intermediate,CO47,20,3.96,0.33,8.24,CO47,20,13.18,1.43,0.19
Gordon Inlet,Intermediate,CO47,26_30,4.05,0.35,8.69,CO47,25-30,14.16,1.24,0.18
Gordon Inlet,Intermediate,CO47,41_45,3.67,0.28,7.65,CO47,40-45,59.52,0.6,0.36
Gordon Inlet,Intermediate,CO47,56_60,4.19,0.11,2.57,CO47,55-60,95.3,0.9,0.86
Gordon Inlet,Fluvial,CO46,1,3.6,1.02,28.33,CO46,1,3.26,10.79,0.35
Gordon Inlet,Fluvial,CO46,4,3.99,0.71,17.73,CO46,4,5.67,5.46,0.31
Gordon Inlet,Fluvial,CO46,7,3.68,0.76,20.66,CO46,7,5.89,6.78,0.4
Gordon Inlet,Fluvial,CO46,10,3.73,0.46,12.22,CO46,10,4.52,3.83,0.17
Gordon Inlet,Fluvial,CO46,15,4.28,0.48,11.23,CO46,15,5.85,3.57,0.21
Gordon Inlet,Fluvial,CO46,20,3.98,0.44,11.06,CO46,20,4.97,3.42,0.17
Gordon Inlet,Fluvial,CO46,26_30,3.87,0.4,10.37,CO46,25-30,4.56,2.26,0.1
Gordon Inlet,Fluvial,CO46,41_45,3.7,0.29,7.85,CO46,40-45,10.45,1.07,0.11
Gordon Inlet,Fluvial,CO46,56_60,4.05,0.23,5.61,CO46,55-60,19.52,0.55,0.11
Bremer Bay,Intermediate,CO69,1,3.53,0.92,25.96,CO69,1,22.05,11.25,2.48
Bremer Bay,Intermediate,CO69,4,3.74,0.85,22.82,CO69,4,27.17,10.04,2.73
Bremer Bay,Intermediate,CO69,7,3.78,0.85,22.44,CO69,7,34.04,11.35,3.87
Bremer Bay,Intermediate,CO69,10,3.57,1.19,33.42,CO69,10,33.94,21.13,7.17
Bremer Bay,Intermediate,CO69,15,3.16,0.84,26.51,CO69,15,35.01,18.36,6.43
Bremer Bay,Intermediate,CO69,20,3.55,0.88,24.81,CO69,20,31.8,13.39,4.26
Bremer Bay,Intermediate,CO69,26_30,3.75,0.38,10.12,CO69,25-30,30.74,2.54,0.78
Bremer Bay,Intermediate,CO69,41_45,3.85,0.18,4.75,CO69,40-45,25.1,0.99,0.25
Bremer Bay,Intermediate,CO69,56_60,3.8,0.29,7.63,CO69,55-60,55.5,1.33,0.74
Bremer Bay,Intermediate,CO69,HEAD,3.87,0.5,12.86,CO69,HEAD,98.21,1.99,1.95
Bremer Bay,Fluvial,CO70,1,2.73,1.49,54.5,CO70,1,16.18,27.34,4.42
Bremer Bay,Fluvial,CO70,7,3.82,0.53,13.83,CO70,7,21.28,12.31,2.62
Bremer Bay,Fluvial,CO70,10,4.29,0.36,8.5,CO70,10,55.68,1.92,1.07
Bremer Bay,Fluvial,CO70,15,3.64,0.58,15.99,CO70,15,62.68,3,1.88
Bremer Bay,Fluvial,CO70,20,4.17,0.27,6.52,CO70,20,84.47,4.21,3.56
